input,is_reference,frame_mean,frame_std,top_a0,top_a1,top_a2,top_saturated,bottom_a0,bottom_a1,bottom_a2,bottom_saturated
ref_grey_0.5,True,0.5,0.0,-1.0,0.643,-1.0,2,-1.0,-0.7177,-1.0,2
ref_grey_128,True,0.502,0.0,-1.0,0.6391,-1.0,2,-1.0,-0.7205,-1.0,2
ref_black,True,0.0,0.0,-1.0,0.2292,-1.0,2,-1.0,-1.0,-1.0,3
ref_white,True,1.0,0.0,-1.0,-0.7453,-1.0,2,-1.0,-1.0,-1.0,3
ref_noise,True,0.4955,0.2893,1.0,1.0,-1.0,3,1.0,0.6665,-1.0,2
calib_tape_150,False,0.5493,0.1651,-1.0,-1.0,1.0,3,-1.0,-1.0,0.5129,2
calib_tape_280,False,0.5603,0.1632,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,3
ctrl_a,False,0.5497,0.1617,-1.0,-1.0,0.9532,2,-1.0,-1.0,0.4053,2
ctrl_b,False,0.5431,0.1611,-1.0,-1.0,1.0,3,-1.0,-1.0,0.5588,2
green_200,False,0.5456,0.1632,-0.7186,1.0,1.0,2,-0.1394,0.6411,1.0,1
green_280,False,0.5459,0.162,-1.0,-0.598,1.0,2,-1.0,-1.0,1.0,3
red_100,False,0.5251,0.1644,0.9998,-1.0,1.0,3,1.0,-1.0,1.0,3
red_150,False,0.5387,0.1644,-1.0,-1.0,1.0,3,-1.0,-1.0,1.0,3
red_200,False,0.5504,0.1652,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,3
red_280,False,0.5505,0.1643,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,3
red_l_280,False,0.5504,0.1644,-1.0,1.0,-0.6601,2,-0.5415,0.9224,-1.0,1
red_r_280,False,0.5492,0.164,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,3
rg_split_280,False,0.5458,0.1638,0.8253,1.0,1.0,2,1.0,1.0,1.0,3
