global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.01823064312338829,902
16384,1.0,1.0,nan,225.27272727272728,17.17799862948331,0.0,0.011755588464438915,872
24576,1.0,1.0,nan,225.27272727272728,17.17799862948331,0.0,0.004013716243207455,878
32768,1.0,1.0,nan,236.66666666666666,17.063789610769234,0.0,0.003951597958803177,873
40960,0.65,0.9629629629629629,0.0,364.2875,8.991356132924556,2.075,0.017853567376732826,865
49152,0.6744186046511628,0.9666666666666667,0.0,354.5348837209302,9.56337218922238,1.930232558139535,0.008784567937254906,853
57344,0.55,0.9466666666666667,0.0,401.48,7.008846101164818,2.1,0.00767810083925724,839
65536,0.53,0.9487179487179487,0.0,409.91,6.53032351911068,2.1,0.006291113793849945,835
73728,0.42,0.9354838709677419,0.0,448.07,4.221737390756607,2.44,0.00253857159987092,835
81920,0.4,0.92,0.0,452.57,4.37868922829628,1.55,0.006197298876941204,830
90112,0.49,0.92,0.0,420.09,6.461252064704895,0.78,0.009632116183638573,829
98304,0.46,0.89,0.0,431.94,6.1599206185340885,0.37,0.014098058454692364,827
106496,0.44,0.88,0.0,438.07,6.13493189573288,0.02,0.006078219972550869,828
114688,0.47,0.88,0.0,427.29,6.761539716124535,0.02,0.007039831951260567,825
122880,0.43,0.83,0.0,441.07,6.101976923942566,0.28,0.0068704960867762566,824
131072,0.33,0.82,0.0,477.01,4.323854679465294,0.28,0.009970176964998245,824
139264,0.39,0.82,0.0,454.53,5.682203011512756,0.28,0.006606024689972401,826
147456,0.37,0.8,0.0,464.19,5.287414513230324,0.27,0.0067534856498241425,827
155648,0.36,0.8,0.0,467.73,4.821314046978951,0.26,0.008597205393016338,829
163840,0.38,0.82,0.0,459.4,5.047485212087631,0.0,0.021206680685281754,830
172032,0.36,0.82,0.0,466.4,4.348518344759941,0.13,0.00760671216994524,831
180224,0.43,0.82,0.0,440.5,5.4855633944273,0.2,0.014893588609993458,832
188416,0.43,0.81,0.0,437.59,5.393414368629456,0.24,0.017373591661453247,830
196608,0.41,0.8,0.0,445.09,5.0431415694952015,0.25,0.00881214439868927,827
204800,0.41,0.81,0.0,445.58,4.9036740732193,0.34,0.008250191807746887,824
212992,0.43,0.84,0.0,437.89,5.414239877462387,0.47,0.007176544051617384,822
221184,0.45,0.87,0.0,431.75,5.57235448718071,0.4,0.009664235636591911,820
229376,0.49,0.88,0.0,416.58,6.108108751177788,0.36,0.009126439690589905,821
237568,0.46,0.88,0.0,427.69,5.188628008365631,0.34,0.005294983275234699,819
245760,0.47,0.86,0.0,423.96,5.414299023151398,0.43,0.010138340294361115,820
253952,0.42,0.83,0.0,442.57,3.760531157851219,0.68,0.008804411627352238,820
262144,0.42,0.83,0.0,442.85,3.6889774245023728,0.5,0.008430976420640945,819
270336,0.36,0.83,0.0,464.46,2.455660338997841,0.66,0.00319712795317173,821
