global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.01642454043030739,860
16384,nan,nan,nan,nan,nan,nan,0.007665187120437622,868
24576,nan,nan,nan,nan,nan,nan,0.010085869580507278,856
32768,nan,nan,nan,nan,nan,nan,0.010626856237649918,850
40960,0.0,0.0,0.0,599.0,-4.020797271281481,0.0,0.008106478489935398,836
49152,0.0,0.0,0.0,599.0,-4.020797271281481,0.0,0.009384717792272568,833
57344,0.0,0.0,0.0,599.0,-4.020797271281481,0.0,0.012843944132328033,833
65536,0.0,0.0,0.0,599.0,-4.020797271281481,0.0,0.0028362562879920006,834
73728,0.0,0.0,0.0,599.0,-4.020797271281481,0.0,0.0004540339286904782,824
81920,0.0,0.0,0.0,599.0,-2.905964388847351,1.11,0.0123526556417346,823
90112,0.0,0.0,0.0,599.0,-2.905964388847351,1.11,0.00850119348615408,827
98304,0.0,0.0,0.0,599.0,-2.905964388847351,1.11,0.002718656323850155,831
106496,0.0,0.0,0.0,599.0,-2.905964388847351,1.11,0.0007184075657278299,835
114688,0.0,0.0,0.0,599.0,-2.905964388847351,1.11,0.0010945259127765894,840
122880,0.0,0.0,0.0,599.0,-2.4893070966005326,3.45,0.006588393822312355,845
131072,0.0,0.0,0.0,599.0,-2.4893070966005326,3.45,0.005926512181758881,849
139264,0.0,0.0,0.0,599.0,-2.4893070966005326,3.45,0.002640897873789072,852
147456,0.0,0.0,0.0,599.0,-2.4893070966005326,3.45,0.001947759767062962,850
155648,0.0,0.0,0.0,599.0,-2.5605437678098677,1.53,0.004567265510559082,849
163840,0.0,0.0,0.0,599.0,-2.5605437678098677,1.53,0.009769804775714874,849
172032,0.0,0.0,0.0,599.0,-2.5605437678098677,1.53,0.0022930665872991085,848
180224,0.0,0.0,0.0,599.0,-2.5605437678098677,1.53,0.002247020835056901,847
188416,0.0,0.0,0.0,599.0,-2.5605437678098677,1.53,0.003911512903869152,845
196608,0.0,0.0,0.0,599.0,-2.502552056312561,2.65,0.0034569506533443928,845
204800,0.0,0.0,0.0,599.0,-2.502552056312561,2.65,0.004885798320174217,841
212992,0.0,0.0,0.0,599.0,-2.502552056312561,2.65,0.004372347146272659,840
