step,inv_train,inv_val,eff_rank
200,0.002655,0.002331,4.671
400,0.011951,0.011877,9.120
600,0.028037,0.026628,11.721
800,0.027100,0.027447,14.735
1000,0.032125,0.033703,18.525
1200,0.037095,0.038859,21.319
1400,0.036622,0.037335,24.052
1600,0.044615,0.043063,27.054
1800,0.042521,0.043700,29.132
2000,0.050450,0.044711,30.968
2200,0.045036,0.046020,32.598
2400,0.047807,0.047623,34.101
2600,0.044925,0.048758,35.222
2800,0.047156,0.047990,36.563
3000,0.050455,0.050964,37.924
3200,0.045675,0.049220,39.097
3400,0.045424,0.048543,39.999
