step,inv_train,inv_val,eff_rank
200,0.001555,0.001615,4.380
400,0.013484,0.013533,8.928
600,0.027386,0.026856,11.922
800,0.033449,0.031698,15.742
1000,0.034606,0.035173,19.608
1200,0.041668,0.042981,22.439
1400,0.044458,0.045386,24.324
1600,0.042163,0.042933,26.143
1800,0.035543,0.040331,27.728
2000,0.040880,0.041508,29.254
2200,0.037755,0.041810,30.782
2400,0.040817,0.043239,32.169
2600,0.036633,0.041616,33.464
2800,0.040816,0.041754,34.655
3000,0.041190,0.041035,35.773
3200,0.038613,0.040824,37.182
3400,0.040389,0.042216,38.158
