step,inv_train,inv_val,eff_rank
200,0.011109,0.010834,6.891
400,0.020550,0.020099,12.440
600,0.030663,0.027007,17.497
800,0.032414,0.030838,21.617
1000,0.035625,0.036997,25.158
1200,0.048061,0.043726,27.951
1400,0.043165,0.042721,30.109
1600,0.043576,0.042454,32.067
1800,0.040176,0.041402,33.845
2000,0.041406,0.040117,35.442
2200,0.037211,0.039587,37.126
2400,0.038076,0.038459,38.829
2600,0.035886,0.037416,40.006
2800,0.034608,0.035159,41.307
3000,0.030976,0.033251,42.257
3200,0.035676,0.035015,43.362
3400,0.029431,0.031029,44.364
