global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.04213237762451172,860
16384,1.0,1.0,nan,205.44444444444446,17.409834543863933,0.0,0.01909700036048889,841
24576,1.0,1.0,nan,205.44444444444446,17.409834543863933,0.0,0.011899100616574287,848
32768,1.0,1.0,nan,205.98181818181817,17.404840642755683,0.0,0.017815640196204185,830
40960,0.6956521739130435,0.9696969696969697,0.0,325.55434782608694,9.88448528751083,0.0,0.010905859991908073,821
49152,0.6989247311827957,0.9696969696969697,0.037037037037037035,327.7096774193548,9.924995803063915,0.12903225806451613,0.016609635204076767,814
57344,0.56,0.9625,0.023809523809523808,382.91,6.420196014642715,0.12,0.025541119277477264,812
65536,0.47,0.967391304347826,0.0196078431372549,417.93,4.086942690610885,0.15,0.016222475096583366,809
73728,0.46,0.967741935483871,0.019230769230769232,422.07,3.8188923346996306,0.15,0.0108331348747015,814
81920,0.49,0.95,0.02702702702702703,414.03,4.300493311882019,0.18,0.010319259017705917,806
90112,0.41,0.93,0.022988505747126436,444.04,2.4949379849433897,0.08,0.013599817641079426,806
98304,0.5,0.93,0.02247191011235955,410.0,4.705383954048156,0.08,0.020778093487024307,805
106496,0.51,0.93,0.020202020202020204,403.62,4.935293848514557,0.08,0.006605461705476046,808
114688,0.53,0.93,0.02,395.96,5.503007009029388,0.16,0.013539738953113556,813
122880,0.57,0.93,0.02,381.1,6.796259673833847,0.19,0.0151305440813303,817
131072,0.5,0.92,0.01,406.97,4.8553832042217255,0.17,0.014493302442133427,820
139264,0.51,0.92,0.01,403.4,5.134804110527039,0.17,0.009896294213831425,824
147456,0.42,0.9,0.01,438.19,3.6043650740385056,0.28,0.0076379613019526005,825
155648,0.39,0.89,0.0,449.46,2.9558967739343642,0.17,0.01653945818543434,824
163840,0.44,0.9,0.01,432.65,3.9942247647047044,0.13,0.01344932708889246,824
172032,0.45,0.92,0.01,428.65,4.3458057445287706,0.81,0.01672115921974182,824
180224,0.41,0.92,0.01,444.15,3.136068851351738,0.83,0.020532788708806038,823
188416,0.47,0.91,0.01,421.51,4.060959762334823,0.76,0.012608474120497704,820
196608,0.48,0.89,0.02,421.52,4.198983147144317,1.41,0.007847653701901436,819
204800,0.46,0.89,0.02,426.98,3.656691119670868,1.43,0.02478760853409767,819
212992,0.5,0.92,0.02,415.53,4.614447288513183,0.77,0.013763133436441422,817
221184,0.5,0.93,0.02,415.69,5.0356406450271605,0.79,0.019991612061858177,818
229376,0.54,0.95,0.02,401.23,5.980274412631989,0.81,0.013661624863743782,818
237568,0.53,0.97,0.02,401.7,5.8679940176010135,0.24,0.017891723662614822,816
245760,0.49,0.96,0.01,416.82,5.301746829748153,0.22,0.01758098416030407,817
253952,0.47,0.96,0.01,421.18,5.098991029262542,0.2,0.010138345882296562,818
262144,0.49,0.95,0.01,413.24,5.561200039982796,0.12,0.007383164018392563,819
270336,0.45,0.96,0.01,427.71,4.792339278459549,0.1,0.015156914480030537,820
278528,0.49,0.97,0.0,411.95,5.767190885543823,0.05,0.008375195786356926,821
286720,0.46,0.98,0.0,423.41,4.567031089067459,0.12,0.013095878064632416,822
294912,0.49,0.98,0.0,412.31,5.281960937976837,0.12,0.014042723923921585,823
303104,0.49,0.98,0.01,415.46,4.847892795205116,0.58,0.020296849310398102,822
311296,0.45,0.97,0.01,430.59,3.8603319615125655,0.67,0.010347152128815651,822
319488,0.45,0.96,0.02,433.84,3.7313261115550995,0.62,0.017418406903743744,822
327680,0.41,0.96,0.02,448.96,3.129348618388176,1.77,0.015130593441426754,822
