global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.03744596987962723,979,1.0
16384,nan,nan,nan,nan,nan,nan,0.0094332005828619,994,1.0
24576,nan,nan,nan,nan,nan,nan,0.01026378758251667,1000,1.0
32768,nan,nan,nan,nan,nan,nan,0.007395859807729721,1001,1.0
40960,nan,nan,nan,nan,nan,nan,0.004637793637812138,1000,0.10294117647058823
49152,nan,nan,nan,nan,nan,nan,0.0048652938567101955,998,0.09859154929577464
57344,nan,nan,nan,nan,nan,nan,0.002927962224930525,995,0.1111111111111111
65536,nan,nan,nan,nan,nan,nan,0.006842658389359713,995,0.1111111111111111
73728,nan,nan,nan,nan,nan,nan,0.005761916749179363,994,0.1111111111111111
81920,nan,nan,nan,nan,nan,nan,0.0048793768510222435,989,0.09
90112,nan,nan,nan,nan,nan,nan,0.004153585992753506,989,0.09
98304,nan,nan,nan,nan,nan,nan,0.01574806496500969,990,0.1
106496,nan,nan,nan,nan,nan,nan,0.007448501419275999,990,0.1
114688,nan,nan,nan,nan,nan,nan,0.005135452374815941,991,0.1
122880,nan,nan,nan,nan,nan,nan,0.007575660012662411,988,0.09
131072,nan,nan,nan,nan,nan,nan,0.011647245846688747,987,0.09
139264,nan,nan,nan,nan,nan,nan,0.008504956029355526,986,0.09
147456,nan,nan,nan,nan,nan,nan,0.0038291700184345245,986,0.09
155648,nan,nan,nan,nan,nan,nan,0.0036126209888607264,985,0.07
163840,nan,nan,nan,nan,nan,nan,0.004883894696831703,984,0.11
172032,nan,nan,nan,nan,nan,nan,0.005743490997701883,984,0.13
180224,nan,nan,nan,nan,nan,nan,0.004957102704793215,984,0.13
188416,nan,nan,nan,nan,nan,nan,0.025417722761631012,984,0.13
196608,nan,nan,nan,nan,nan,nan,0.003945204894989729,982,0.13
204800,nan,nan,nan,nan,nan,nan,0.015810467302799225,982,0.15
212992,nan,nan,nan,nan,nan,nan,0.005615616217255592,982,0.18
221184,nan,nan,nan,nan,nan,nan,0.012056184932589531,982,0.19
229376,nan,nan,nan,nan,nan,nan,0.005562061443924904,983,0.19
237568,nan,nan,nan,nan,nan,nan,0.0025445055216550827,981,0.14
245760,nan,nan,nan,nan,nan,nan,0.006207434460520744,981,0.16
253952,nan,nan,nan,nan,nan,nan,0.016487617045640945,981,0.16
262144,nan,nan,nan,nan,nan,nan,0.0081145279109478,981,0.16
270336,nan,nan,nan,nan,nan,nan,0.004590217489749193,980,0.06
278528,nan,nan,nan,nan,nan,nan,0.005725812166929245,979,0.09
