global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.02457311376929283,966,1.0
16384,nan,nan,nan,nan,nan,nan,0.011214829981327057,983,1.0
24576,nan,nan,nan,nan,nan,nan,0.007080369628965855,986,1.0
32768,nan,nan,nan,nan,nan,nan,0.009431051090359688,991,1.0
40960,nan,nan,nan,nan,nan,nan,0.008907221257686615,986,0.2375
49152,nan,nan,nan,nan,nan,nan,0.005566352978348732,978,0.2967032967032967
57344,nan,nan,nan,nan,nan,nan,0.008551056496798992,972,0.3333333333333333
65536,nan,nan,nan,nan,nan,nan,0.017579343169927597,971,0.35353535353535354
73728,nan,nan,nan,nan,nan,nan,0.006385494023561478,969,0.35353535353535354
81920,nan,nan,nan,nan,nan,nan,0.003806391032412648,956,0.38
90112,nan,nan,nan,nan,nan,nan,0.005243881139904261,951,0.41
98304,nan,nan,nan,nan,nan,nan,0.02124052308499813,950,0.43
106496,nan,nan,nan,nan,nan,nan,0.021256621927022934,949,0.54
114688,nan,nan,nan,nan,nan,nan,0.011490476317703724,939,0.91
122880,nan,nan,nan,nan,nan,nan,0.005829740781337023,931,0.73
131072,nan,nan,nan,nan,nan,nan,0.004511209204792976,926,0.86
139264,nan,nan,nan,nan,nan,nan,0.0032654968090355396,922,0.95
147456,nan,nan,nan,nan,nan,nan,0.011134604923427105,922,0.93
155648,nan,nan,nan,nan,nan,nan,0.0028245709836483,918,0.86
163840,nan,nan,nan,nan,nan,nan,0.005178095772862434,914,0.78
172032,nan,nan,nan,nan,nan,nan,0.01158775482326746,913,0.79
180224,nan,nan,nan,nan,nan,nan,0.0048668598756194115,909,0.83
188416,nan,nan,nan,nan,nan,nan,0.006562081165611744,908,0.88
196608,nan,nan,nan,nan,nan,nan,0.005763554014265537,903,0.85
204800,nan,nan,nan,nan,nan,nan,0.005181215703487396,903,0.83
212992,nan,nan,nan,nan,nan,nan,0.005523716099560261,899,0.93
221184,nan,nan,nan,nan,nan,nan,0.003426722250878811,896,0.94
229376,nan,nan,nan,nan,nan,nan,0.014620199799537659,895,0.88
237568,nan,nan,nan,nan,nan,nan,0.014803128316998482,893,0.86
245760,nan,nan,nan,nan,nan,nan,0.010724777355790138,891,0.93
253952,nan,nan,nan,nan,nan,nan,0.011701233685016632,890,0.91
262144,nan,nan,nan,nan,nan,nan,0.00472758524119854,888,0.83
270336,nan,nan,nan,nan,nan,nan,0.003992339130491018,887,0.8
278528,nan,nan,nan,nan,nan,nan,0.008702320978045464,888,0.8
286720,nan,nan,nan,nan,nan,nan,0.006249983794987202,887,0.78
294912,nan,nan,nan,nan,nan,nan,0.005111482925713062,884,0.85
303104,nan,nan,nan,nan,nan,nan,0.007850021123886108,883,0.81
311296,nan,nan,nan,nan,nan,nan,0.00364029873162508,881,0.83
319488,nan,nan,nan,nan,nan,nan,0.010184022597968578,881,0.89
327680,nan,nan,nan,nan,nan,nan,0.009937741793692112,880,0.87
335872,nan,nan,nan,nan,nan,nan,0.01467835158109665,878,0.77
344064,nan,nan,nan,nan,nan,nan,0.005666126497089863,875,0.91
352256,nan,nan,nan,nan,nan,nan,0.00829000398516655,871,0.9
360448,nan,nan,nan,nan,nan,nan,0.006858834996819496,870,0.88
368640,nan,nan,nan,nan,nan,nan,0.005726865027099848,867,0.91
376832,nan,nan,nan,nan,nan,nan,0.007804772350937128,865,0.96
385024,nan,nan,nan,nan,nan,nan,0.004176394082605839,863,0.91
393216,nan,nan,nan,nan,nan,nan,0.0021561344619840384,860,0.91
401408,nan,nan,nan,nan,nan,nan,0.003317109774798155,857,0.98
