global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.01243792288005352,422,nan
16384,nan,nan,nan,nan,nan,nan,0.004370090551674366,405,nan
24576,nan,nan,nan,nan,nan,nan,0.006256195716559887,374,nan
32768,nan,nan,nan,nan,nan,nan,0.007964556105434895,384,nan
40960,0.0,0.0,0.0,599.0,-7.129736380143599,0.0,0.01154066901654005,383,0.0
49152,0.0,0.0,0.0,599.0,-7.129736380143599,0.0,0.010875687003135681,379,0.0
57344,0.0,0.0,0.0,599.0,-7.129736380143599,0.0,0.008329000324010849,382,0.0
65536,0.0,0.0,0.0,599.0,-7.129736380143599,0.0,0.012365995906293392,381,0.0
73728,0.0,0.0,0.0,599.0,-7.129736380143599,0.0,0.009748117998242378,379,0.0
81920,0.0,0.0,0.0,599.0,-5.182311326265335,0.0,0.01241097878664732,382,0.0
90112,0.0,0.0,0.0,599.0,-5.182311326265335,0.0,0.01106912549585104,378,0.0
98304,0.0,0.0,0.0,599.0,-5.182311326265335,0.0,0.014233957976102829,377,0.0
106496,0.0,0.0,0.0,599.0,-5.182311326265335,0.0,0.004567085765302181,379,0.0
114688,0.0,0.0,0.0,599.0,-5.182311326265335,0.0,0.0019806022755801678,376,0.0
122880,0.0,0.0,0.0,599.0,-4.555540453579466,0.8813559322033898,0.006906419061124325,376,0.0
131072,0.0,0.0,0.0,599.0,-4.555540453579466,0.8813559322033898,0.007298319600522518,377,0.0
139264,0.0,0.0,0.0,599.0,-4.555540453579466,0.8813559322033898,0.003927167505025864,375,0.0
147456,0.0,0.0,0.0,599.0,-4.555540453579466,0.8813559322033898,0.0036208820529282093,376,0.0
155648,0.0,0.0,0.0,599.0,-4.320576198590108,0.7051282051282052,0.007663972210139036,378,0.0
163840,0.0,0.0,0.0,599.0,-4.320576198590108,0.7051282051282052,0.0058579519391059875,375,0.0
172032,0.0,0.0,0.0,599.0,-4.320576198590108,0.7051282051282052,0.00446273060515523,377,0.0
180224,0.0,0.0,0.0,599.0,-4.320576198590108,0.7051282051282052,0.003380902810022235,377,0.0
188416,0.0,0.0,0.0,599.0,-4.320576198590108,0.7051282051282052,0.008327259682118893,376,0.0
196608,0.0,0.0,0.0,599.0,-4.196922207385609,2.1237113402061856,0.0071152872405946255,377,0.0
204800,0.0,0.0,0.0,599.0,-4.196922207385609,2.1237113402061856,0.009459380991756916,377,0.0
212992,0.0,0.0,0.0,599.0,-4.196922207385609,2.1237113402061856,0.007499134633690119,376,0.0
221184,0.0,0.0,0.0,599.0,-4.196922207385609,2.1237113402061856,0.014360020868480206,377,0.04
229376,0.01020408163265306,0.0,0.020833333333333332,598.5816326530612,-4.012834484251786,2.1020408163265305,0.021149013191461563,377,0.06
237568,0.01,0.0,0.018518518518518517,598.59,-3.3416663383692504,2.06,0.007610599976032972,376,0.06
245760,0.01,0.0,0.018518518518518517,598.59,-3.3416663383692504,2.06,0.0068306694738566875,378,0.07
253952,0.01,0.0,0.018518518518518517,598.59,-3.3416663383692504,2.06,0.0027007602620869875,376,0.1
262144,0.02,0.0,0.03636363636363636,598.2,-3.1283264469355343,2.06,0.013985147699713707,377,0.14
270336,0.03,0.0,0.04477611940298507,597.72,-2.9629733430594207,4.38,0.003861892968416214,378,0.15
278528,0.03,0.0,0.04477611940298507,597.72,-2.9629733430594207,4.38,0.036607593297958374,376,0.16
286720,0.04,0.014925373134328358,0.04477611940298507,595.92,-2.756286121532321,4.38,0.0038139724638313055,377,0.17
294912,0.09,0.08333333333333333,0.04477611940298507,586.09,-1.793222920820117,4.38,0.0038615483790636063,377,0.18
303104,0.13,0.12,0.058823529411764705,582.29,-1.1385460733622312,5.18,0.005611272994428873,375,0.2
311296,0.14,0.12658227848101267,0.04938271604938271,580.36,-1.7664868485182523,14.35,0.008016131818294525,376,0.21
319488,0.14,0.12658227848101267,0.04878048780487805,580.36,-1.8042191635817288,15.22,0.0020034650806337595,376,0.25
327680,0.15,0.1375,0.04878048780487805,578.39,-1.6063188540190458,15.22,0.014623180963099003,374,0.28
335872,0.17,0.14634146341463414,0.05813953488372093,576.87,-1.2064526694267987,15.38,0.008201833814382553,375,0.3
344064,0.17,0.14634146341463414,0.05747126436781609,576.87,-1.1803693895787,15.38,0.014080110937356949,375,0.29
352256,0.19,0.16091954022988506,0.054945054945054944,574.22,-0.8109730618447065,17.25,0.0066551947966217995,374,0.31
360448,0.19,0.16091954022988506,0.054945054945054944,574.22,-0.8109730618447065,17.25,0.008404222317039967,374,0.34
368640,0.19,0.16091954022988506,0.05434782608695652,574.22,-0.7753800313919783,17.25,0.006445476319640875,375,0.35
376832,0.24,0.20212765957446807,0.052083333333333336,566.87,0.3863548396527767,15.74,0.011120559647679329,373,0.3
385024,0.25,0.21052631578947367,0.05102040816326531,565.67,0.5876725964248181,15.74,0.023502124473452568,373,0.32
393216,0.26,0.21875,0.050505050505050504,564.28,0.718414009064436,16.8,0.008690968155860901,373,0.3
401408,0.27,0.2268041237113402,0.050505050505050504,563.09,0.8983040742576123,16.8,0.009258400648832321,372,0.3
409600,0.26,0.2222222222222222,0.05,563.5,0.7809018313884735,16.84,0.009772155433893204,373,0.27
417792,0.26,0.22,0.05,563.5,0.818708062171936,16.89,0.006206796504557133,373,0.23
425984,0.27,0.23,0.05,562.76,0.9691004580259324,16.89,0.0076725902035832405,372,0.23
434176,0.27,0.23,0.05,562.76,1.0467231887578965,16.89,0.00380323245190084,372,0.23
442368,0.25,0.23,0.05,563.63,0.7467140251398087,16.89,0.015599066391587257,372,0.21
450560,0.25,0.23,0.05,563.63,0.8099347490072251,16.88,0.00459449365735054,371,0.16
458752,0.26,0.24,0.05,561.38,1.1851220840215684,14.6,0.004847674630582333,371,0.13
466944,0.24,0.24,0.05,564.76,0.9666503661870957,14.62,0.006035798229277134,372,0.1
475136,0.21,0.25,0.05,571.27,0.4335470122098923,14.62,0.007934999652206898,371,0.1
483328,0.19,0.25,0.05,573.5,0.110400270819664,14.62,0.006639841012656689,371,0.14
491520,0.18,0.26,0.05,573.23,0.5182015872001648,5.8,0.005571041721850634,371,0.1
499712,0.19,0.27,0.05,572.95,1.0399128538370133,5.14,0.011394765228033066,370,0.11
507904,0.2,0.28,0.05,570.6,1.290942640900612,4.3,0.007860079407691956,370,0.13
516096,0.21,0.3,0.05,568.22,1.6556898444890975,3.23,0.011881008744239807,370,0.16
524288,0.19,0.31,0.05,569.15,1.3681858402490616,3.07,0.00662155169993639,370,0.19
532480,0.19,0.31,0.05,569.15,1.5280002391338348,1.2,0.0048296102322638035,369,0.18
540672,0.16,0.31,0.05,573.99,0.9879663169384003,1.2,0.010105587542057037,369,0.2
548864,0.17,0.33,0.05,571.55,1.1485353845357895,1.2,0.014048602432012558,369,0.22
557056,0.16,0.35,0.05,570.92,0.9378643232584,1.2,0.005205070599913597,369,0.23
565248,0.15,0.35,0.05,572.12,0.7636022061109543,1.2,0.012267806567251682,371,0.22
573440,0.15,0.37,0.04,569.57,0.8751814717054367,0.1,0.007798812352120876,372,0.25
581632,0.15,0.37,0.04,569.57,0.9043278986215592,0.1,0.01026240736246109,372,0.27
589824,0.18,0.4,0.04,562.25,1.3923240059614181,0.1,0.008194947615265846,373,0.24
598016,0.2,0.42,0.04,558.03,1.7827515494823456,0.05,0.008212743327021599,375,0.28
606208,0.19,0.42,0.03,558.77,1.6203793239593507,0.05,0.005383441690355539,375,0.29
614400,0.22,0.45,0.03,552.02,2.1223268163204194,0.05,0.015319128520786762,376,0.3
622592,0.23,0.46,0.02,549.98,2.296764231324196,0.05,0.0027274168096482754,378,0.3
630784,0.24,0.47,0.02,547.63,2.4926169031858443,0.02,0.010142909362912178,378,0.3
638976,0.28,0.46,0.02,538.7,3.2212797057628633,0.0,0.0062769996002316475,379,0.34
647168,0.28,0.46,0.02,538.7,3.2416042637825013,0.0,0.006538546644151211,381,0.32
655360,0.32,0.49,0.01,526.64,3.912318645119667,0.0,0.013384122401475906,381,0.32
663552,0.33,0.49,0.01,523.92,4.101045092344284,0.0,0.0032671531662344933,381,0.34
671744,0.33,0.48,0.01,521.7,4.164600849151611,0.0,0.025075584650039673,383,0.36
679936,0.36,0.5,0.01,515.48,4.68979886174202,0.0,0.0036353382747620344,384,0.38
688128,0.37,0.51,0.01,514.8,4.855364825725555,0.0,0.022388406097888947,384,0.41
696320,0.38,0.52,0.01,512.51,5.048021507263184,0.0,0.005229568108916283,385,0.45
704512,0.42,0.52,0.01,505.56,5.738576897382736,0.0,0.015087589621543884,386,0.42
712704,0.43,0.52,0.0,503.6,5.756634476184845,0.0,0.007179338485002518,386,0.41
720896,0.41,0.53,0.0,508.09,5.456717375516892,0.0,0.003188860137015581,386,0.43
729088,0.41,0.54,0.0,508.29,5.506835459470749,0.0,0.0092417411506176,388,0.46
