global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.010424431413412094,1050
16384,nan,nan,nan,nan,nan,nan,0.012991741299629211,1055
24576,nan,nan,nan,nan,nan,nan,0.03912841156125069,971
32768,nan,nan,nan,nan,nan,nan,0.016589278355240822,852
40960,0.0,0.0,0.0,599.0,-5.642309710383415,0.0,0.011055918410420418,791
49152,0.0,0.0,0.0,599.0,-5.642309710383415,0.0,0.017916763201355934,759
57344,0.0,0.0,0.0,599.0,-5.642309710383415,0.0,0.011949656531214714,735
65536,0.0,0.0,0.0,599.0,-5.642309710383415,0.0,0.009740298613905907,715
73728,0.0,0.0,0.0,599.0,-5.642309710383415,0.0,0.008844523690640926,703
81920,0.0,0.0,0.0,599.0,-5.182653170824051,0.0,0.011956000700592995,692
90112,0.0,0.0,0.0,599.0,-5.182653170824051,0.0,0.02422812208533287,684
98304,0.0,0.0,0.0,599.0,-5.182653170824051,0.0,0.023522257804870605,677
106496,0.0,0.0,0.0,599.0,-5.182653170824051,0.0,0.01269082073122263,673
114688,0.0,0.0,0.0,599.0,-5.182653170824051,0.0,0.015107487328350544,670
122880,0.0,0.0,0.0,599.0,-3.402208398580551,0.0,0.01732724905014038,666
131072,0.0,0.0,0.0,599.0,-3.402208398580551,0.0,0.0052490318194031715,663
139264,0.0,0.0,0.0,599.0,-3.402208398580551,0.0,0.017439592629671097,659
147456,0.0,0.0,0.0,599.0,-3.402208398580551,0.0,0.006553239189088345,657
155648,0.0,0.0,0.0,599.0,-2.339408665895462,0.0,0.0035555921494960785,654
163840,0.0,0.0,0.0,599.0,-2.339408665895462,0.0,0.008890802972018719,653
172032,0.0,0.0,0.0,599.0,-2.339408665895462,0.0,0.002289876574650407,650
180224,0.0,0.0,0.0,599.0,-2.339408665895462,0.0,0.0035690004006028175,649
188416,0.0,0.0,0.0,599.0,-2.339408665895462,0.0,0.006400146521627903,648
196608,0.0,0.0,0.0,599.0,-2.0505065512657166,0.0,0.006290914490818977,648
204800,0.0,0.0,0.0,599.0,-2.0505065512657166,0.0,0.0029775139410048723,648
212992,0.0,0.0,0.0,599.0,-2.0505065512657166,0.0,0.0019443181809037924,649
221184,0.0,0.0,0.0,599.0,-2.0505065512657166,0.0,0.005635252222418785,647
229376,0.0,0.0,0.0,599.0,-2.0505065512657166,0.0,0.005840472411364317,646
237568,0.0,0.0,0.0,599.0,-1.9979220402240754,0.0,0.017903726547956467,646
245760,0.0,0.0,0.0,599.0,-1.9979220402240754,0.0,0.01406171265989542,644
253952,0.0,0.0,0.0,599.0,-1.9979220402240754,0.0,0.006407395005226135,644
262144,0.0,0.0,0.0,599.0,-1.9979220402240754,0.0,0.001428319257684052,642
270336,0.0,0.0,0.0,599.0,-2.001283929347992,0.0,0.003643070813268423,642
278528,0.0,0.0,0.0,599.0,-2.001283929347992,0.0,0.004393358249217272,642
286720,0.0,0.0,0.0,599.0,-2.001283929347992,0.0,0.0032949959859251976,640
294912,0.0,0.0,0.0,599.0,-2.001283929347992,0.0,0.004143218044191599,640
303104,0.0,0.0,0.0,599.0,-2.001283929347992,0.0,0.006345910485833883,639
311296,0.0,0.0,0.0,599.0,-2.0034766852855683,0.0,0.006515409331768751,639
319488,0.0,0.0,0.0,599.0,-2.0034766852855683,0.0,0.011857994832098484,639
327680,0.0,0.0,0.0,599.0,-2.0034766852855683,0.0,0.01285040844231844,638
335872,0.0,0.0,0.0,599.0,-2.0034766852855683,0.0,0.0034272433258593082,637
344064,0.0,0.0,0.0,599.0,-2.0034766852855683,0.0,0.004301499109715223,637
352256,0.0,0.0,0.0,599.0,-1.977647453546524,0.0,0.016706431284546852,635
360448,0.0,0.0,0.0,599.0,-1.977647453546524,0.0,0.00607652310281992,636
368640,0.0,0.0,0.0,599.0,-1.977647453546524,0.0,0.005559167824685574,635
376832,0.0,0.0,0.0,599.0,-1.977647453546524,0.0,0.0022711497731506824,633
385024,0.0,0.0,0.0,599.0,-1.9650728034973144,0.0,0.008388119749724865,633
393216,0.0,0.0,0.0,599.0,-1.9650728034973144,0.0,0.01111757755279541,633
401408,0.0,0.0,0.0,599.0,-1.9650728034973144,0.0,0.006573560647666454,632
409600,0.0,0.0,0.0,599.0,-1.9650728034973144,0.0,0.005172029137611389,632
417792,0.0,0.0,0.0,599.0,-1.9650728034973144,0.0,0.007962621748447418,632
425984,0.0,0.0,0.0,599.0,-1.9335563629865646,0.0,0.005470233503729105,632
434176,0.0,0.0,0.0,599.0,-1.9335563629865646,0.0,0.013589737005531788,631
442368,0.0,0.0,0.0,599.0,-1.9335563629865646,0.0,0.0032254173420369625,632
450560,0.0,0.0,0.0,599.0,-1.9335563629865646,0.0,0.010575370863080025,631
458752,0.0,0.0,0.0,599.0,-1.9335563629865646,0.0,0.01007937267422676,632
466944,0.0,0.0,0.0,599.0,-2.134944623708725,2.78,0.011023913510143757,631
475136,0.0,0.0,0.0,599.0,-2.134944623708725,2.78,0.042337700724601746,631
