global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.014627190306782722,648
16384,nan,nan,nan,nan,nan,nan,0.02056717500090599,647
24576,nan,nan,nan,nan,nan,nan,0.006471039727330208,640
32768,nan,nan,nan,nan,nan,nan,0.012133637443184853,639
40960,0.0,0.0,0.0,599.0,-2.7537101712077856,0.0,0.010901952162384987,640
49152,0.0,0.0,0.0,599.0,-2.7537101712077856,0.0,0.027576565742492676,638
57344,0.0,0.0,0.0,599.0,-2.7537101712077856,0.0,0.007409598678350449,638
65536,0.0,0.0,0.0,599.0,-2.7537101712077856,0.0,0.01729448139667511,636
73728,0.0,0.0,0.0,599.0,-2.7537101712077856,0.0,0.004034240730106831,633
81920,0.0,0.0,0.0,599.0,-2.6077256667613984,1.04,0.007242748513817787,631
90112,0.0,0.0,0.0,599.0,-2.6077256667613984,1.04,0.005477785132825375,631
98304,0.0,0.0,0.0,599.0,-2.6077256667613984,1.04,0.01607799530029297,631
106496,0.0,0.0,0.0,599.0,-2.6077256667613984,1.04,0.013630298897624016,630
114688,0.0,0.0,0.0,599.0,-2.6077256667613984,1.04,0.01974397525191307,629
122880,0.0,0.0,0.0,599.0,-2.239254142045975,1.04,0.005548663437366486,628
131072,0.0,0.0,0.0,599.0,-2.239254142045975,1.04,0.005024774931371212,627
139264,0.0,0.0,0.0,599.0,-2.239254142045975,1.04,0.009205952286720276,628
147456,0.01,0.01,0.0,597.12,-2.067447859048843,1.04,0.019909556955099106,628
155648,0.01,0.01,0.0,597.12,-1.7971277618408203,0.0,0.006430609617382288,628
163840,0.01,0.01,0.0,597.12,-1.7971277618408203,0.0,0.005807650275528431,628
172032,0.01,0.01,0.0,597.12,-1.7971277618408203,0.0,0.0033153570257127285,629
180224,0.01,0.01,0.0,597.12,-1.797194732427597,0.0,0.00967610627412796,628
188416,0.01,0.01,0.0,597.12,-1.797194732427597,0.0,0.02254321053624153,628
196608,0.0,0.01,0.0,599.0,-1.7572256380319595,0.0,0.0026920356322079897,628
204800,0.0,0.01,0.0,599.0,-1.7572256380319595,0.0,0.008958080783486366,628
212992,0.0,0.01,0.0,599.0,-1.7572256380319595,0.0,0.006625715177506208,628
221184,0.01,0.01,0.01,596.47,-1.584459788799286,0.52,0.01206421758979559,628
229376,0.01,0.01,0.01,596.47,-1.584459788799286,0.52,0.01176437083631754,628
237568,0.01,0.01,0.01,596.47,-1.8938516293466092,0.52,0.006523365154862404,628
245760,0.01,0.01,0.01,596.47,-1.8938516293466092,0.52,0.01766076311469078,627
253952,0.01,0.01,0.01,596.47,-1.8866672174632548,0.52,0.024707477539777756,627
262144,0.05,0.05,0.01,590.05,-1.218932544440031,0.52,0.008583267219364643,627
270336,0.06,0.04,0.03,591.35,-0.5453793722391128,1.89,0.0028193064499646425,627
278528,0.06,0.04,0.03,591.35,-0.5453793722391128,1.89,0.006649572867900133,627
286720,0.06,0.04,0.03,591.35,-0.5453793722391128,1.89,0.006905012298375368,627
294912,0.11,0.09,0.03,580.48,0.425680171251297,1.89,0.009578073397278786,626
303104,0.12,0.1,0.03,578.68,0.6111421638727188,1.89,0.016755683347582817,627
311296,0.06,0.1,0.02,586.33,0.08773890733718873,0.82,0.009691204875707626,627
319488,0.07,0.11,0.02,584.68,0.24741126358509063,0.82,0.01795852556824684,627
327680,0.08,0.12,0.02,583.87,0.398524307012558,0.82,0.011517539620399475,627
