global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.011636302806437016,1059
16384,nan,nan,nan,nan,nan,nan,0.012192179448902607,1013
24576,nan,nan,nan,nan,nan,nan,0.0070790862664580345,991
32768,nan,nan,nan,nan,nan,nan,0.009416325017809868,981
40960,0.0,0.0,0.0,599.0,-5.042385412380099,1.421875,0.007729400880634785,984
49152,0.0,0.0,0.0,599.0,-5.042385412380099,1.421875,0.01775307022035122,973
57344,0.0,0.0,0.0,599.0,-5.042385412380099,1.421875,0.008501550182700157,973
65536,0.0,0.0,0.0,599.0,-5.042385412380099,1.421875,0.01686505228281021,972
73728,0.0,0.0,0.0,599.0,-5.042385412380099,1.421875,0.01452955137938261,970
81920,0.0,0.0,0.0,599.0,-4.078238424062729,0.0,0.00831742212176323,972
90112,0.0,0.0,0.0,599.0,-4.078238424062729,0.0,0.020920641720294952,972
98304,0.0,0.0,0.0,599.0,-4.078238424062729,0.0,0.002993866568431258,979
106496,0.0,0.0,0.0,599.0,-4.078238424062729,0.0,0.007755076512694359,985
114688,0.0,0.0,0.0,599.0,-4.078238424062729,0.0,0.011413105763494968,987
122880,0.0,0.0,0.0,599.0,-3.249429180622101,0.0,0.01944131962954998,992
131072,0.0,0.0,0.0,599.0,-3.249429180622101,0.0,0.01277333777397871,996
139264,0.0,0.0,0.0,599.0,-3.249429180622101,0.0,0.00855416152626276,1001
147456,0.0,0.0,0.0,599.0,-3.249429180622101,0.0,0.006045285612344742,1005
155648,0.0,0.0,0.0,599.0,-2.8074081218242646,1.01,0.011945809237658978,1008
163840,0.0,0.0,0.0,599.0,-2.8074081218242646,1.01,0.009393235668540001,1012
172032,0.0,0.0,0.0,599.0,-2.8074081218242646,1.01,0.007127309218049049,1012
180224,0.0,0.0,0.0,599.0,-2.8074081218242646,1.01,0.003397439606487751,1014
188416,0.01,0.01,0.0,598.02,-2.632989717721939,1.01,0.008182354271411896,1015
196608,0.05,0.02,0.03,597.15,-2.041338385567069,7.69,0.007537212688475847,1013
204800,0.05,0.02,0.03,597.15,-2.041338385567069,7.69,0.009559616446495056,1009
212992,0.05,0.02,0.03,597.15,-2.041338385567069,7.69,0.004554364830255508,1000
221184,0.05,0.02,0.03,597.15,-2.041338385567069,7.69,0.002802822506055236,993
229376,0.05,0.02,0.03,597.15,-2.014889313206077,7.69,0.0047260974533855915,987
237568,0.0,0.02,0.03,599.0,-2.267298514842987,6.04,0.009847158566117287,986
245760,0.0,0.02,0.03,599.0,-2.267298514842987,6.04,0.004235834814608097,986
253952,0.0,0.02,0.03,599.0,-2.267298514842987,6.04,0.008565240539610386,976
262144,0.0,0.02,0.03,599.0,-2.2673543977737425,6.04,0.009214847348630428,960
270336,0.0,0.0,0.03,599.0,-2.032472526691854,3.07,0.001962391659617424,943
278528,0.0,0.0,0.03,599.0,-2.032472526691854,3.07,0.006396278738975525,930
286720,0.0,0.0,0.03,599.0,-2.032472526691854,3.07,0.003236786462366581,919
294912,0.01,0.0,0.04,596.82,-1.8904036494717003,3.01,0.00944732129573822,908
303104,0.01,0.0,0.04,596.82,-1.8903419848904013,3.01,0.0033867054153233767,897
311296,0.01,0.0,0.01,596.82,-1.8390291899070144,2.76,0.010341381654143333,888
319488,0.01,0.0,0.01,596.82,-1.8390291899070144,2.76,0.009300002828240395,879
327680,0.01,0.0,0.01,596.82,-1.8390291899070144,2.76,0.00752369686961174,870
335872,0.04,0.02,0.02,589.82,-1.3984489470347763,3.54,0.011577101424336433,862
344064,0.04,0.02,0.02,589.82,-1.402178620658815,3.54,0.00293751060962677,854
352256,0.03,0.02,0.02,592.0,-1.607932926416397,1.93,0.010037748143076897,848
360448,0.03,0.02,0.02,592.0,-1.607932926416397,1.93,0.014591792598366737,841
368640,0.06,0.04,0.03,584.0,-1.1005513513088225,2.75,0.0072079431265592575,835
376832,0.08,0.05,0.04,580.05,-0.7928778874874115,4.71,0.03385308384895325,829
385024,0.05,0.05,0.04,587.05,-1.2758304452896119,3.7,0.005743072833865881,823
393216,0.06,0.05,0.05,584.43,-1.1479343581199646,4.76,0.010205992497503757,818
401408,0.06,0.05,0.05,584.43,-1.1479343581199646,4.76,0.006699427962303162,814
409600,0.11,0.07,0.08,571.36,-0.40822500467300415,7.28,0.023446550592780113,808
417792,0.11,0.07,0.08,571.36,-0.4240096998214722,7.28,0.006266595795750618,804
425984,0.06,0.07,0.06,583.31,-1.1978188335895539,6.58,0.008017608895897865,799
434176,0.06,0.07,0.06,583.31,-1.1914160966873169,6.58,0.008582711219787598,795
442368,0.07,0.08,0.06,583.29,-0.9872459053993226,7.7,0.006958309561014175,790
450560,0.09,0.09,0.06,578.34,-0.7447246110439301,8.57,0.004003301728516817,786
458752,0.09,0.08,0.06,578.34,-0.8079836428165436,8.57,0.0060783876106143,783
466944,0.03,0.08,0.06,594.03,-1.6961076593399047,6.93,0.01317630149424076,779
475136,0.04,0.08,0.07,591.33,-1.5537974298000337,7.64,0.00952125620096922,776
483328,0.06,0.08,0.07,585.76,-1.2817975676059723,9.28,0.014021838083863258,773
491520,0.06,0.06,0.07,585.76,-1.2352594685554505,8.08,0.0077379848808050156,770
499712,0.03,0.05,0.07,590.73,-1.6899200797080993,5.11,0.007707885000854731,767
507904,0.04,0.06,0.07,588.04,-1.4513140714168549,4.42,0.007973713800311089,764
516096,0.04,0.06,0.07,588.04,-1.4513140714168549,4.42,0.009703416377305984,762
524288,0.04,0.05,0.03,588.04,-1.3951726460456848,3.89,0.01109122484922409,759
532480,0.04,0.05,0.03,588.04,-1.3901915562152862,3.89,0.00813835859298706,757
540672,0.01,0.04,0.03,596.31,-1.770764534473419,0.83,0.005909706465899944,754
548864,0.01,0.04,0.03,596.31,-1.7769241046905517,0.83,0.00851067528128624,752
557056,0.03,0.05,0.04,592.69,-1.433779536485672,0.83,0.012890712358057499,749
565248,0.04,0.04,0.05,590.24,-1.2937966203689575,1.44,0.005994569510221481,747
573440,0.04,0.03,0.05,590.24,-1.289500330686569,1.44,0.005321528762578964,745
581632,0.04,0.03,0.03,589.76,-1.2222213584184647,1.44,0.0076937442645430565,743
589824,0.04,0.03,0.03,589.76,-1.2173547118902206,1.44,0.002784850774332881,741
598016,0.04,0.03,0.02,589.76,-1.2134906429052352,1.44,0.003075071843340993,739
606208,0.04,0.03,0.02,589.76,-1.213939178586006,1.44,0.005382610484957695,738
614400,0.0,0.03,0.02,599.0,-1.9142773240804671,0.83,0.00909971073269844,736
622592,0.0,0.03,0.02,599.0,-1.9012759989500045,0.83,0.005555948708206415,734
630784,0.01,0.04,0.02,595.62,-1.7158735090494155,0.83,0.008576694875955582,733
638976,0.03,0.04,0.03,589.63,-1.4734300100803375,1.88,0.004519688431173563,731
647168,0.04,0.04,0.04,587.69,-1.3701377415657043,3.12,0.03672367334365845,729
655360,0.04,0.04,0.04,587.69,-1.4061102896928788,2.29,0.005880139768123627,728
663552,0.04,0.04,0.04,587.69,-1.3676748889684678,2.29,0.004975274205207825,726
671744,0.05,0.05,0.04,584.25,-1.1775080698728562,2.29,0.00623265141621232,725
679936,0.08,0.05,0.04,575.44,-0.651141517162323,2.82,0.020986054092645645,723
688128,0.08,0.05,0.04,575.44,-0.6533671927452087,2.82,0.0038785976357758045,722
696320,0.07,0.07,0.04,577.48,-0.6370275408029556,1.25,0.007306685205549002,721
704512,0.07,0.07,0.04,577.48,-0.639611559510231,1.25,0.010697271674871445,720
712704,0.13,0.1,0.07,559.76,0.2761268156766892,3.66,0.016192035749554634,718
720896,0.13,0.1,0.07,559.76,0.21150085508823394,3.66,0.007320890668779612,717
729088,0.13,0.1,0.11,561.7,0.02205459475517273,5.73,0.006783675868064165,716
737280,0.13,0.09,0.11,561.7,0.01799344301223755,5.73,0.008739405311644077,715
745472,0.23,0.12,0.17,527.7,1.7094640517234803,9.19,0.009473847225308418,713
753664,0.23,0.12,0.18,528.06,1.5703449022769929,10.49,0.006829453632235527,712
761856,0.2,0.12,0.18,537.71,0.9682128560543061,9.8,0.0131047572940588,711
770048,0.19,0.15,0.21,540.66,0.9833152198791504,7.62,0.005482192616909742,709
778240,0.2,0.15,0.22,538.89,1.1169168639183045,8.34,0.005327312275767326,709
786432,0.21,0.12,0.23,535.47,1.1902882415056228,9.04,0.0075887455604970455,708
794624,0.21,0.12,0.22,535.47,1.2784895938634873,9.04,0.02413381263613701,707
802816,0.15,0.12,0.22,555.72,0.23814533293247223,7.27,0.01301460713148117,706
811008,0.11,0.09,0.23,570.97,-0.43632264375686647,4.91,0.005299095530062914,705
819200,0.11,0.1,0.23,570.52,-0.43545774459838865,4.91,0.009031042456626892,704
827392,0.1,0.09,0.22,571.44,-0.643863827586174,6.57,0.004080840386450291,703
835584,0.1,0.09,0.21,573.49,-0.6653085190057755,6.63,0.01429511047899723,702
843776,0.06,0.07,0.17,583.66,-1.142012095451355,3.8,0.00379161536693573,701
851968,0.08,0.08,0.18,577.02,-0.821909556388855,4.4,0.0059938570484519005,700
860160,0.11,0.09,0.19,566.84,-0.1709770530462265,4.94,0.006131308153271675,699
868352,0.13,0.1,0.16,560.91,0.33293921053409575,4.23,0.007961830124258995,699
876544,0.14,0.11,0.14,559.92,0.47143406331539156,4.86,0.012767035514116287,698
884736,0.15,0.12,0.13,554.53,0.8299134367704392,3.02,0.007881802506744862,697
892928,0.16,0.12,0.14,552.06,0.9777965849637985,3.6,0.008553611114621162,697
901120,0.2,0.16,0.12,540.16,1.6574725872278213,4.81,0.004929972346872091,696
909312,0.23,0.18,0.13,532.6,2.1294938760995863,5.36,0.009035118855535984,695
917504,0.25,0.19,0.18,526.9,2.367702291607857,7.81,0.008306873962283134,695
925696,0.23,0.19,0.19,529.71,1.9758192270994186,7.07,0.012257536873221397,694
933888,0.29,0.22,0.21,509.42,3.0024824655056,8.7,0.004324612207710743,693
942080,0.32,0.25,0.26,497.76,3.468452104330063,10.9,0.0071506863459944725,692
950272,0.35,0.28,0.27,487.75,3.974873824119568,11.85,0.0036628548987209797,691
958464,0.46,0.4,0.31,446.51,6.098238129615783,11.19,0.007074423134326935,690
966656,0.53,0.41,0.37,425.47,7.311896338462829,14.51,0.001544088707305491,689
974848,0.61,0.47,0.44,396.89,8.720772086381912,16.31,0.00985295046120882,688
983040,0.6,0.5,0.44,400.5,8.473566457033158,15.75,0.019198302179574966,688
991232,0.63,0.56,0.44,388.7,9.093234654664993,16.12,0.008255699649453163,687
