global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.011435864493250847,620
16384,nan,nan,nan,nan,nan,nan,0.03020446002483368,618
24576,nan,nan,nan,nan,nan,nan,0.007006331346929073,616
32768,nan,nan,nan,nan,nan,nan,0.019465824589133263,611
40960,0.0,0.0,0.0,599.0,-2.320089852437377,0.0,0.0136289456859231,609
49152,0.0,0.0,0.0,599.0,-2.320089852437377,0.0,0.012861248105764389,609
57344,0.0,0.0,0.0,599.0,-2.320089852437377,0.0,0.02290610410273075,609
65536,0.0,0.0,0.0,599.0,-2.320089852437377,0.0,0.015850232914090157,609
73728,0.0,0.0,0.0,599.0,-2.320089852437377,0.0,0.012853841297328472,610
81920,0.0,0.0,0.0,599.0,-2.5488165009021757,0.6,0.008665952831506729,609
90112,0.0,0.0,0.0,599.0,-2.5488165009021757,0.6,0.0030638056341558695,609
98304,0.0,0.0,0.0,599.0,-2.5488165009021757,0.6,0.004927285946905613,608
106496,0.0,0.0,0.0,599.0,-2.5488165009021757,0.6,0.001399346860125661,608
114688,0.0,0.0,0.0,599.0,-2.5488165009021757,0.6,0.009280659258365631,608
122880,0.0,0.0,0.0,599.0,-2.332822177410126,0.0,0.00403031799942255,608
131072,0.0,0.0,0.0,599.0,-2.332822177410126,0.0,0.006312129087746143,607
139264,0.0,0.0,0.0,599.0,-2.332822177410126,0.0,0.006393695715814829,607
147456,0.0,0.0,0.0,599.0,-2.332822177410126,0.0,0.00845390185713768,607
155648,0.01,0.0,0.01,598.35,-2.018429138660431,0.64,0.0013241189299151301,607
163840,0.01,0.0,0.01,598.35,-2.018429138660431,0.64,0.0059166839346289635,608
172032,0.01,0.0,0.01,598.35,-2.018429138660431,0.64,0.006827631965279579,607
180224,0.01,0.0,0.01,598.35,-2.018429138660431,0.64,0.012165531516075134,607
188416,0.02,0.01,0.01,596.99,-1.8298416709899903,0.64,0.01312605943530798,607
196608,0.01,0.01,0.01,597.64,-1.9076216006278992,0.64,0.008713208138942719,606
204800,0.01,0.01,0.01,597.64,-1.9076216006278992,0.64,0.011776166036725044,606
212992,0.01,0.01,0.01,597.64,-1.9076216006278992,0.64,0.008669482544064522,605
221184,0.01,0.01,0.01,597.64,-1.9076216006278992,0.64,0.0017573959194123745,605
229376,0.01,0.01,0.01,597.64,-1.9180676519870759,0.64,0.0036535412073135376,605
