global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.010570509359240532,541
16384,nan,nan,nan,nan,nan,nan,0.037870556116104126,568
24576,nan,nan,nan,nan,nan,nan,0.011396072804927826,589
32768,nan,nan,nan,nan,nan,nan,0.021091513335704803,593
40960,0.0,0.0,0.0,599.0,-2.3687573298811913,0.0,0.012537004426121712,596
49152,0.0,0.0,0.0,599.0,-2.3687573298811913,0.0,0.018191901966929436,597
57344,0.0,0.0,0.0,599.0,-2.3687573298811913,0.0,0.022356491535902023,596
65536,0.0,0.0,0.0,599.0,-2.3687573298811913,0.0,0.01719049923121929,596
73728,0.0,0.0,0.0,599.0,-2.3687573298811913,0.0,0.008426601067185402,595
81920,0.0,0.0,0.0,599.0,-2.6245681726932526,1.38,0.0047080498188734055,596
90112,0.0,0.0,0.0,599.0,-2.6245681726932526,1.38,0.0034842207096517086,596
98304,0.0,0.0,0.0,599.0,-2.6245681726932526,1.38,0.004921664483845234,596
106496,0.01,0.0,0.015151515151515152,597.01,-2.5363834178447724,1.94,0.002689709421247244,596
114688,0.01,0.0,0.015151515151515152,597.01,-2.5363834178447724,1.94,0.010622574016451836,595
122880,0.01,0.0,0.011111111111111112,597.01,-2.3437563264369965,2.22,0.006174150854349136,597
131072,0.01,0.0,0.011111111111111112,597.01,-2.3437563264369965,2.22,0.008742383681237698,596
139264,0.01,0.0,0.011111111111111112,597.01,-2.3437563264369965,2.22,0.00908795278519392,595
147456,0.01,0.0,0.011111111111111112,597.01,-2.333144112825394,2.22,0.01843600906431675,593
155648,0.0,0.0,0.01,599.0,-2.016569505929947,0.0,0.0053903767839074135,593
163840,0.0,0.0,0.01,599.0,-2.016569505929947,0.0,0.004605971276760101,592
172032,0.0,0.0,0.01,599.0,-2.016569505929947,0.0,0.013557386584579945,592
180224,0.01,0.01,0.01,596.99,-1.8425309550762177,0.0,0.007462313398718834,592
188416,0.02,0.01,0.02,595.29,-1.7968369352817535,0.84,0.007712162099778652,592
196608,0.02,0.01,0.02,595.29,-1.6907638609409332,0.84,0.012467676773667336,591
204800,0.02,0.01,0.02,595.29,-1.6907638609409332,0.84,0.01064549945294857,591
212992,0.02,0.01,0.02,595.29,-1.6907638609409332,0.84,0.00658073415979743,591
221184,0.03,0.02,0.02,593.47,-1.4795760750770568,0.84,0.006355742923915386,591
229376,0.05,0.03,0.03,592.78,-1.2660400795936584,1.51,0.007141545414924622,591
237568,0.04,0.03,0.03,596.49,-1.3853488886356353,0.95,0.0057351356372237206,591
245760,0.04,0.03,0.03,596.49,-1.3853488886356353,0.95,0.008645114488899708,592
253952,0.06,0.05,0.03,591.5,-1.0370601117610931,0.95,0.003377217799425125,592
262144,0.07,0.06,0.03,589.8,-0.9275073599815369,0.95,0.010260040871798992,592
270336,0.04,0.05,0.04,591.51,-2.0606045293807984,3.88,0.006775822024792433,592
278528,0.04,0.05,0.04,591.51,-2.0606045293807984,3.88,0.01616579294204712,592
286720,0.04,0.05,0.04,591.51,-2.0606045293807984,3.88,0.004404314793646336,592
294912,0.04,0.05,0.04,591.51,-2.0396593809127808,3.88,0.00810199324041605,591
303104,0.04,0.05,0.04,591.51,-2.027321056127548,3.88,0.009725620970129967,591
311296,0.0,0.05,0.03,599.0,-2.2635372638702393,1.85,0.004766345024108887,590
319488,0.0,0.05,0.03,599.0,-2.2635372638702393,1.85,0.010264269076287746,590
327680,0.0,0.05,0.03,599.0,-2.2635372638702393,1.85,0.006447874009609222,591
335872,0.0,0.05,0.03,599.0,-2.2518081963062286,1.85,0.008113281801342964,591
344064,0.01,0.04,0.03,598.19,-2.0930281472206116,1.85,0.008885438553988934,591
352256,0.01,0.04,0.0,598.19,-1.5332157728821039,0.0,0.01002875529229641,591
360448,0.01,0.04,0.0,598.19,-1.5332157728821039,0.0,0.0032042469829320908,591
368640,0.02,0.05,0.0,595.05,-1.350055770650506,0.0,0.00646044360473752,591
376832,0.02,0.05,0.0,595.05,-1.353048078790307,0.0,0.006392567418515682,591
385024,0.03,0.02,0.02,595.56,-1.3813645181804894,1.49,0.00672150170430541,591
