global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.009855406358838081,629
16384,nan,nan,nan,nan,nan,nan,0.011143092066049576,633
24576,nan,nan,nan,nan,nan,nan,0.0027051465585827827,628
32768,nan,nan,nan,nan,nan,nan,0.00776609405875206,626
40960,0.0,0.0,0.0,599.0,-5.3533315770328045,0.15625,0.011985020712018013,627
49152,0.0,0.0,0.0,599.0,-5.3533315770328045,0.15625,0.0035147382877767086,628
57344,0.0,0.0,0.0,599.0,-5.3533315770328045,0.15625,0.0033510569483041763,628
65536,0.0,0.0,0.0,599.0,-5.3533315770328045,0.15625,0.007045561447739601,629
73728,0.0,0.0,0.0,599.0,-5.3533315770328045,0.15625,0.004083277657628059,629
81920,0.0,0.0,0.0,599.0,-4.904641430377961,0.0,0.0028747785836458206,627
90112,0.0,0.0,0.0,599.0,-4.904641430377961,0.0,0.009347722865641117,628
98304,0.0,0.0,0.0,599.0,-4.904641430377961,0.0,0.006989810615777969,629
106496,0.0,0.0,0.0,599.0,-4.904641430377961,0.0,0.02224058285355568,629
114688,0.0,0.0,0.0,599.0,-4.904641430377961,0.0,0.014626985415816307,629
122880,0.0,0.0,0.0,599.0,-3.7267841008491813,0.0,0.015508417040109634,628
131072,0.0,0.0,0.0,599.0,-3.7267841008491813,0.0,0.004895774647593498,629
139264,0.0,0.0,0.0,599.0,-3.7267841008491813,0.0,0.012077711522579193,629
147456,0.0,0.0,0.0,599.0,-3.7267841008491813,0.0,0.007566857151687145,629
155648,0.0,0.0,0.0,599.0,-2.906027497369796,0.0,0.0024671044666320086,630
163840,0.0,0.0,0.0,599.0,-2.906027497369796,0.0,0.004996684845536947,630
172032,0.0,0.0,0.0,599.0,-2.906027497369796,0.0,0.005670599639415741,629
180224,0.0,0.0,0.0,599.0,-2.906027497369796,0.0,0.011043250560760498,628
188416,0.0,0.0,0.0,599.0,-2.906027497369796,0.0,0.004169492982327938,628
196608,0.0,0.0,0.0,599.0,-2.9078563725948334,0.11,0.012419523671269417,627
204800,0.0,0.0,0.0,599.0,-2.9078563725948334,0.11,0.0022382878232747316,627
212992,0.0,0.0,0.0,599.0,-2.9078563725948334,0.11,0.015990499407052994,628
221184,0.0,0.0,0.0,599.0,-2.9078563725948334,0.11,0.015677442774176598,628
229376,0.01,0.0,0.01,598.56,-2.8424979960918426,1.41,0.016621896997094154,627
237568,0.01,0.0,0.01,598.56,-2.8806274557113647,6.14,0.01348041370511055,627
