global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.007619960233569145,817
16384,nan,nan,nan,nan,nan,nan,0.01280183345079422,806
24576,nan,nan,nan,nan,nan,nan,0.04665490984916687,681
32768,nan,nan,nan,nan,nan,nan,0.02486550249159336,626
40960,0.0,0.0,0.0,599.0,-5.385749202221632,0.0,0.012652468867599964,605
49152,0.0,0.0,0.0,599.0,-5.385749202221632,0.0,0.025056855753064156,582
57344,0.0,0.0,0.0,599.0,-5.385749202221632,0.0,0.012741219252347946,568
65536,0.0,0.0,0.0,599.0,-5.385749202221632,0.0,0.0066137430258095264,557
73728,0.0,0.0,0.0,599.0,-5.385749202221632,0.0,0.004442994482815266,550
81920,0.0,0.0,0.0,599.0,-5.243280708789825,0.0,0.0174255333840847,544
90112,0.0,0.0,0.0,599.0,-5.243280708789825,0.0,0.007078105583786964,537
98304,0.0,0.0,0.0,599.0,-5.243280708789825,0.0,0.005125737749040127,532
106496,0.0,0.0,0.0,599.0,-5.243280708789825,0.0,0.02271851897239685,530
114688,0.0,0.0,0.0,599.0,-5.243280708789825,0.0,0.022569429129362106,529
122880,0.0,0.0,0.0,599.0,-4.7471073269844055,0.0,0.014254264533519745,526
131072,0.0,0.0,0.0,599.0,-4.7471073269844055,0.0,0.019636370241642,524
139264,0.0,0.0,0.0,599.0,-4.7471073269844055,0.0,0.009118033573031425,521
147456,0.0,0.0,0.0,599.0,-4.7471073269844055,0.0,0.005069100763648748,520
155648,0.0,0.0,0.0,599.0,-4.455174899920821,11.54,0.005107945296913385,518
163840,0.0,0.0,0.0,599.0,-4.455174899920821,11.54,0.006837177090346813,517
172032,0.0,0.0,0.0,599.0,-4.455174899920821,11.54,0.014520744793117046,515
180224,0.0,0.0,0.0,599.0,-4.455174899920821,11.54,0.003127596341073513,514
188416,0.0,0.0,0.0,599.0,-4.455174899920821,11.54,0.01036827266216278,513
196608,0.0,0.0,0.0,599.0,-4.09477590881288,16.3,0.0033929231576621532,513
204800,0.0,0.0,0.0,599.0,-4.09477590881288,16.3,0.008985165506601334,512
212992,0.0,0.0,0.0,599.0,-4.09477590881288,16.3,0.0030695192981511354,511
221184,0.0,0.0,0.0,599.0,-4.09477590881288,16.3,0.007052158936858177,510
229376,0.01,0.01,0.0,598.53,-3.9772266133874656,17.23,0.010728826746344566,510
237568,0.01,0.01,0.0,598.53,-4.416837575752288,25.83,0.008468559011816978,510
245760,0.01,0.01,0.0,598.53,-4.416837575752288,25.83,0.007525949273258448,510
253952,0.01,0.01,0.0,598.53,-4.416837575752288,25.83,0.005632677115499973,510
262144,0.01,0.01,0.0,598.53,-4.416837575752288,25.83,0.009300160221755505,510
270336,0.0,0.01,0.0,599.0,-4.728318673372269,43.17,0.0033718275371938944,509
278528,0.0,0.01,0.0,599.0,-4.728318673372269,43.17,0.007270344533026218,510
286720,0.0,0.01,0.0,599.0,-4.728318673372269,43.17,0.009132178500294685,509
294912,0.0,0.01,0.0,599.0,-4.728318673372269,43.17,0.0063897776417434216,509
303104,0.02,0.02,0.01,596.78,-4.48594034075737,44.05,0.007162271998822689,509
311296,0.02,0.02,0.01,596.78,-5.665590381622314,52.43,0.008675514720380306,508
319488,0.02,0.02,0.01,596.78,-5.665590381622314,52.43,0.00816098041832447,508
327680,0.02,0.02,0.01,596.78,-5.665590381622314,52.43,0.00912464503198862,508
335872,0.02,0.02,0.01,596.78,-5.68347246170044,51.68,0.0039762165397405624,507
344064,0.03,0.02,0.02,595.44,-5.543041920661926,49.86,0.0102533008903265,506
352256,0.01,0.01,0.02,597.66,-5.133288042545319,34.36,0.005621553864330053,506
360448,0.01,0.01,0.02,597.66,-5.133288042545319,34.36,0.00885835848748684,506
368640,0.01,0.01,0.02,597.66,-5.133288042545319,34.36,0.006744619458913803,505
376832,0.01,0.01,0.02,597.66,-5.124553287029267,34.36,0.005599694326519966,505
385024,0.01,0.01,0.03,598.49,-3.9148129439353943,11.08,0.007231866009533405,504
393216,0.01,0.01,0.03,598.49,-3.9148129439353943,11.08,0.0031930862460285425,505
401408,0.01,0.01,0.03,598.49,-3.9148129439353943,11.08,0.0063535538502037525,504
409600,0.01,0.01,0.03,598.49,-3.9148129439353943,11.08,0.009129848331212997,504
417792,0.03,0.01,0.05,596.51,-3.4402628922462464,8.18,0.006073882803320885,504
425984,0.02,0.0,0.03,597.02,-3.4467933487892153,2.01,0.004978697746992111,503
434176,0.02,0.0,0.03,597.02,-3.4467933487892153,2.01,0.030887864530086517,503
442368,0.02,0.0,0.03,597.02,-3.4467933487892153,2.01,0.008792711421847343,503
450560,0.03,0.0,0.04,595.37,-3.305542471408844,2.78,0.005370759405195713,503
458752,0.04,0.0,0.05,594.37,-3.2244651675224305,2.88,0.013410942628979683,503
466944,0.02,0.0,0.05,596.35,-3.2170906436443327,6.06,0.007107641082257032,503
475136,0.02,0.0,0.05,596.35,-3.2170906436443327,6.06,0.0042440081015229225,503
483328,0.02,0.0,0.05,596.35,-3.2170906436443327,6.06,0.004972097929567099,503
