global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.013379724696278572,1017
16384,nan,nan,nan,nan,nan,nan,0.016025271266698837,1036
24576,nan,nan,nan,nan,nan,nan,0.003894235473126173,962
32768,nan,nan,nan,nan,nan,nan,0.008524610660970211,866
40960,0.0,0.0,0.0,599.0,-2.840830573812127,1.546875,0.010163245722651482,811
49152,0.0,0.0,0.0,599.0,-2.840830573812127,1.546875,0.009445210918784142,772
57344,0.0,0.0,0.0,599.0,-2.840830573812127,1.546875,0.011237915605306625,750
65536,0.0,0.0,0.0,599.0,-2.840830573812127,1.546875,0.0063718874007463455,733
73728,0.0,0.0,0.0,599.0,-2.840830573812127,1.546875,0.00573441619053483,720
81920,0.0,0.0,0.0,599.0,-2.519908400774002,1.9,0.004209037870168686,708
90112,0.0,0.0,0.0,599.0,-2.519908400774002,1.9,0.002116171410307288,703
98304,0.0,0.0,0.0,599.0,-2.519908400774002,1.9,0.010869148187339306,695
106496,0.0,0.0,0.0,599.0,-2.519908400774002,1.9,0.013969074934720993,688
114688,0.0,0.0,0.0,599.0,-2.519908400774002,1.9,0.007472782861441374,682
122880,0.0,0.0,0.0,599.0,-2.125817966461182,1.34,0.0056286100298166275,679
131072,0.0,0.0,0.0,599.0,-2.125817966461182,1.34,0.007330838590860367,677
139264,0.0,0.0,0.0,599.0,-2.125817966461182,1.34,0.0031718024984002113,674
147456,0.0,0.0,0.0,599.0,-2.125817966461182,1.34,0.010790353640913963,671
155648,0.0,0.0,0.0,599.0,-2.249606589078903,2.53,0.004188086837530136,669
163840,0.0,0.0,0.0,599.0,-2.249606589078903,2.53,0.009168053977191448,668
172032,0.0,0.0,0.0,599.0,-2.249606589078903,2.53,0.025972601026296616,666
180224,0.0,0.0,0.0,599.0,-2.249606589078903,2.53,0.01855059713125229,664
188416,0.0,0.0,0.0,599.0,-2.249606589078903,2.53,0.008686378598213196,663
196608,0.0,0.0,0.0,599.0,-1.5505845182389022,1.48,0.014081833884119987,662
204800,0.0,0.0,0.0,599.0,-1.5505845182389022,1.48,0.013341176323592663,660
212992,0.0,0.0,0.0,599.0,-1.5505845182389022,1.48,0.016104713082313538,659
221184,0.0,0.0,0.0,599.0,-1.5505845182389022,1.48,0.010508266277611256,658
229376,0.04,0.04,0.0,596.05,-0.8940730231255293,1.48,0.004412894137203693,657
237568,0.04,0.04,0.0,596.05,-1.1867781304568052,0.29,0.007299002259969711,657
245760,0.04,0.04,0.0,596.05,-1.1867781304568052,0.29,0.003963242284953594,657
253952,0.04,0.04,0.0,596.05,-1.1867781304568052,0.29,0.011528460308909416,656
262144,0.06,0.06,0.0,592.8,-0.8711127685755491,0.29,0.009837465360760689,656
270336,0.05,0.09,0.0,595.09,-1.1992093900591134,8.28,0.00684659369289875,655
278528,0.05,0.09,0.0,595.09,-1.1992093900591134,8.28,0.008899614214897156,655
286720,0.07,0.11,0.0,590.76,-0.8370102337747812,8.28,0.011256170459091663,654
294912,0.1,0.14,0.0,583.49,-0.30751021303236487,8.28,0.01722310483455658,653
303104,0.14,0.17,0.01,578.25,0.16345188818871975,12.16,0.007805093191564083,652
311296,0.1,0.18,0.01,581.62,-0.63012271232903,14.24,0.012294122017920017,652
319488,0.11,0.19,0.01,581.26,-0.3937303001433611,13.87,0.014441432431340218,651
327680,0.12,0.2,0.01,578.39,-0.24918197579681872,13.86,0.00664757564663887,651
335872,0.15,0.23,0.01,571.54,0.21530136100947858,13.49,0.011129999533295631,650
344064,0.17,0.24,0.02,569.94,0.39179170191287993,14.05,0.0057660541497170925,650
352256,0.07,0.2,0.02,587.32,-1.1360819059610368,4.82,0.007863128557801247,650
360448,0.1,0.23,0.02,581.55,-0.6361323654651642,4.82,0.009360479190945625,649
368640,0.14,0.27,0.02,569.96,0.20467621743679046,4.23,0.0263420008122921,649
376832,0.14,0.27,0.02,569.96,0.307224383354187,2.14,0.007115059066563845,649
385024,0.07,0.22,0.01,581.64,-0.7306952601671219,0.0,0.0044897375628352165,649
393216,0.08,0.23,0.01,579.81,-0.5565999966859817,0.0,0.010529880411922932,649
401408,0.1,0.25,0.01,575.06,-0.19807056844234466,0.0,0.006943732965737581,649
409600,0.16,0.28,0.02,561.2,0.9053010004758835,1.01,0.005867434199899435,648
417792,0.23,0.27,0.04,551.13,1.9479370039701462,3.0,0.007439068518579006,648
425984,0.19,0.24,0.04,562.77,1.3101184499263763,3.0,0.0068855429999530315,648
