global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.010880623012781143,399,1.0
16384,1.0,1.0,nan,225.61111111111111,17.18531937069363,0.0,0.006553136743605137,383,1.0
24576,1.0,1.0,nan,225.57894736842104,17.18627437792326,0.0,0.008516700938344002,375,1.0
32768,1.0,1.0,nan,224.04347826086956,17.19945642222529,0.0,0.006508881226181984,365,1.0
40960,0.5952380952380952,1.0,0.0,375.1666666666667,6.465618258430844,0.0,0.005749508272856474,362,0.5142857142857142
49152,0.5555555555555556,1.0,0.0,390.0888888888889,5.402915880415175,0.0,0.0075195664539933205,358,0.5813953488372093
57344,0.6,1.0,0.0,374.25,6.564037489891052,0.0,0.006961927283555269,354,0.5660377358490566
65536,0.625,1.0,0.0,365.25,7.225049205124378,0.0,0.012107519432902336,353,0.5689655172413793
73728,0.6301369863013698,1.0,0.0,363.5890410958904,7.352400093862455,0.0,0.01744331419467926,351,0.5606060606060606
81920,0.5833333333333334,1.0,0.0,381.60714285714283,6.097703485261826,0.0,0.007472655735909939,352,0.5
90112,0.5681818181818182,1.0,0.0,387.71590909090907,5.690748133442619,0.0,0.010973148979246616,352,0.5
98304,0.54,1.0,0.0,398.16,4.93163489818573,0.0,0.00885416753590107,351,0.494949494949495
106496,0.52,1.0,0.0,407.7,4.37988781452179,0.0,0.004375334829092026,350,0.45
114688,0.5,1.0,0.0,414.71,3.846590447425842,0.0,0.02176138013601303,349,0.46
122880,0.44,1.0,0.0,437.26,2.242809672355652,0.0,0.008855893276631832,349,0.5
131072,0.49,1.0,0.0,420.6,3.5164245986938476,0.0,0.004572166129946709,347,0.44
139264,0.56,1.0,0.0,397.31,5.3578729152679445,0.0,0.006128717213869095,348,0.46
147456,0.53,1.0,0.0,409.22,4.542057514190674,0.0,0.005618056282401085,348,0.46
155648,0.5,1.0,0.0,419.83,3.750838918685913,0.0,0.00683441199362278,348,0.48
163840,0.49,1.0,0.0,423.11,3.4879952239990235,0.0,0.005145050585269928,348,0.46
172032,0.53,1.0,0.0,408.67,4.534151344299317,0.0,0.007716376334428787,347,0.49
180224,0.52,1.0,0.0,411.79,4.259128437042237,0.0,0.012955576181411743,347,0.48
188416,0.55,1.0,0.0,400.21,5.056155347824097,0.0,0.004830586723983288,346,0.47
196608,0.52,1.0,0.0,409.91,4.26175892829895,0.0,0.007877763360738754,345,0.49
204800,0.57,1.0,0.0,391.08,5.5979702758789065,0.0,0.005712195765227079,345,0.47
212992,0.55,1.0,0.0,398.49,5.053570957183838,0.0,0.005995580460876226,345,0.47
221184,0.58,1.0,0.0,385.28,5.872340145111084,0.0,0.009182263165712357,345,0.44
229376,0.51,1.0,0.0,408.05,4.02133020401001,0.0,0.004504407290369272,344,0.43
237568,0.53,1.0,0.0,400.24,4.555789403915405,0.0,0.012952788732945919,344,0.41
245760,0.53,1.0,0.0,400.41,4.556183815002441,0.0,0.005258123390376568,343,0.41
253952,0.53,1.0,0.0,399.36,4.568505296707153,0.0,0.00714217871427536,343,0.37
262144,0.51,1.0,0.0,406.76,4.020888614654541,0.0,0.011058474890887737,343,0.38
270336,0.49,1.0,0.0,414.44,3.4838179397583007,0.0,0.010308323428034782,343,0.38
278528,0.47,1.0,0.0,422.18,2.9293290328979493,0.0,0.008896319195628166,342,0.36
286720,0.47,1.0,0.0,422.04,2.9437899780273438,0.0,0.00858680997043848,340,0.38
294912,0.46,1.0,0.0,425.96,2.676848249435425,0.0,0.007182628847658634,339,0.36
303104,0.47,1.0,0.0,422.09,3.0319066524505613,0.01,0.00786810927093029,337,0.37
311296,0.47,1.0,0.0,422.04,3.0344775199890135,0.01,0.004931248724460602,336,0.35
319488,0.46,1.0,0.0,425.95,2.9940640914440153,0.01,0.005778542719781399,335,0.38
327680,0.5,1.0,0.0,410.78,4.162822998762131,0.01,0.004371084738522768,334,0.4
335872,0.48,1.0,0.0,418.25,3.933264000415802,0.01,0.006146000698208809,333,0.37
344064,0.46,1.0,0.0,425.99,3.3974647736549377,0.01,0.00487409345805645,332,0.41
352256,0.5,1.0,0.0,410.65,4.645637135505677,0.01,0.005062274169176817,331,0.37
360448,0.53,1.0,0.0,399.66,5.466342892646789,0.01,0.020150218158960342,330,0.37
368640,0.53,1.0,0.0,399.7,5.456358828544617,0.01,0.005479412153363228,330,0.35
376832,0.5,1.0,0.0,410.34,4.7230772781372075,0.01,0.012692354619503021,329,0.33
385024,0.49,1.0,0.0,414.05,4.400091886520386,0.0,0.006790286861360073,328,0.35
393216,0.49,1.0,0.0,413.83,4.403905572891236,0.0,0.0071678063832223415,328,0.37
401408,0.48,0.98,0.0,417.67,4.175060371160507,0.13,0.004457099828869104,327,0.39
409600,0.47,0.98,0.0,421.11,3.771671077013016,0.13,0.004589010961353779,326,0.38
417792,0.46,0.98,0.0,425.46,3.39721492767334,0.13,0.0067900377325713634,326,0.41
425984,0.46,0.98,0.0,425.22,3.205964447259903,0.13,0.007700034882873297,325,0.42
434176,0.45,0.98,0.0,429.29,2.992735916376114,0.13,0.01237034797668457,324,0.48
442368,0.45,0.98,0.0,429.68,2.9212365877628326,0.13,0.008145356550812721,324,0.49
450560,0.43,0.98,0.0,437.6,2.530248154401779,0.13,0.007010833825916052,323,0.53
458752,0.43,0.98,0.0,437.6,2.5594784343242645,0.13,0.010383855551481247,323,0.52
466944,0.42,0.98,0.0,442.02,2.2089854848384856,0.13,0.004015388898551464,323,0.53
475136,0.43,0.98,0.0,438.38,2.435185588598251,0.13,0.009758036583662033,324,0.51
483328,0.41,0.98,0.0,446.05,1.778660854101181,0.0,0.004021383821964264,324,0.52
491520,0.43,0.98,0.0,439.04,2.386267213821411,0.0,0.006755189970135689,324,0.51
499712,0.44,0.98,0.0,435.06,2.6681514835357665,0.0,0.011531703174114227,324,0.51
507904,0.43,0.98,0.0,439.39,2.3684163427352907,0.0,0.008278798311948776,325,0.51
516096,0.4,0.98,0.0,450.77,1.585539698600769,0.0,0.009030437096953392,325,0.49
524288,0.41,0.98,0.0,446.2,1.7166508030891419,0.0,0.010674834251403809,325,0.44
532480,0.45,0.98,0.0,432.74,2.605466060638428,0.0,0.0024006282910704613,325,0.41
540672,0.47,0.98,0.0,425.9,3.213819646835327,0.0,0.010889677330851555,325,0.41
548864,0.47,0.98,0.0,426.33,3.3744501209259035,0.0,0.011624153703451157,325,0.43
557056,0.51,0.98,0.0,412.29,4.4347348880767825,0.0,0.007140362169593573,324,0.43
565248,0.47,0.98,0.0,427.88,3.5647790002822877,0.0,0.0066278534941375256,324,0.43
