global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.007570931222289801,360,1.0
16384,1.0,1.0,nan,222.94117647058823,17.21728179034065,0.0,0.005341639276593924,329,1.0
24576,1.0,1.0,nan,229.10526315789474,17.158267573306436,0.0,0.00761426892131567,323,1.0
32768,1.0,1.0,nan,228.36363636363637,17.16427161476829,0.0,0.007133834064006805,320,1.0
40960,0.575,1.0,0.0,385.525,5.848624885082245,0.0,0.0077523766085505486,318,0.5588235294117647
49152,0.5348837209302325,1.0,0.0,400.4186046511628,4.781982765641323,0.0,0.006399635225534439,309,0.6097560975609756
57344,0.559322033898305,1.0,0.0,391.5593220338983,5.498120930235265,0.0,0.00859062746167183,306,0.5892857142857143
65536,0.5483870967741935,1.0,0.0,395.9032258064516,5.176474071318103,0.0,0.005938787944614887,307,0.6129032258064516
73728,0.5588235294117647,1.0,0.0,392.54411764705884,5.449609020177056,0.0,0.016510460525751114,306,0.625
81920,0.5060240963855421,1.0,0.0,412.0722891566265,4.0259389360267,0.0,0.01121912244707346,305,0.5476190476190477
90112,0.5274725274725275,1.0,0.0,404.57142857142856,4.58960114468585,0.0,0.005673633888363838,304,0.5274725274725275
98304,0.48,1.0,0.0,422.8,3.513521113395691,0.0,0.012002184987068176,305,0.52
106496,0.45,1.0,0.0,433.93,2.757139892578125,0.0,0.008806778118014336,305,0.49
114688,0.43,1.0,0.0,440.42,2.2292158222198486,0.0,0.006787807680666447,305,0.47
122880,0.43,1.0,0.0,440.52,2.423651599884033,0.0,0.008840234018862247,304,0.5
131072,0.46,1.0,0.0,430.07,3.2202979564666747,0.0,0.007376588881015778,303,0.45
139264,0.46,1.0,0.0,430.1,3.2556817507743836,0.0,0.007136151194572449,303,0.45
147456,0.46,1.0,0.0,430.23,3.3564473092556,0.0,0.01589857041835785,303,0.44
155648,0.45,1.0,0.0,433.76,3.1783239924907685,0.0,0.005730626173317432,304,0.42
163840,0.47,1.0,0.0,427.45,3.7861150121688842,0.0,0.007576689124107361,303,0.41
172032,0.46,1.0,0.0,431.2,3.7025136029720307,0.0,0.004706366453319788,303,0.41
180224,0.46,1.0,0.0,431.24,3.6417673456668855,0.0,0.007633138447999954,303,0.42
188416,0.46,1.0,0.0,433.05,3.7496381056308747,0.0,0.006777522154152393,303,0.39
196608,0.45,1.0,0.0,437.59,3.5170252096652983,0.0,0.009119517169892788,303,0.38
204800,0.46,0.99,0.0,435.7,3.933056972026825,0.0,0.006509173661470413,303,0.37
212992,0.43,0.99,0.0,447.85,3.1112781345844267,0.01,0.010211974382400513,303,0.34
221184,0.45,0.99,0.0,441.9,3.7113176476955414,0.01,0.008145976811647415,303,0.37
229376,0.47,0.99,0.0,436.42,4.297487610578537,0.01,0.007023675367236137,303,0.37
237568,0.46,0.99,0.0,440.83,4.0504134500026705,0.01,0.009657371789216995,305,0.37
245760,0.45,0.99,0.0,444.11,3.7722625875473024,0.01,0.005905162543058395,306,0.38
253952,0.47,0.99,0.0,437.35,4.368718771338463,0.01,0.011575867421925068,307,0.36
262144,0.47,0.98,0.0,437.39,4.3542372828722,0.01,0.007747837342321873,308,0.36
270336,0.48,0.98,0.0,434.4,4.573352755904198,0.01,0.009941142052412033,309,0.39
278528,0.49,0.98,0.0,431.48,4.757824172377586,0.01,0.011362212710082531,311,0.39
286720,0.5,0.98,0.0,426.61,4.754727632403374,0.01,0.005737015511840582,311,0.42
294912,0.51,0.98,0.0,422.87,4.977211973071098,0.01,0.013335417956113815,312,0.39
303104,0.52,0.98,0.0,418.78,5.022359150052071,0.01,0.00824743788689375,313,0.39
311296,0.55,0.98,0.0,408.06,5.75849454343319,0.0,0.007599350064992905,314,0.38
319488,0.52,0.98,0.0,415.61,4.920178386569023,0.0,0.004163327161222696,315,0.39
327680,0.49,0.98,0.0,425.83,4.200091270804405,0.0,0.00933800358325243,316,0.37
335872,0.51,0.98,0.0,418.63,4.557590498328209,0.0,0.011670608073472977,316,0.39
344064,0.47,0.98,0.0,434.91,3.3855476236343383,0.0,0.008504366502165794,317,0.4
352256,0.46,0.98,0.0,437.06,3.172860927581787,0.0,0.007695725187659264,318,0.36
360448,0.47,0.98,0.01,434.67,3.3768918085098267,0.58,0.0052682384848594666,319,0.35
368640,0.46,0.98,0.01,438.27,3.0201588010787965,0.62,0.007678356021642685,319,0.37
376832,0.44,0.98,0.01,445.44,2.5614523005485537,0.62,0.004953811876475811,319,0.36
385024,0.44,0.98,0.01,443.83,2.5056521272659302,0.62,0.008176513016223907,320,0.39
393216,0.45,0.99,0.01,438.15,2.8614569020271303,0.62,0.0055795153602957726,321,0.38
401408,0.44,0.99,0.01,441.84,2.591603548526764,0.62,0.011468588374555111,321,0.41
409600,0.44,0.99,0.01,441.26,2.6090040755271913,0.62,0.008325820788741112,321,0.42
417792,0.45,0.99,0.01,437.25,2.8113021516799925,0.62,0.006423972547054291,322,0.46
425984,0.47,0.99,0.01,429.3,3.376494607925415,0.68,0.008807580918073654,323,0.47
434176,0.48,0.99,0.01,421.94,3.5652613401412965,0.1,0.008485772646963596,323,0.51
442368,0.48,0.99,0.01,421.64,3.5713947725296022,0.1,0.006140395533293486,323,0.5
450560,0.47,1.0,0.01,424.9,3.2962808275222777,0.07,0.014421163126826286,324,0.49
458752,0.48,1.0,0.01,421.32,3.5910349607467653,0.06,0.011526810936629772,324,0.51
466944,0.5,1.0,0.01,413.0,4.085286514759064,0.06,0.005706414580345154,324,0.51
475136,0.47,1.0,0.01,423.95,3.177808041572571,0.09,0.004559798166155815,325,0.5
