global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.011880548670887947,484,nan
16384,1.0,1.0,nan,236.28571428571428,17.079351697649276,0.0,0.034226540476083755,475,nan
24576,1.0,1.0,1.0,280.8695652173913,16.630637085956074,0.0,0.030652504414319992,465,nan
32768,1.0,1.0,1.0,297.57142857142856,16.465007781982422,0.0,0.020665112882852554,465,nan
40960,0.52,0.7083333333333334,0.18518518518518517,447.70666666666665,4.7347173515955605,1.4666666666666666,0.021149415522813797,461,nan
49152,0.5384615384615384,0.72,0.21428571428571427,444.1794871794872,5.164001655884278,1.4102564102564104,0.02336736023426056,462,nan
57344,0.57,0.7464788732394366,0.1935483870967742,425.02,5.838655935525894,1.44,0.03544197231531143,458,nan
65536,0.53,0.7368421052631579,0.20588235294117646,440.7,4.786488243341446,1.72,0.03339114040136337,459,nan
73728,0.5,0.7283950617283951,0.2,448.52,4.019759565591812,1.72,0.03156411647796631,459,nan
81920,0.33,0.6888888888888889,0.1206896551724138,490.6,-0.33127045273780825,1.54,0.02880501002073288,462,nan
90112,0.4,0.7010309278350515,0.13114754098360656,465.35,1.3540265548229218,1.5,0.020492997020483017,464,nan
98304,0.36,0.66,0.12987012987012986,483.1,0.3528533101081848,1.14,0.03298204764723778,461,nan
106496,0.36,0.66,0.12345679012345678,482.18,0.3371314644813538,1.24,0.02684778906404972,461,nan
114688,0.37,0.66,0.1590909090909091,478.39,0.581852195262909,1.13,0.01711598038673401,460,nan
122880,0.33,0.59,0.14,494.24,-0.20667383432388306,2.15,0.022983834147453308,461,nan
131072,0.39,0.6,0.11,476.56,1.4373199462890625,2.04,0.0201585590839386,460,nan
139264,0.4,0.63,0.15,480.16,1.5031487011909486,2.25,0.030361894518136978,459,nan
147456,0.4,0.6,0.17,479.9,1.3213993740081786,2.25,0.019024666398763657,459,nan
155648,0.33,0.56,0.15,499.96,-0.11212538957595825,2.3,0.014836570248007774,459,nan
163840,0.37,0.58,0.15,487.1,0.8016474115848541,2.3,0.028224261477589607,459,nan
