global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.01713213510811329,655,nan
16384,1.0,1.0,nan,224.83333333333334,17.198468844095867,0.0,0.029648635536432266,654,nan
24576,1.0,1.0,1.0,282.8181818181818,16.623207265680488,0.0,0.04713878780603409,640,nan
32768,1.0,1.0,1.0,304.037037037037,16.411841957657426,0.0,0.016763418912887573,641,nan
40960,0.45588235294117646,0.6666666666666666,0.11538461538461539,465.97058823529414,3.400029191199471,1.0735294117647058,0.0607851967215538,649,nan
49152,0.463768115942029,0.6744186046511628,0.11538461538461539,462.7826086956522,3.596759445425393,1.0579710144927537,0.037930890917778015,651,nan
57344,0.4895833333333333,0.711864406779661,0.13513513513513514,445.375,4.142301925768455,0.8229166666666666,0.020974818617105484,648,nan
65536,0.43,0.71875,0.15217391304347827,472.62,2.450664225816727,1.3,0.02805938757956028,651,nan
73728,0.4,0.7428571428571429,0.14285714285714285,477.63,1.7882361948490142,1.3,0.04230327904224396,652,nan
81920,0.36,0.7564102564102564,0.11594202898550725,483.09,0.8392052328586579,1.19,0.040615104138851166,653,nan
90112,0.38,0.7625,0.11267605633802817,476.07,1.3390538561344147,1.19,0.035860657691955566,656,nan
98304,0.39,0.7528089887640449,0.09302325581395349,473.65,1.2102710676193238,1.1,0.036000002175569534,653,nan
106496,0.35,0.7473684210526316,0.0967741935483871,489.77,0.29362192392349246,1.27,0.019898857921361923,653,nan
114688,0.38,0.73,0.1,478.86,1.2321657621860505,1.19,0.02160026505589485,652,nan
122880,0.32,0.67,0.08,497.55,-0.2408164131641388,1.45,0.034932248294353485,651,nan
131072,0.36,0.65,0.09,483.66,0.7949116384983063,1.23,0.03843892365694046,652,nan
139264,0.35,0.63,0.12,492.82,0.7677219593524933,1.9,0.03380652889609337,651,nan
147456,0.36,0.67,0.11,492.65,1.231092237830162,1.94,0.037397898733615875,649,nan
155648,0.33,0.71,0.09,501.18,0.8673378735780716,1.4,0.01994071900844574,650,nan
163840,0.37,0.71,0.09,487.03,1.8326002937555312,1.25,0.036655109375715256,650,nan
172032,0.39,0.71,0.11,485.19,2.6812278336286544,0.81,0.01704719290137291,649,nan
180224,0.41,0.69,0.14,486.63,2.995101918578148,0.92,0.0404488667845726,650,nan
188416,0.45,0.69,0.16,468.19,4.000304269790649,0.41,0.02920752391219139,650,nan
196608,0.41,0.67,0.16,478.48,3.03722203373909,0.54,0.026102982461452484,650,nan
204800,0.48,0.69,0.15,455.23,4.697852571010589,0.54,0.022131890058517456,650,nan
212992,0.45,0.7,0.16,465.89,3.742396969795227,0.92,0.03563171625137329,649,nan
221184,0.47,0.7,0.18,454.93,4.0236923384666445,1.03,0.02843415178358555,649,nan
229376,0.45,0.7,0.19,452.42,3.5736945557594297,0.77,0.03034403547644615,649,nan
237568,0.44,0.71,0.17,458.09,3.1872748816013337,0.78,0.02866930514574051,649,nan
