global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.019759664312005043,431,nan
16384,1.0,1.0,nan,230.875,17.146648406982422,0.0,0.041732415556907654,428,nan
24576,1.0,1.0,1.0,274.0833333333333,16.71253462632497,0.0,0.058175310492515564,419,nan
32768,1.0,1.0,1.0,301.96666666666664,16.43321835199992,0.0,0.031743355095386505,419,nan
40960,0.5070422535211268,0.7045454545454546,0.18518518518518517,446.49295774647885,4.140061079616278,1.1267605633802817,0.02567259594798088,420,nan
49152,0.527027027027027,0.723404255319149,0.18518518518518517,441.9864864864865,4.625551284970464,1.0810810810810811,0.031036173924803734,422,nan
57344,0.52,0.746031746031746,0.2,440.46,4.451777195930481,1.16,0.03946318104863167,421,nan
65536,0.49,0.7575757575757576,0.2391304347826087,459.01,3.577317159175873,1.85,0.03750017657876015,422,nan
73728,0.47,0.7808219178082192,0.26,462.93,3.0787130427360534,1.9,0.043811507523059845,422,nan
81920,0.41,0.7159090909090909,0.2222222222222222,476.78,1.7499631261825561,1.57,0.0239536352455616,423,nan
90112,0.47,0.7340425531914894,0.208955223880597,457.63,3.088056479692459,1.5,0.02238195389509201,423,nan
98304,0.45,0.7,0.19753086419753085,462.14,2.4431740975379945,1.52,0.04226997494697571,421,nan
106496,0.46,0.7,0.2,458.26,2.6065030097961426,1.54,0.02243858575820923,421,nan
114688,0.44,0.66,0.1978021978021978,459.82,2.1718888449668885,0.73,0.034005168825387955,421,nan
122880,0.41,0.62,0.19,469.21,1.4147368821501731,0.8,0.026485230773687363,421,nan
131072,0.4,0.67,0.18,467.34,1.219406917989254,0.64,0.02658931538462639,419,nan
139264,0.4,0.65,0.21,471.06,1.2271966394782066,0.48,0.020143775269389153,419,nan
147456,0.47,0.67,0.24,448.09,3.0759313616156576,0.57,0.026696456596255302,419,nan
155648,0.42,0.64,0.24,463.35,1.8150849303603172,0.48,0.02847122773528099,420,nan
163840,0.46,0.64,0.19,448.18,2.7739315581321717,0.36,0.023048141971230507,419,nan
172032,0.38,0.64,0.19,475.2,0.5967944264411926,0.54,0.0339786633849144,419,nan
180224,0.42,0.62,0.2,464.22,1.624153413772583,1.17,0.038640543818473816,419,nan
188416,0.44,0.64,0.22,454.33,2.2532561910152435,1.17,0.02917090430855751,419,nan
196608,0.4,0.63,0.21,470.18,1.3955438381433487,1.07,0.021605033427476883,419,nan
204800,0.44,0.67,0.22,458.55,2.424895611405373,1.12,0.044745974242687225,419,nan
212992,0.43,0.64,0.22,464.34,2.3877733892202375,1.1,0.050539929419755936,418,nan
221184,0.48,0.66,0.2,446.91,3.6444680136442185,0.45,0.024002809077501297,418,nan
229376,0.44,0.68,0.2,456.77,2.6797994619607923,0.26,0.028298629447817802,418,nan
237568,0.4,0.63,0.16,470.29,1.7663922381401063,0.26,0.030990373343229294,418,nan
245760,0.42,0.65,0.15,465.61,2.364242992401123,0.21,0.023289132863283157,418,nan
253952,0.44,0.69,0.16,458.57,2.75491938829422,0.34,0.014006371609866619,418,nan
262144,0.42,0.71,0.16,464.72,2.1999514615535736,0.34,0.027891594916582108,418,nan
270336,0.43,0.68,0.17,457.5,2.59771040558815,0.26,0.026476610451936722,418,nan
278528,0.44,0.68,0.15,457.72,2.6074832665920256,0.36,0.028719991445541382,418,nan
286720,0.42,0.7,0.15,461.89,2.056945289373398,0.97,0.025813335552811623,418,nan
294912,0.45,0.72,0.14,451.8,3.0201670503616334,0.97,0.02693159133195877,419,nan
303104,0.44,0.71,0.14,457.16,3.1355423092842103,0.83,0.018179157748818398,419,nan
311296,0.44,0.73,0.13,455.99,3.350027620792389,0.79,0.034764356911182404,419,nan
319488,0.47,0.76,0.13,445.5,4.247007571458816,0.87,0.04192908853292465,419,nan
327680,0.44,0.74,0.13,458.0,3.3621274387836455,0.47,0.022747177630662918,418,nan
335872,0.43,0.7,0.12,463.22,2.960520106554031,0.63,0.022992776706814766,419,nan
344064,0.36,0.69,0.11,481.0,1.4159745633602143,0.81,0.0276500191539526,419,nan
352256,0.34,0.68,0.1,488.53,0.8976192927360535,1.05,0.032044339925050735,419,nan
360448,0.31,0.65,0.09,499.19,-0.06593390107154846,1.43,0.0382857546210289,418,nan
368640,0.27,0.66,0.09,514.23,-0.9008344841003418,1.29,0.03447144478559494,418,nan
376832,0.34,0.7,0.08,492.55,0.9538343667984008,1.39,0.023938415572047234,418,nan
385024,0.34,0.68,0.08,491.19,1.0719511246681213,1.19,0.03941164165735245,418,nan
393216,0.35,0.68,0.05,488.55,0.8088543379306793,1.69,0.02577725052833557,418,nan
401408,0.35,0.69,0.05,487.0,1.1534804093837738,1.59,0.034608110785484314,418,nan
409600,0.38,0.69,0.03,475.59,2.0528450202941895,1.3,0.021855048835277557,418,nan
417792,0.39,0.69,0.03,466.98,2.2915100997686384,1.89,0.03218202292919159,417,nan
425984,0.37,0.69,0.03,471.35,1.7072432106733322,2.39,0.06538644433021545,417,nan
434176,0.42,0.76,0.03,458.24,3.2657029086351397,2.2,0.02487260475754738,417,nan
442368,0.46,0.79,0.03,444.55,4.15152039706707,2.03,0.01854328066110611,417,nan
450560,0.47,0.84,0.03,443.02,4.473900933861732,1.97,0.030934933573007584,417,nan
