episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.58203125,0.58203125,0.0,1.0,10.092193603515625,0.6915499269962311,1229
512,0.532,0.532,0.0,1.0,8.384893417358398,0.6759046837687492,1219
768,0.526,0.526,0.0,1.0,9.304189682006836,0.6430028043687344,1214
1024,0.51,0.51,0.0,1.0,8.063281059265137,0.6001855172216892,1215
1280,0.486,0.486,0.0,1.0,8.310989379882812,0.5508613362908363,1215
1536,0.478,0.476,0.57,1.0,7.87095832824707,0.5195494145154953,1217
1792,0.492,0.488,0.57,1.0,8.8322114944458,0.5268555320799351,1219
2048,0.52,0.516,0.078,1.0,8.7310209274292,0.4763654042035341,1221
2304,0.514,0.51,0.078,1.0,8.814539909362793,0.49676894024014473,1223
2560,0.49,0.488,0.27,1.0,7.848010540008545,0.43008498661220074,1222
2816,0.496,0.494,0.27,1.0,9.094331741333008,0.4276833478361368,1221
3072,0.494,0.492,0.222,1.0,8.055805206298828,0.44974776916205883,1222
3328,0.474,0.474,0.442,1.0,8.384110450744629,0.38933481834828854,1219
3584,0.504,0.504,0.1,1.0,8.875368118286133,0.3898123987019062,1219
3840,0.528,0.528,0.138,1.0,10.109050750732422,0.3521104548126459,1218
4096,0.538,0.536,0.17,1.0,8.898693084716797,0.3832132816314697,1218
4352,0.488,0.486,0.17,1.0,7.905386924743652,0.28708976693451405,1218
4608,0.488,0.488,0.038,1.0,8.741022109985352,0.3142368905246258,1218
4864,0.486,0.486,0.038,1.0,8.173126220703125,0.26206410955637693,1219
5120,0.496,0.494,0.0,1.0,8.857931137084961,0.2376531893387437,1219
5376,0.502,0.5,0.924,1.0,8.608323097229004,0.2770139593631029,1219
5632,0.512,0.51,1.508,1.0,9.421512603759766,0.3061005678027868,1218
5888,0.542,0.54,0.584,1.0,9.883977890014648,0.3384580463171005,1219
