episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.54296875,0.5390625,0.0,1.0,9.060271263122559,0.6922547593712807,766
512,0.504,0.502,0.04,1.0,8.19760513305664,0.6820806078612804,767
768,0.484,0.484,0.356,1.0,8.048763275146484,0.6474173665046692,768
1024,0.494,0.494,0.316,1.0,8.46795654296875,0.6131431236863136,767
1280,0.516,0.516,0.104,1.0,9.118921279907227,0.5567466951906681,767
1536,0.53,0.53,0.104,1.0,9.207401275634766,0.5280492529273033,767
1792,0.502,0.502,0.014,1.0,7.872318267822266,0.4785685855895281,767
2048,0.468,0.468,0.014,1.0,7.751112937927246,0.45125366374850273,767
2304,0.464,0.464,0.474,1.0,7.936083793640137,0.4548258390277624,767
2560,0.52,0.52,0.548,1.0,9.797728538513184,0.4207305032759905,767
2816,0.528,0.528,0.074,1.0,8.531618118286133,0.3680565766990185,767
3072,0.502,0.502,0.356,1.0,8.939779281616211,0.3086610548198223,767
3328,0.494,0.494,0.498,1.0,8.39072036743164,0.303055789321661,767
3584,0.506,0.506,0.448,1.0,9.486472129821777,0.31240587681531906,767
3840,0.512,0.512,0.346,1.0,8.631023406982422,0.2925493735820055,766
4096,0.496,0.496,0.04,1.0,8.411487579345703,0.2673176694661379,767
4352,0.506,0.506,0.55,1.0,9.347793579101562,0.25090381130576134,769
4608,0.5,0.5,1.574,1.0,8.270928382873535,0.2647132985293865,770
4864,0.472,0.472,1.43,1.0,8.092599868774414,0.2423715442419052,771
5121,0.498,0.498,0.614,1.0,9.138941764831543,0.23566900193691254,772
5377,0.514,0.514,0.166,1.0,9.014068603515625,0.2408454567193985,773
5633,0.484,0.484,0.494,1.0,7.897373199462891,0.238942489027977,774
5889,0.482,0.482,0.574,1.0,8.908015251159668,0.23660555016249418,775
