episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
257,0.5330739299610895,0.5291828793774319,0.0,1.0,8.925942420959473,0.6914777383208275,1132
513,0.544,0.542,0.08,1.0,9.96613883972168,0.6672123521566391,1134
769,0.604,0.602,0.08,1.0,10.944036483764648,0.5882409624755383,1142
1025,0.692,0.686,0.0,1.0,13.33200454711914,0.4753246232867241,1143
1281,0.786,0.776,0.0,1.0,14.55787467956543,0.37761678732931614,1141
1537,0.834,0.826,0.0,1.0,15.39595890045166,0.3069435264915228,1149
1793,0.882,0.878,0.0,1.0,16.465261459350586,0.2574396785348654,1152
2049,0.916,0.91,0.0,1.0,16.933246612548828,0.22480814903974533,1150
2305,0.93,0.926,0.286,1.0,17.109880447387695,0.1994415121152997,1151
2561,0.922,0.92,0.286,1.0,16.928983688354492,0.17194597516208887,1149
2817,0.94,0.938,0.0,1.0,17.771209716796875,0.1516787139698863,1149
3073,0.966,0.96,0.0,1.0,17.723121643066406,0.13383311219513416,1149
3329,0.964,0.954,0.0,1.0,17.534435272216797,0.1166728287935257,1147
3585,0.974,0.966,0.0,1.0,17.973506927490234,0.09787922445684671,1149
3841,0.972,0.96,0.0,1.0,17.615478515625,0.08336218446493149,1148
4097,0.976,0.966,0.0,1.0,18.221786499023438,0.07041897112503648,1149
4353,0.984,0.978,0.0,1.0,18.075302124023438,0.05815565912052989,1149
4609,0.988,0.984,0.0,1.0,18.400367736816406,0.04991240077652037,1150
4865,0.992,0.992,0.0,1.0,18.45182991027832,0.04786927090026438,1150
5121,0.988,0.988,0.0,1.0,18.22934341430664,0.04615297564305365,1150
5377,0.986,0.984,0.0,1.0,18.184579849243164,0.0397290859837085,1150
5634,0.988,0.982,0.0,1.0,18.31894874572754,0.03791893064044416,1149
5890,0.996,0.99,0.0,1.0,18.358783721923828,0.03714255662634969,1146
