episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.5859375,0.5859375,0.49609375,1.0,10.038261413574219,0.6907508447766304,762
512,0.538,0.534,0.732,1.0,8.367039680480957,0.6652686819434166,771
769,0.586,0.582,0.478,1.0,11.112812995910645,0.5845866538584232,770
1025,0.696,0.694,0.0,1.0,13.66029167175293,0.47107572481036186,767
1281,0.8,0.798,0.0,1.0,15.07061767578125,0.3790635336190462,764
1537,0.844,0.842,0.0,1.0,15.669873237609863,0.31227115355432034,763
1793,0.886,0.874,0.0,1.0,16.44109535217285,0.2572241108864546,761
2049,0.904,0.892,0.0,1.0,16.54766845703125,0.22574740648269653,760
2305,0.92,0.916,0.0,1.0,17.12196159362793,0.19618522096425295,758
2562,0.94,0.938,0.0,1.0,17.4339542388916,0.1731894537806511,757
2818,0.952,0.948,0.0,1.0,17.487030029296875,0.15125395264476538,756
3074,0.946,0.938,0.0,1.0,16.99749183654785,0.12612667633220553,755
3330,0.948,0.946,0.0,1.0,17.880229949951172,0.09972000727429986,755
3587,0.974,0.97,0.0,1.0,18.342323303222656,0.08761227410286665,754
3843,0.976,0.974,0.0,1.0,17.764110565185547,0.08292556647211313,753
4099,0.976,0.972,0.0,1.0,18.336593627929688,0.06479550758376718,752
4355,0.986,0.982,0.0,1.0,18.187198638916016,0.06250593857839704,752
4611,0.99,0.99,0.0,1.0,18.544113159179688,0.054662018083035946,751
4867,0.988,0.984,0.0,1.0,18.089324951171875,0.050558499060571194,751
5123,0.978,0.97,0.0,1.0,17.865100860595703,0.04529531067237258,750
5379,0.978,0.974,0.0,1.0,18.392070770263672,0.04118833760730922,750
5635,0.99,0.986,0.0,1.0,18.259544372558594,0.03986434917896986,750
5891,0.994,0.988,0.0,1.0,18.39581298828125,0.03841564222238958,749
