episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.5859375,0.58203125,0.0,1.0,10.056488037109375,0.6854722872376442,1071
512,0.544,0.542,0.178,1.0,8.734321594238281,0.669082123786211,1077
768,0.57,0.568,0.178,1.0,10.340209007263184,0.5984664894640446,1071
1024,0.658,0.652,0.0,1.0,12.344002723693848,0.46716735884547234,1073
1280,0.774,0.77,0.0,1.0,15.324875831604004,0.34704618342220783,1069
1536,0.866,0.864,0.0,1.0,16.024791717529297,0.24736683908849955,1067
1792,0.894,0.892,0.0,1.0,16.34174156188965,0.15949289686977863,1061
2048,0.936,0.934,0.0,1.0,17.879837036132812,0.10646592546254396,1062
2304,0.964,0.956,0.0,1.0,17.42925453186035,0.07835961901582778,1063
2560,0.968,0.96,0.0,1.0,18.00030517578125,0.058545561507344246,1059
2816,0.974,0.97,0.0,1.0,18.06165313720703,0.04585440410301089,1057
3072,0.988,0.978,0.0,1.0,18.225688934326172,0.03130646306090057,1053
3328,0.994,0.984,0.0,1.0,18.423938751220703,0.023092350107617676,1047
3584,0.994,0.992,0.0,1.0,18.47785186767578,0.02182763593737036,1045
3840,0.996,0.996,0.0,1.0,18.495258331298828,0.030050713394302875,1044
4096,0.994,0.994,0.0,1.0,18.38381576538086,0.07935531350085512,1041
4352,0.892,0.89,0.0,1.0,14.023691177368164,0.10804540803655982,1039
4608,0.662,0.652,0.0,1.0,8.446170806884766,0.2241193251684308,1040
4864,0.678,0.67,0.0,1.0,14.349820137023926,0.2645992236211896,1040
5120,0.866,0.864,0.0,1.0,16.800329208374023,0.1409236142062582,1039
5376,0.832,0.83,0.0,1.0,13.599221229553223,0.2236973773688078,1040
5632,0.808,0.808,0.0,1.0,16.229339599609375,0.05657586129382253,1039
5888,0.942,0.936,0.0,1.0,18.015933990478516,0.03171406593173742,1039
