episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.5078125,0.50390625,0.1328125,1.0,8.23204231262207,0.6926684342324734,735
512,0.472,0.468,0.068,1.0,7.362396240234375,0.6883465573191643,735
768,0.45,0.446,0.352,1.0,7.3495869636535645,0.689542431384325,732
1024,0.482,0.478,0.462,1.0,8.505829811096191,0.687384232878685,731
1281,0.494,0.492,0.11,1.0,7.350756645202637,0.6851026937365532,731
1537,0.496,0.492,0.16,1.0,8.442134857177734,0.684161264449358,731
1793,0.54,0.534,0.16,1.0,9.350570678710938,0.6830846406519413,730
2050,0.538,0.536,0.086,1.0,8.804863929748535,0.6909622550010681,730
2306,0.524,0.522,0.342,1.0,8.90179443359375,0.6928952001035213,730
2562,0.496,0.492,0.256,1.0,7.439875602722168,0.6856229491531849,730
2818,0.496,0.494,0.372,1.0,9.279888153076172,0.6687343753874302,730
3074,0.518,0.518,0.372,1.0,8.362258911132812,0.6516460292041302,731
3330,0.5,0.5,0.0,1.0,8.58270263671875,0.6135360673069954,731
3586,0.498,0.498,0.192,1.0,8.534172058105469,0.6342649981379509,730
3842,0.53,0.528,0.222,1.0,9.49594497680664,0.6245548278093338,730
4099,0.53,0.526,0.184,1.0,8.472973823547363,0.580749861896038,746
4355,0.49,0.486,0.154,1.0,8.026433944702148,0.5489893741905689,763
4611,0.49,0.488,0.0,1.0,8.557113647460938,0.5551834106445312,779
4867,0.472,0.472,0.198,1.0,7.8431196212768555,0.5506600253283978,795
5123,0.47,0.468,0.42,1.0,7.973528861999512,0.5516340285539627,809
5379,0.482,0.478,0.496,1.0,7.849845886230469,0.5333747789263725,821
5635,0.5,0.496,0.274,1.0,9.022435188293457,0.5240509957075119,833
5891,0.498,0.496,0.584,1.0,7.885255813598633,0.5151939876377583,845
