episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.61328125,0.61328125,0.0,1.0,10.689902305603027,0.693059928715229,601
512,0.55,0.548,0.338,1.0,8.287171363830566,0.6914352662861347,594
768,0.508,0.506,0.338,1.0,8.184274673461914,0.684227492660284,591
1024,0.48,0.48,0.404,1.0,7.7999467849731445,0.658941488713026,588
1280,0.442,0.44,0.768,1.0,6.560009956359863,0.6135748326778412,588
1536,0.436,0.434,0.66,1.0,7.680876731872559,0.5772761851549149,588
1792,0.486,0.486,0.51,1.0,9.105310440063477,0.5459970906376839,588
2048,0.528,0.526,0.136,1.0,8.982232093811035,0.5246538072824478,587
2304,0.462,0.456,0.046,1.0,6.327276229858398,0.49118324369192123,587
2560,0.424,0.418,0.74,1.0,7.8628435134887695,0.4193727411329746,588
2816,0.466,0.462,0.894,1.0,7.699839115142822,0.38471238128840923,588
3072,0.47,0.468,0.18,1.0,8.224042892456055,0.3654878009110689,587
3328,0.518,0.518,0.218,1.0,9.700675964355469,0.29286240600049496,587
3584,0.512,0.51,0.218,1.0,8.369928359985352,0.26571664959192276,587
3840,0.496,0.494,0.0,1.0,8.845111846923828,0.2642542030662298,589
4097,0.516,0.516,0.35,1.0,9.287859916687012,0.268941018730402,603
4353,0.522,0.522,0.476,1.0,8.719687461853027,0.28492802381515503,620
4609,0.492,0.492,0.246,1.0,8.357135772705078,0.2795020490884781,637
4865,0.502,0.502,0.54,1.0,8.989166259765625,0.2694970229640603,653
5121,0.496,0.496,0.42,1.0,8.256194114685059,0.2310237605124712,668
5377,0.514,0.514,0.0,1.0,9.757619857788086,0.2290904512628913,682
5633,0.502,0.502,0.0,1.0,7.876262664794922,0.22810613084584475,696
5889,0.49,0.49,0.114,1.0,9.263181686401367,0.22533916030079126,710
