episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.53515625,0.52734375,0.0,1.0,8.87865161895752,0.6910053268074989,617
513,0.502,0.496,0.274,1.0,8.093525886535645,0.6662218421697617,605
769,0.544,0.542,0.364,1.0,10.593561172485352,0.6153184026479721,597
1025,0.67,0.668,0.09,1.0,12.83541488647461,0.5250040385872126,592
1281,0.76,0.756,0.0,1.0,14.345190048217773,0.4418444912880659,588
1537,0.8,0.796,0.0,1.0,14.578136444091797,0.3883756250143051,585
1793,0.844,0.842,0.0,1.0,16.313804626464844,0.33203039690852165,582
2049,0.888,0.884,0.0,1.0,16.455881118774414,0.29166788794100285,581
2305,0.91,0.904,0.0,1.0,16.969738006591797,0.2658719550818205,579
2561,0.916,0.91,0.0,1.0,16.63554573059082,0.23539105895906687,577
2817,0.93,0.924,0.0,1.0,17.45463752746582,0.21417049784213305,576
3073,0.946,0.942,0.0,1.0,17.305614471435547,0.18480586353689432,575
3329,0.952,0.942,0.0,1.0,17.617517471313477,0.16513285506516695,573
3585,0.972,0.962,0.0,1.0,18.12526512145996,0.14560969173908234,572
3841,0.972,0.962,0.0,1.0,17.540149688720703,0.13488367665559053,571
4097,0.974,0.964,0.0,1.0,18.051986694335938,0.12038455810397863,570
4353,0.972,0.964,0.0,1.0,17.599159240722656,0.11004616320133209,570
4610,0.974,0.964,0.0,1.0,18.075681686401367,0.1002084300853312,569
4867,0.99,0.982,0.0,1.0,18.291988372802734,0.09487429866567254,568
5125,0.992,0.99,0.0,1.0,18.310239791870117,0.09181601703166961,568
5381,0.976,0.976,0.0,1.0,17.767305374145508,0.08552749827504158,567
5637,0.964,0.964,0.0,1.0,17.914716720581055,0.07929855957627296,567
5893,0.978,0.978,0.0,1.0,18.37136459350586,0.07602492393925786,566
