episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.52734375,0.52734375,0.66796875,1.0,8.973076820373535,0.6895417049527168,770
512,0.51,0.508,0.342,1.0,8.617280006408691,0.6566672176122665,757
768,0.506,0.504,0.0,1.0,8.409132957458496,0.6082937009632587,752
1024,0.498,0.496,0.0,1.0,8.796971321105957,0.5730553790926933,753
1280,0.504,0.502,0.064,1.0,8.43569564819336,0.5329436454921961,753
1536,0.486,0.488,0.138,1.0,8.2699613571167,0.4468756001442671,752
1792,0.538,0.54,0.476,1.0,10.631654739379883,0.4295343030244112,752
2048,0.538,0.536,0.402,1.0,8.367881774902344,0.3459433317184448,752
2304,0.478,0.474,0.434,1.0,8.005496978759766,0.31632399931550026,752
2560,0.478,0.476,1.31,1.0,8.077301025390625,0.31873900815844536,752
2816,0.486,0.486,0.92,1.0,8.316728591918945,0.3180392477661371,752
3072,0.476,0.476,0.274,1.0,8.203901290893555,0.37196874618530273,752
3328,0.49,0.488,0.44,1.0,8.787471771240234,0.33606189116835594,751
3584,0.508,0.506,0.538,1.0,8.608292579650879,0.33582403883337975,752
3840,0.488,0.488,0.372,1.0,8.392231941223145,0.33924324065446854,752
4096,0.47,0.47,0.122,1.0,7.817508697509766,0.31635792180895805,752
4352,0.486,0.486,0.078,1.0,9.00540542602539,0.2666805349290371,751
4608,0.48,0.48,0.544,1.0,7.7004194259643555,0.2607880886644125,752
4864,0.464,0.462,0.576,1.0,8.205676078796387,0.2679068576544523,751
5120,0.486,0.484,0.366,1.0,8.6432523727417,0.26029050908982754,751
5376,0.498,0.498,0.402,1.0,8.69206428527832,0.24229611549526453,751
5632,0.486,0.486,0.298,1.0,8.450613975524902,0.22802351042628288,751
5888,0.508,0.508,0.366,1.0,9.169331550598145,0.21564367227256298,755
