episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.609375,0.609375,0.59375,1.0,10.668174743652344,0.6106161810457706,550
512,0.546,0.546,0.304,1.0,8.824393272399902,0.3073956589214504,554
768,0.58,0.58,0.45,1.0,11.462084770202637,0.35257162153720856,553
1024,0.656,0.654,1.44,1.0,11.607773780822754,0.3940742276608944,553
1280,0.69,0.686,0.99,1.0,13.102641105651855,0.22355557046830654,551
1536,0.798,0.794,0.0,1.0,15.993507385253906,0.11832828470505774,550
1792,0.744,0.738,0.0,1.0,10.249634742736816,0.039244551910087466,552
2048,0.544,0.54,0.0,1.0,7.345712661743164,0.01832614792510867,554
2304,0.492,0.49,0.0,1.0,7.866953372955322,0.02018528728513047,556
2560,0.5,0.496,0.0,1.0,8.044351577758789,0.2967641786672175,557
2817,0.6,0.596,0.0,1.0,11.892513275146484,0.4674190506339073,557
3073,0.744,0.738,0.0,1.0,13.973447799682617,0.4382637795060873,556
3329,0.806,0.804,0.0,1.0,14.837018013000488,0.5403492376208305,555
3585,0.796,0.796,0.178,1.0,14.048624038696289,0.5483013801276684,555
3843,0.75,0.748,0.178,1.0,12.625117301940918,0.5099575579166412,555
4099,0.752,0.748,0.0,1.0,14.230951309204102,0.44535232335329056,554
4355,0.812,0.808,0.0,1.0,15.14121150970459,0.3776350114494562,554
4611,0.832,0.828,0.0,1.0,15.249795913696289,0.32128340750932693,559
4867,0.854,0.848,0.0,1.0,15.948108673095703,0.2648872500285506,564
5123,0.892,0.886,0.0,1.0,16.735000610351562,0.2183978846296668,569
5379,0.928,0.926,0.0,1.0,17.517244338989258,0.19812561199069023,573
5635,0.946,0.942,0.0,1.0,17.515113830566406,0.1731364205479622,578
5891,0.952,0.946,0.0,1.0,17.398643493652344,0.16110490448772907,582
