episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
263,0.5551330798479087,0.5551330798479087,0.43346007604562736,1.0,9.34512710571289,0.6796211838722229,724
519,0.584,0.584,0.432,1.0,11.383867263793945,0.6423322148621082,718
775,0.644,0.644,0.242,1.0,11.233620643615723,0.575269278138876,714
1031,0.672,0.672,0.428,1.0,12.131928443908691,0.4396417811512947,712
1287,0.782,0.78,0.39,1.0,15.504007339477539,0.3155115246772766,709
1543,0.876,0.87,0.204,1.0,16.17201042175293,0.25091964937746525,706
1799,0.922,0.918,0.204,1.0,17.58541488647461,0.15208230167627335,703
2055,0.964,0.962,0.0,1.0,18.151466369628906,0.09226159658282995,702
2312,0.988,0.984,0.0,1.0,18.383501052856445,0.07590712886303663,700
2568,0.992,0.986,0.0,1.0,18.271162033081055,0.07545374799519777,699
2824,0.99,0.984,0.0,1.0,18.321971893310547,0.09890123712830245,698
3081,0.982,0.97,0.0,1.0,17.758716583251953,0.063559076981619,697
3337,0.986,0.974,0.0,1.0,18.42719268798828,0.08083843695931137,696
3594,0.968,0.96,0.0,1.0,17.194509506225586,0.15963158383965492,696
3850,0.954,0.948,0.0,1.0,17.955171585083008,0.034936499083414674,696
4106,0.984,0.984,0.0,1.0,18.678138732910156,0.05355019471608102,695
4362,0.988,0.988,0.0,1.0,18.12215805053711,0.07237923587672412,694
4618,0.976,0.974,0.0,1.0,17.97109603881836,0.07197788963094354,694
4874,0.978,0.97,0.0,1.0,18.040184020996094,0.07880592974834144,694
5130,0.966,0.95,0.0,1.0,17.25405502319336,0.05367552023380995,694
5388,0.972,0.96,0.0,1.0,18.23686981201172,0.0503849845379591,693
5644,0.988,0.984,0.0,1.0,18.242820739746094,0.025305504677817225,693
5901,0.994,0.992,0.0,1.0,18.522932052612305,0.022055937442928553,693
