episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
258,0.5387596899224806,0.5387596899224806,0.0,1.0,9.233097076416016,0.6748834162950516,566
514,0.554,0.554,0.176,1.0,10.200475692749023,0.6461800150573254,554
771,0.638,0.636,0.176,1.0,12.035268783569336,0.5055935326963663,548
1027,0.746,0.744,0.0,1.0,14.48581314086914,0.3172260532155633,543
1283,0.856,0.852,0.306,1.0,16.578540802001953,0.1895228261128068,539
1539,0.928,0.92,0.306,1.0,17.20412254333496,0.12640746496617794,536
1795,0.96,0.952,0.0,1.0,17.96551513671875,0.08306266483850777,535
2051,0.976,0.97,0.0,1.0,18.0357666015625,0.047932743560522795,532
2307,0.99,0.984,0.0,1.0,18.412891387939453,0.06276785302907228,531
2563,0.988,0.978,0.0,1.0,17.937152862548828,0.0643663250375539,530
2819,0.976,0.968,0.0,1.0,18.050270080566406,0.032129016355611384,529
3075,0.986,0.982,0.0,1.0,18.415616989135742,0.028266332112252712,528
3331,0.996,0.994,0.0,1.0,18.577810287475586,0.03048885497264564,527
3587,0.998,0.998,0.0,1.0,18.60984992980957,0.06694945285562426,526
3843,0.994,0.992,0.0,1.0,18.138229370117188,0.025736361742019653,525
4099,0.994,0.992,0.0,1.0,18.580650329589844,0.03189601073972881,524
4355,1.0,0.99,0.0,1.0,18.08362579345703,0.050612274557352066,524
4611,0.998,0.986,0.0,1.0,18.49114227294922,0.02816554217133671,523
4867,0.994,0.99,0.0,1.0,18.40940284729004,0.01582468976266682,523
5123,0.994,0.99,0.0,1.0,18.497882843017578,0.013855725293979049,522
5379,0.996,0.99,0.0,1.0,18.306991577148438,0.014003776479512453,522
5635,0.998,0.99,0.0,1.0,18.43096351623535,0.01494444505078718,522
5891,1.0,0.996,0.0,1.0,18.669355392456055,0.01601619232678786,521
