step,inv_train,inv_val,eff_rank
200,0.011978,0.024142,7.168
400,0.038089,0.030198,10.924
600,0.035450,0.040659,13.766
800,0.047758,0.038680,17.651
1000,0.052285,0.050127,20.287
1200,0.066400,0.050458,22.736
1400,0.056399,0.053335,24.322
1600,0.053296,0.054929,26.538
1800,0.052248,0.056386,27.671
2000,0.058149,0.055100,29.189
2200,0.058347,0.060548,30.418
2400,0.064237,0.064021,31.325
2600,0.051685,0.063095,32.612
2800,0.058005,0.062728,33.399
3000,0.055039,0.060639,34.301
3200,0.048542,0.060501,35.132
3400,0.052455,0.063856,35.621
