step,inv_train,inv_val,eff_rank
200,0.012555,0.018520,6.079
400,0.022820,0.024627,9.263
600,0.041481,0.037280,12.456
800,0.043481,0.033294,15.706
1000,0.054558,0.045022,19.692
1200,0.058661,0.051945,23.003
1400,0.068958,0.055410,25.098
1600,0.053397,0.048677,27.034
1800,0.054568,0.067853,28.163
2000,0.064344,0.056295,29.343
2200,0.054047,0.060899,30.960
2400,0.061961,0.053555,31.708
2600,0.053601,0.056720,32.636
2800,0.054398,0.058061,33.455
3000,0.052539,0.054758,34.603
3200,0.051558,0.059596,35.446
3400,0.053355,0.057663,36.027
