global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
8192,nan,nan,nan,nan,nan,nan,0.00785612128674984,1088,nan
16384,nan,nan,nan,nan,nan,nan,0.01512510422617197,1117,nan
24576,nan,nan,nan,nan,nan,nan,0.007409045938402414,1130,nan
32768,nan,nan,nan,nan,nan,nan,0.009840143844485283,1146,nan
40960,0.0,0.0,0.0,599.0,-7.296209464754377,0.0,0.011018224060535431,1146,0.0
49152,0.0,0.0,0.0,599.0,-7.296209464754377,0.0,0.017232395708560944,1135,0.0
57344,0.0,0.0,0.0,599.0,-7.296209464754377,0.0,0.004812281578779221,1134,0.0
65536,0.0,0.0,0.0,599.0,-7.296209464754377,0.0,0.008112676441669464,1133,0.0
73728,0.0,0.0,0.0,599.0,-7.296209464754377,0.0,0.009842964820563793,1131,0.0
81920,0.0,0.0,0.0,599.0,-6.335025120526552,0.0,0.01930447667837143,1127,0.0
90112,0.0,0.0,0.0,599.0,-6.335025120526552,0.0,0.015707962214946747,1126,0.0
98304,0.0,0.0,0.0,599.0,-6.335025120526552,0.0,0.005143662914633751,1124,0.0
106496,0.0,0.0,0.0,599.0,-6.335025120526552,0.0,0.006373009644448757,1123,0.0
114688,0.0,0.0,0.0,599.0,-6.335025120526552,0.0,0.005101817660033703,1124,0.0
122880,0.0,0.0,0.0,599.0,-5.725291803479195,0.0,0.006889051757752895,1123,0.0
131072,0.0,0.0,0.0,599.0,-5.725291803479195,0.0,0.005534336436539888,1125,0.0
139264,0.0,0.0,0.0,599.0,-5.725291803479195,0.0,0.018692266196012497,1126,0.0
147456,0.0,0.0,0.0,599.0,-5.725291803479195,0.0,0.0117922592908144,1126,0.0
155648,0.0,0.0,0.0,599.0,-4.375309137701988,0.85,0.009856379590928555,1126,0.0
163840,0.0,0.0,0.0,599.0,-4.375309137701988,0.85,0.0067512355744838715,1125,0.0
172032,0.0,0.0,0.0,599.0,-4.375309137701988,0.85,0.005320616066455841,1123,0.0
180224,0.0,0.0,0.0,599.0,-4.375309137701988,0.85,0.008554911240935326,1122,0.0
188416,0.0,0.0,0.0,599.0,-4.375309137701988,0.85,0.007551278453320265,1121,0.0
196608,0.0,0.0,0.0,599.0,-3.4274331343173983,0.85,0.0036997711285948753,1121,0.0
204800,0.0,0.0,0.0,599.0,-3.4274331343173983,0.85,0.010158367455005646,1121,0.0
212992,0.0,0.0,0.0,599.0,-3.4274331343173983,0.85,0.00853695347905159,1121,0.0
221184,0.0,0.0,0.0,599.0,-3.4274331343173983,0.85,0.009675786830484867,1120,0.0
229376,0.0,0.0,0.0,599.0,-3.4274331343173983,0.85,0.009923780336976051,1121,0.0
237568,0.0,0.0,0.0,599.0,-2.638527951836586,2.51,0.009435208514332771,1122,0.0
245760,0.0,0.0,0.0,599.0,-2.638527951836586,2.51,0.007573035545647144,1122,0.0
253952,0.0,0.0,0.0,599.0,-2.638527951836586,2.51,0.0035163206048309803,1121,0.0
262144,0.0,0.0,0.0,599.0,-2.638527951836586,2.51,0.003147083567455411,1120,0.0
270336,0.0,0.0,0.0,599.0,-2.075900709629059,3.02,0.014990014024078846,1119,0.0
278528,0.0,0.0,0.0,599.0,-2.075900709629059,3.02,0.004898163955658674,1118,0.0
286720,0.0,0.0,0.0,599.0,-2.075900709629059,3.02,0.01868128776550293,1118,0.0
294912,0.0,0.0,0.0,599.0,-2.075900709629059,3.02,0.003775591030716896,1118,0.0
303104,0.0,0.0,0.0,599.0,-2.075900709629059,3.02,0.005671828053891659,1118,0.0
311296,0.0,0.0,0.0,599.0,-1.66240051984787,7.6,0.004970522131770849,1118,0.0
319488,0.0,0.0,0.0,599.0,-1.66240051984787,7.6,0.008877137675881386,1117,0.0
327680,0.0,0.0,0.0,599.0,-1.66240051984787,7.6,0.014862189069390297,1117,0.0
335872,0.0,0.0,0.0,599.0,-1.66240051984787,7.6,0.007084004580974579,1116,0.0
344064,0.0,0.0,0.0,599.0,-1.66240051984787,7.6,0.009156163781881332,1116,0.0
352256,0.0,0.0,0.0,599.0,-1.73541050337255,5.94,0.006198340095579624,1114,0.0
360448,0.0,0.0,0.0,599.0,-1.73541050337255,5.94,0.002924013417214155,1114,0.0
368640,0.0,0.0,0.0,599.0,-1.73541050337255,5.94,0.005738151725381613,1113,0.0
376832,0.0,0.0,0.0,599.0,-1.73541050337255,5.94,0.006732376292347908,1112,0.0
385024,0.01,0.0,0.01,598.48,-1.6832281464338303,7.67,0.0036466349847614765,1112,0.0
393216,0.01,0.0,0.01,598.48,-1.6832281464338303,7.67,0.0061661843210458755,1112,0.0
401408,0.01,0.0,0.01,598.48,-1.6832281464338303,7.67,0.003639324102550745,1112,0.0
409600,0.01,0.0,0.01,598.48,-1.6832281464338303,7.67,0.006129997782409191,1112,0.0
417792,0.02,0.0,0.02,597.43,-1.5943641716241836,8.57,0.011327673681080341,1112,0.0
425984,0.02,0.0,0.02,597.43,-1.8419142365455627,11.6,0.00425887294113636,1111,0.0
434176,0.02,0.0,0.02,597.43,-1.8419142365455627,11.6,0.006890171207487583,1111,0.0
442368,0.02,0.0,0.02,597.43,-1.8419142365455627,11.6,0.006693965755403042,1112,0.01
450560,0.03,0.0,0.03,595.92,-1.6340698552131654,10.12,0.005672253202646971,1113,0.01
458752,0.03,0.0,0.03,595.92,-1.634556109905243,10.12,0.007435908541083336,1113,0.01
466944,0.03,0.0,0.03,595.92,-1.529401725307107,16.3,0.005035769194364548,1113,0.01
475136,0.03,0.0,0.03,595.92,-1.529401725307107,16.3,0.00392613559961319,1113,0.04
483328,0.03,0.0,0.03,595.92,-1.529401725307107,16.3,0.002201804658398032,1112,0.07
491520,0.03,0.0,0.03,595.92,-1.529401725307107,16.3,0.013211376033723354,1112,0.09
499712,0.03,0.01,0.03,596.2,-1.518370090648532,15.18,0.0030118965078145266,1111,0.1
507904,0.03,0.01,0.03,596.2,-1.518370090648532,15.18,0.01431243121623993,1111,0.11
516096,0.03,0.01,0.03,596.2,-1.5219180350750685,15.18,0.003920699469745159,1111,0.13
524288,0.05,0.02,0.04,592.1,-1.2993413346260787,15.86,0.008556672371923923,1109,0.16
532480,0.07,0.02,0.06,588.64,-0.9217305075377226,15.68,0.004298924468457699,1109,0.16
540672,0.07,0.03,0.06,587.76,-0.8157547836750746,11.14,0.0024438733235001564,1108,0.17
548864,0.07,0.03,0.06,587.76,-0.8157547836750746,11.14,0.004126633517444134,1108,0.18
557056,0.06,0.03,0.06,589.27,-0.9888104163855315,10.71,0.0030151987448334694,1107,0.22
565248,0.08,0.04,0.07,584.96,-0.7565025233477354,11.25,0.007945224642753601,1107,0.23
573440,0.09,0.05,0.07,584.21,-0.6640293370932341,10.94,0.005304213613271713,1107,0.25
581632,0.08,0.05,0.07,584.45,-0.8416394030302763,8.09,0.005456600803881884,1106,0.26
589824,0.08,0.05,0.07,584.45,-0.8344537793844938,8.09,0.005736766383051872,1106,0.26
598016,0.08,0.05,0.07,584.45,-0.8510292952507734,9.39,0.00862083025276661,1105,0.24
606208,0.08,0.05,0.07,584.45,-0.9463452815264464,10.3,0.005962408613413572,1105,0.28
614400,0.07,0.05,0.07,586.54,-1.589588435292244,11.62,0.006183598190546036,1104,0.29
622592,0.05,0.05,0.07,590.32,-1.935197461247444,10.97,0.008672457188367844,1103,0.33
630784,0.04,0.05,0.07,592.01,-2.056313381791115,8.43,0.003132516983896494,1102,0.35
638976,0.04,0.05,0.06,592.01,-2.220424231290817,9.2,0.013837611302733421,1101,0.35
647168,0.04,0.05,0.06,592.01,-2.165160619020462,9.2,0.006238093599677086,1101,0.38
655360,0.05,0.06,0.06,591.14,-2.2213431227207185,9.66,0.004492250271141529,1101,0.33
663552,0.05,0.06,0.06,591.14,-2.2753591990470885,9.66,0.005165626294910908,1101,0.34
671744,0.04,0.06,0.06,593.07,-2.562575204372406,9.0,0.007054672110825777,1100,0.33
679936,0.02,0.05,0.05,597.38,-2.7120351928472517,7.84,0.004685812629759312,1099,0.34
688128,0.01,0.05,0.05,598.13,-2.9667412024736404,7.84,0.00855630449950695,1098,0.34
696320,0.01,0.05,0.05,598.13,-3.0979591500759125,7.84,0.0049440921284258366,1098,0.27
704512,0.02,0.04,0.06,597.17,-2.8986512184143067,7.84,0.01615840755403042,1098,0.26
712704,0.04,0.06,0.05,595.25,-2.8066911953687668,7.39,0.004780283197760582,1097,0.26
720896,0.05,0.06,0.06,593.88,-2.5604164749383926,7.2,0.007869732566177845,1097,0.26
729088,0.05,0.06,0.06,593.88,-2.243311948776245,4.75,0.007951873354613781,1097,0.21
737280,0.05,0.06,0.06,593.88,-2.254040503501892,4.75,0.00746455043554306,1097,0.19
745472,0.05,0.05,0.06,593.88,-2.231748118400574,4.75,0.0035440220963209867,1096,0.19
753664,0.06,0.04,0.06,593.61,-2.0859723806381227,4.55,0.004011123441159725,1096,0.17
761856,0.07,0.05,0.07,590.86,-2.048475296497345,5.0,0.0075719961896538734,1096,0.17
770048,0.09,0.07,0.07,588.56,-1.663537493944168,4.54,0.004343864973634481,1095,0.21
778240,0.11,0.09,0.07,587.52,-1.2508295708149673,4.54,0.010071292519569397,1095,0.24
786432,0.15,0.11,0.09,579.75,-0.5894081931561231,4.28,0.002799639478325844,1094,0.27
794624,0.16,0.11,0.1,578.11,-0.5890852408856153,4.82,0.005715362261980772,1094,0.31
802816,0.17,0.11,0.09,576.49,-0.4521972017735243,5.21,0.004041612613946199,1093,0.32
811008,0.2,0.13,0.1,572.48,-0.06803401283919812,8.26,0.005216674413532019,1093,0.3
819200,0.21,0.13,0.11,570.91,0.010073817446827888,8.79,0.006210801191627979,1093,0.32
827392,0.21,0.14,0.11,568.63,0.0749780959635973,8.8,0.002868774812668562,1092,0.33
