global_step,obey_top,obey_bottom,success_top,success_bottom,obey_top_can,obey_bottom_can,success_top_can,success_bottom_can,wrong_steps,segment_return,approx_kl,sps
8192,nan,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,0.03492938028648496,0.04089730978012085,953
16384,0.9090909090909091,0.5,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,0.0,2.8314835083438084,0.025639228522777557,998
24576,0.9473684210526315,0.6666666666666666,0.9473684210526315,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.8881217627204023,0.031876593828201294,1028
32768,0.9545454545454546,0.7058823529411765,0.9545454545454546,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,-0.24564030510373414,0.09808061271905899,1053
40960,0.7073170731707317,0.45714285714285713,0.5609756097560976,0.37142857142857144,0.2,0.05,0.0,0.0,0.0,-0.029783032252453268,0.03623626381158829,1065
49152,0.6818181818181818,0.425,0.5454545454545454,0.35,0.17647058823529413,0.041666666666666664,0.0,0.0,0.0,-0.11929863080149516,0.030469579622149467,1072
57344,0.7037037037037037,0.5084745762711864,0.5370370370370371,0.3898305084745763,0.2727272727272727,0.09375,0.0,0.0,0.0,1.908946307725273,0.04616807773709297,1065
65536,0.7037037037037037,0.4782608695652174,0.5370370370370371,0.36231884057971014,0.2727272727272727,0.1,0.0,0.0,0.0,-0.03792700311169028,0.02573847584426403,1070
73728,0.7377049180327869,0.4868421052631579,0.5737704918032787,0.3815789473684211,0.30434782608695654,0.09302325581395349,0.0,0.0,0.0,1.3061323172296397,0.0686960518360138,1071
81920,0.7534246575342466,0.4787234042553192,0.5068493150684932,0.3617021276595745,0.4,0.10909090909090909,0.0,0.0,0.0,1.0967066790908575,0.0686827003955841,1074
90112,0.7530864197530864,0.5142857142857142,0.5061728395061729,0.4,0.3939393939393939,0.10526315789473684,0.0,0.0,0.0,1.8703666223736946,0.03181114420294762,1075
98304,0.7586206896551724,0.5333333333333333,0.5057471264367817,0.39166666666666666,0.4,0.1111111111111111,0.0,0.0,0.0,1.0265264602494426,0.09638670831918716,1075
106496,0.7582417582417582,0.5317460317460317,0.5054945054945055,0.3968253968253968,0.3888888888888889,0.10606060606060606,0.0,0.0,0.0,0.3492370069725439,0.03735460713505745,1077
114688,0.7684210526315789,0.5467625899280576,0.5263157894736842,0.4028776978417266,0.3888888888888889,0.1,0.0,0.0,0.0,1.4236704393988475,0.030179902911186218,1076
122880,0.7777777777777778,0.538961038961039,0.5,0.38961038961038963,0.42857142857142855,0.10126582278481013,0.0,0.0,0.0,1.1941338152391836,0.0642809122800827,1076
131072,0.7796610169491526,0.5443786982248521,0.4915254237288136,0.3905325443786982,0.43478260869565216,0.10465116279069768,0.0,0.0,0.0,1.4457938158884645,0.2068837583065033,1074
139264,0.7857142857142857,0.5480225988700564,0.48412698412698413,0.3954802259887006,0.46,0.10112359550561797,0.02,0.0,0.0,1.1750367975328118,0.04044955596327782,1075
147456,0.7985074626865671,0.5621621621621622,0.48507462686567165,0.41081081081081083,0.49056603773584906,0.10989010989010989,0.018867924528301886,0.0,0.0,1.7809852115460671,0.019823964685201645,1076
155648,0.8,0.5612244897959183,0.4689655172413793,0.413265306122449,0.5084745762711864,0.10416666666666667,0.01694915254237288,0.0,0.0,1.2583106107194908,0.02321896329522133,1074
163840,0.7974683544303798,0.58,0.4620253164556962,0.435,0.5151515151515151,0.10204081632653061,0.015151515151515152,0.0,0.0,1.55671131570125,0.16867974400520325,1073
172032,0.8072289156626506,0.56,0.4457831325301205,0.405,0.5428571428571428,0.10091743119266056,0.014285714285714285,0.0,0.0,1.0000424846075475,0.01657252013683319,1071
180224,0.8081395348837209,0.57,0.4418604651162791,0.425,0.5540540540540541,0.09821428571428571,0.013513513513513514,0.0,0.0,1.0978392436518334,0.02523784339427948,1072
188416,0.8186813186813187,0.59,0.43956043956043955,0.445,0.5657894736842105,0.09482758620689655,0.013157894736842105,0.0,0.0,1.085036144766491,0.04821304976940155,1071
196608,0.824468085106383,0.585,0.4308510638297872,0.44,0.5925925925925926,0.09090909090909091,0.012345679012345678,0.0,0.0,0.6249488003377337,0.09340283274650574,1072
204800,0.83,0.59,0.43,0.44,0.6067415730337079,0.09448818897637795,0.011235955056179775,0.0,0.0,1.5091338913189247,0.027252715080976486,1072
212992,0.825,0.595,0.4,0.44,0.6129032258064516,0.09774436090225563,0.010752688172043012,0.0,0.0,1.6416732135694474,0.04477003589272499,1072
221184,0.825,0.605,0.39,0.445,0.6170212765957447,0.10218978102189781,0.010638297872340425,0.0,0.0,1.9918834902346134,0.04986991733312607,1072
229376,0.85,0.61,0.385,0.455,0.63,0.10071942446043165,0.01,0.0,0.0,0.41114339063642547,0.059526197612285614,1073
237568,0.855,0.595,0.39,0.445,0.6336633663366337,0.09722222222222222,0.009900990099009901,0.0,0.0,-0.7885589311481453,0.06365522742271423,1074
245760,0.87,0.565,0.395,0.415,0.6388888888888888,0.09210526315789473,0.009259259259259259,0.0,0.0,0.32017401087796316,0.11463534832000732,1073
253952,0.88,0.56,0.38,0.41,0.6548672566371682,0.08917197452229299,0.008849557522123894,0.0,0.0,-0.035151350835803896,0.03709349036216736,1073
262144,0.885,0.53,0.355,0.375,0.6694915254237288,0.08284023668639054,0.00847457627118644,0.0,0.0,-0.06709287938429043,0.04024253785610199,1072
270336,0.89,0.53,0.375,0.36,0.6666666666666666,0.08187134502923976,0.008333333333333333,0.0,0.0,0.9744052755413577,0.05974645912647247,1073
278528,0.9,0.53,0.375,0.365,0.6747967479674797,0.08571428571428572,0.008130081300813009,0.0,0.0,0.17470284740556963,0.06356179714202881,1074
286720,0.91,0.54,0.37,0.35,0.6875,0.08379888268156424,0.015625,0.0,0.0,0.21677336475113407,0.044328294694423676,1074
294912,0.91,0.535,0.35,0.345,0.6946564885496184,0.08241758241758242,0.015267175572519083,0.0,0.0,-0.6597092443262227,0.04498016834259033,1075
303104,0.92,0.53,0.335,0.315,0.7101449275362319,0.0797872340425532,0.014492753623188406,0.0,0.0,-0.36378234945004806,0.04123283922672272,1074
311296,0.925,0.52,0.345,0.28,0.7122302158273381,0.078125,0.014388489208633094,0.0,0.0,-0.04092629626393318,0.033684007823467255,1075
319488,0.93,0.515,0.34,0.265,0.7163120567375887,0.07731958762886598,0.014184397163120567,0.0,0.0,-0.5997333262930624,0.11995932459831238,1075
327680,0.93,0.535,0.31,0.265,0.7284768211920529,0.08205128205128205,0.013245033112582781,0.0,0.0,-0.45214858709368855,0.023831721395254135,1075
335872,0.925,0.53,0.31,0.245,0.7272727272727273,0.08585858585858586,0.012987012987012988,0.0,0.0,0.12789701588917524,0.09565643221139908,1075
344064,0.935,0.535,0.315,0.225,0.73125,0.09,0.0125,0.0,0.0,-0.06468065088847652,0.042284995317459106,1075
352256,0.94,0.545,0.315,0.215,0.7361963190184049,0.09,0.012269938650306749,0.0,0.0,-0.1812925812555477,0.04007619619369507,1076
360448,0.945,0.54,0.33,0.2,0.7393939393939394,0.09,0.012121212121212121,0.0,0.0,0.2859775766846724,0.01871221326291561,1076
368640,0.935,0.535,0.325,0.185,0.7325581395348837,0.095,0.011627906976744186,0.0,0.0,0.10759719728957862,0.04951925203204155,1076
376832,0.93,0.54,0.305,0.18,0.7329545454545454,0.095,0.011363636363636364,0.0,0.0,-0.03999903774820268,0.042276013642549515,1076
385024,0.915,0.555,0.315,0.175,0.7222222222222222,0.09,0.011111111111111112,0.0,0.0,0.49261388141894713,0.027987245470285416,1076
393216,0.92,0.555,0.315,0.16,0.7213114754098361,0.095,0.01092896174863388,0.0,0.0,-0.3585539429914206,0.020120613276958466,1077
401408,0.91,0.56,0.3,0.155,0.7165775401069518,0.09,0.0106951871657754,0.0,0.0,-0.0631021082517691,0.048542119562625885,1077
409600,0.905,0.56,0.31,0.14,0.7105263157894737,0.095,0.010526315789473684,0.0,0.0,-0.6243955630343407,0.0482352077960968,1077
417792,0.9,0.555,0.27,0.11,0.711340206185567,0.095,0.010309278350515464,0.0,0.0,-0.7163207368575968,0.04569582641124725,1077
425984,0.9,0.57,0.27,0.11,0.7091836734693877,0.1,0.01020408163265306,0.0,0.0,-0.04812217041035183,0.07335928827524185,1078
434176,0.89,0.585,0.28,0.115,0.71,0.11,0.015,0.0,0.0,-0.22103880514623597,0.03619159013032913,1078
442368,0.89,0.575,0.285,0.11,0.715,0.105,0.015,0.0,0.0,-0.31695958867203444,0.057357512414455414,1078
450560,0.875,0.59,0.285,0.12,0.715,0.105,0.02,0.0,0.0,-0.022524138737935573,0.08483299612998962,1077
458752,0.86,0.595,0.285,0.125,0.715,0.11,0.02,0.0,0.0,-0.37656257464550436,0.042492061853408813,1077
466944,0.855,0.59,0.285,0.115,0.73,0.105,0.02,0.0,0.0,-0.38891660200897604,0.044239483773708344,1077
475136,0.855,0.61,0.285,0.115,0.73,0.105,0.02,0.0,0.0,-0.45516192028298974,0.06485001742839813,1077
483328,0.85,0.615,0.29,0.115,0.725,0.115,0.02,0.0,0.0,-0.5280825685476884,0.03997049853205681,1077
491520,0.85,0.605,0.275,0.11,0.73,0.11,0.02,0.0,0.0,-0.8434089125366881,0.04598814994096756,1077
499712,0.84,0.6,0.265,0.12,0.725,0.11,0.02,0.0,0.0,0.10189626371720806,0.017595380544662476,1076
507904,0.835,0.6,0.265,0.12,0.745,0.11,0.025,0.0,0.0,0.571633598767221,0.021891722455620766,1076
516096,0.83,0.61,0.285,0.125,0.745,0.11,0.025,0.0,0.0,0.5010792427347042,0.02140304446220398,1076
524288,0.825,0.61,0.29,0.13,0.745,0.115,0.025,0.005,0.0,-0.1616996261291206,0.049330487847328186,1077
532480,0.825,0.6,0.275,0.135,0.75,0.12,0.025,0.005,0.0,0.1566961404751055,0.044876404106616974,1077
