global_step,obey_top,obey_bottom,success_top,success_bottom,obey_top_can,obey_bottom_can,success_top_can,success_bottom_can,wrong_steps,segment_return,approx_kl,sps
8192,nan,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,-0.04936944821383804,0.2342502474784851,951
16384,0.6666666666666666,0.8461538461538461,0.6666666666666666,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,2.840750620700419,0.08062922209501266,1016
24576,0.8666666666666667,0.8235294117647058,0.8666666666666667,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,1.370417611557059,0.06754337251186371,1042
32768,0.8823529411764706,0.7619047619047619,0.8823529411764706,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,-0.2854748675599694,0.02747979946434498,1058
40960,0.6585365853658537,0.5263157894736842,0.4634146341463415,0.5263157894736842,0.3,0.0,0.05,0.0,0.0,0.5900893696816638,0.05820024013519287,1066
49152,0.6888888888888889,0.5128205128205128,0.4888888888888889,0.5128205128205128,0.3333333333333333,0.0,0.047619047619047616,0.0,0.0,0.124157513899263,0.02412726730108261,1074
57344,0.6307692307692307,0.5416666666666666,0.47692307692307695,0.5416666666666666,0.22580645161290322,0.0,0.03225806451612903,0.0,0.0,2.1355980820953846,0.04777279496192932,1070
65536,0.6417910447761194,0.5283018867924528,0.4925373134328358,0.5283018867924528,0.22580645161290322,0.0,0.03225806451612903,0.0,0.0,0.3905799875210505,0.021591372787952423,1073
73728,0.6266666666666667,0.543859649122807,0.49333333333333335,0.543859649122807,0.2,0.0,0.02857142857142857,0.0,0.0,0.2918643872253597,0.050303779542446136,1074
81920,0.6,0.4657534246575342,0.4777777777777778,0.4520547945205479,0.18181818181818182,0.0,0.022727272727272728,0.0,0.0,1.3698615810717456,0.12277638167142868,1075
90112,0.625,0.47560975609756095,0.5104166666666666,0.45121951219512196,0.18181818181818182,0.0,0.022727272727272728,0.0,0.0,0.8566776479128748,0.049171142280101776,1075
98304,0.6181818181818182,0.4835164835164835,0.4909090909090909,0.45054945054945056,0.17647058823529413,0.020833333333333332,0.0196078431372549,0.0,0.0,1.1576159266987815,0.10598421096801758,1076
106496,0.6333333333333333,0.5051546391752577,0.5083333333333333,0.4639175257731959,0.16981132075471697,0.02040816326530612,0.018867924528301886,0.0,0.0,2.1559982033795677,0.0626743957400322,1076
114688,0.640625,0.5339805825242718,0.515625,0.49514563106796117,0.16363636363636364,0.02040816326530612,0.01818181818181818,0.0,0.0,1.5660449858405627,0.04147453233599663,1076
122880,0.6285714285714286,0.5217391304347826,0.5071428571428571,0.4782608695652174,0.14754098360655737,0.017857142857142856,0.01639344262295082,0.0,0.0,1.1675135189434513,0.08418432623147964,1076
131072,0.6258064516129033,0.512,0.4967741935483871,0.472,0.14705882352941177,0.016129032258064516,0.014705882352941176,0.0,0.0,0.9175163274630904,0.03365514054894447,1074
139264,0.6358024691358025,0.5,0.5061728395061729,0.46153846153846156,0.15714285714285714,0.015151515151515152,0.014285714285714285,0.0,0.0,-0.019485160941258073,0.04445634037256241,1076
147456,0.6347305389221557,0.5251798561151079,0.5089820359281437,0.4748201438848921,0.1527777777777778,0.014925373134328358,0.013888888888888888,0.0,0.0,0.8098693774663843,0.017022576183080673,1078
155648,0.6271186440677966,0.5202702702702703,0.5028248587570622,0.46621621621621623,0.14285714285714285,0.0273972602739726,0.012987012987012988,0.0,0.0,0.9449057264137082,0.045547787100076675,1078
163840,0.6190476190476191,0.5095541401273885,0.4973544973544973,0.4585987261146497,0.14285714285714285,0.02531645569620253,0.011904761904761904,0.0,0.0,1.13219232467236,0.024066710844635963,1077
172032,0.6,0.5240963855421686,0.475,0.463855421686747,0.1368421052631579,0.024691358024691357,0.010526315789473684,0.0,0.0,1.4792421036981978,0.07246105372905731,1075
180224,0.59,0.5375722543352601,0.465,0.47398843930635837,0.13402061855670103,0.024390243902439025,0.010309278350515464,0.0,0.0,0.8787730693584308,0.025507085025310516,1076
188416,0.575,0.5513513513513514,0.44,0.4918918918918919,0.14705882352941177,0.023529411764705882,0.00980392156862745,0.0,0.0,2.550012367311865,0.043352093547582626,1076
196608,0.585,0.5531914893617021,0.465,0.48936170212765956,0.14018691588785046,0.023255813953488372,0.009345794392523364,0.0,0.0,0.05654460599180311,0.06974367797374725,1077
204800,0.585,0.54,0.49,0.48,0.13392857142857142,0.021052631578947368,0.008928571428571428,0.0,0.0,0.846364472177811,0.026635339483618736,1077
212992,0.575,0.52,0.48,0.46,0.14166666666666666,0.02,0.008333333333333333,0.0,0.0,0.12346800079103559,0.012477868236601353,1077
221184,0.595,0.49,0.485,0.43,0.1557377049180328,0.018867924528301886,0.00819672131147541,0.0,0.0,0.4817991032032296,0.14984984695911407,1077
229376,0.605,0.475,0.465,0.415,0.16666666666666666,0.017857142857142856,0.007936507936507936,0.0,0.0,0.4902263124822639,0.04278605431318283,1077
237568,0.615,0.47,0.48,0.41,0.16279069767441862,0.017699115044247787,0.007751937984496124,0.0,0.0,-0.5058410996571183,0.03613768145442009,1078
245760,0.63,0.49,0.465,0.405,0.1791044776119403,0.016666666666666666,0.007462686567164179,0.0,0.0,-0.029019113164395094,0.10516076534986496,1076
253952,0.625,0.495,0.455,0.395,0.18382352941176472,0.01639344262295082,0.007352941176470588,0.0,0.0,-0.16867789046955295,0.05209462344646454,1077
262144,0.625,0.485,0.44,0.38,0.1958041958041958,0.015873015873015872,0.006993006993006993,0.0,0.0,-0.06719822448212653,0.13463014364242554,1077
270336,0.62,0.47,0.44,0.35,0.19047619047619047,0.014925373134328358,0.006802721088435374,0.0,0.0,0.25488461880013347,0.09549911320209503,1075
278528,0.63,0.475,0.44,0.345,0.19047619047619047,0.014492753623188406,0.006802721088435374,0.0,0.0,-0.2271410486428067,0.036092039197683334,1075
286720,0.64,0.5,0.43,0.34,0.19463087248322147,0.013986013986013986,0.006711409395973154,0.0,0.0,0.32723731209989637,0.08140486478805542,1074
294912,0.64,0.495,0.425,0.335,0.19205298013245034,0.013793103448275862,0.006622516556291391,0.0,0.0,-0.7652654763660394,0.04531540721654892,1076
303104,0.64,0.495,0.4,0.32,0.21518987341772153,0.0136986301369863,0.012658227848101266,0.0,0.0,-0.37779178377240896,0.05362147092819214,1075
311296,0.665,0.5,0.405,0.31,0.2392638036809816,0.013333333333333334,0.012269938650306749,0.0,0.0,-0.5653499568579718,0.029107704758644104,1075
319488,0.67,0.48,0.39,0.28,0.25149700598802394,0.012987012987012988,0.011976047904191617,0.0,0.0,-0.993240327690728,0.1384107917547226,1076
327680,0.68,0.47,0.375,0.245,0.2603550295857988,0.012422360248447204,0.011834319526627219,0.0,0.0,-0.45728045410942286,0.14655640721321106,1075
335872,0.68,0.475,0.37,0.245,0.2631578947368421,0.012345679012345678,0.011695906432748537,0.0,0.0,-0.7386477924301289,0.0725664421916008,1076
344064,0.705,0.48,0.375,0.225,0.26704545454545453,0.011834319526627219,0.022727272727272728,0.0,0.0,0.15102719789138064,0.07659757137298584,1076
352256,0.71,0.47,0.365,0.2,0.2777777777777778,0.011560693641618497,0.022222222222222223,0.0,0.0,-0.6595381764345802,0.08268806338310242,1076
360448,0.74,0.46,0.37,0.185,0.2994652406417112,0.011111111111111112,0.026737967914438502,0.0,0.0,0.35855128604453057,0.034304745495319366,1075
368640,0.745,0.47,0.36,0.185,0.3020833333333333,0.016574585635359115,0.026041666666666668,0.0,0.0,-0.5001462682848796,0.036551184952259064,1075
376832,0.755,0.47,0.365,0.175,0.30569948186528495,0.016216216216216217,0.025906735751295335,0.0,0.0,0.7788006742484868,0.032595641911029816,1076
385024,0.765,0.46,0.36,0.15,0.31155778894472363,0.021052631578947368,0.02512562814070352,0.0,0.0,-0.20132577617187053,0.08313862234354019,1075
393216,0.775,0.46,0.355,0.14,0.31,0.025906735751295335,0.025,0.0,0.0,0.39246738114161417,0.026264198124408722,1075
401408,0.79,0.45,0.36,0.1,0.31,0.030303030303030304,0.025,0.0,0.0,0.3813186757033691,0.03278680518269539,1075
409600,0.8,0.455,0.365,0.095,0.305,0.03015075376884422,0.02,0.0,0.0,-0.33612315711798146,0.10125955939292908,1076
417792,0.795,0.465,0.37,0.085,0.3,0.03,0.02,0.0,0.0,-0.05396961426595226,0.048788197338581085,1076
425984,0.765,0.49,0.355,0.09,0.3,0.03,0.02,0.0,0.0,0.22234530292917043,0.022275801748037338,1076
434176,0.76,0.52,0.345,0.085,0.295,0.035,0.02,0.0,0.0,-0.7148025364731438,0.027539445087313652,1076
442368,0.745,0.555,0.325,0.09,0.285,0.05,0.02,0.005,0.0,-0.3937472263351083,0.03288473188877106,1076
450560,0.745,0.56,0.325,0.09,0.285,0.05,0.02,0.005,0.0,-0.9648962455103174,0.020487956702709198,1076
458752,0.73,0.545,0.315,0.085,0.29,0.05,0.02,0.005,0.0,-1.1459326839540154,0.07429426163434982,1076
466944,0.725,0.55,0.31,0.08,0.3,0.05,0.02,0.005,0.0,-0.7798232716158964,0.049097441136837006,1077
475136,0.715,0.565,0.305,0.09,0.295,0.06,0.02,0.005,0.0,0.29901568323839456,0.033863238990306854,1076
483328,0.72,0.58,0.305,0.105,0.3,0.06,0.02,0.005,0.0,0.47401793248718604,0.050457410514354706,1076
491520,0.705,0.565,0.29,0.11,0.295,0.065,0.02,0.01,0.0,-0.7167732387315482,0.02600492537021637,1076
499712,0.7,0.57,0.305,0.11,0.295,0.065,0.02,0.01,0.0,0.36523607140406966,0.034057192504405975,1076
507904,0.69,0.56,0.31,0.11,0.295,0.06,0.02,0.01,0.0,-0.8061695793876424,0.022431116551160812,1076
