global_step,obey_top,obey_bottom,success_top,success_bottom,wrong_steps,segment_return,approx_kl,sps
8192,nan,nan,nan,nan,nan,-12.337943907827139,0.029883697628974915,326
16384,nan,1.0,nan,1.0,0.0,-25.05003496259451,0.027067426592111588,316
24576,1.0,1.0,1.0,1.0,0.0,-25.80333850160241,0.0221975389868021,304
32768,0.8,1.0,1.0,1.0,13.428571428571429,-19.427588291466236,0.01849176734685898,309
40960,0.23076923076923078,0.6744186046511628,0.19230769230769232,0.627906976744186,147.08695652173913,-12.942869551479816,0.029022032395005226,309
49152,0.25925925925925924,0.6818181818181818,0.2222222222222222,0.6363636363636364,142.94366197183098,-13.537161700427532,0.030901800841093063,306
57344,0.2571428571428571,0.7037037037037037,0.22857142857142856,0.6666666666666666,133.20224719101122,-16.423127695918083,0.02121562510728836,307
65536,0.275,0.7,0.25,0.65,127.44,-17.01573634520173,0.035981133580207825,305
73728,0.3111111111111111,0.7230769230769231,0.24444444444444444,0.676923076923077,122.4090909090909,-16.883397717028856,0.021474584937095642,306
81920,0.24193548387096775,0.6625,0.1774193548387097,0.6,132.8450704225352,-13.480787724256516,0.02133858948945999,307
90112,0.24242424242424243,0.686046511627907,0.18181818181818182,0.6046511627906976,131.59868421052633,-15.758604388684034,0.014416558668017387,305
98304,0.2465753424657534,0.6736842105263158,0.1780821917808219,0.6,127.53571428571429,-16.620536379516125,0.04774412512779236,305
106496,0.25,0.6868686868686869,0.1875,0.6161616161616161,127.26256983240224,-21.686139188706875,0.02015145681798458,303
114688,0.24705882352941178,0.6831683168316832,0.18823529411764706,0.6039603960396039,128.33870967741936,-21.860081046819687,0.022343484684824944,304
122880,0.22448979591836735,0.6410256410256411,0.16326530612244897,0.5641025641025641,144.83,-21.66213108599186,0.020450148731470108,303
131072,0.22857142857142856,0.6475409836065574,0.17142857142857143,0.5737704918032787,156.33,-19.830644361674786,0.026798948645591736,303
139264,0.21818181818181817,0.6296296296296297,0.16363636363636364,0.5555555555555556,153.88,-19.812349036335945,0.01968337967991829,304
147456,0.21621621621621623,0.6428571428571429,0.16216216216216217,0.5571428571428572,148.08,-22.15256941318512,0.016539283096790314,303
155648,0.20155038759689922,0.6357615894039735,0.15503875968992248,0.543046357615894,151.165,-18.942175779491663,0.013674477115273476,303
163840,0.19402985074626866,0.6298701298701299,0.14925373134328357,0.5324675324675324,149.83,-20.185030803084373,0.021477866917848587,304
172032,0.18439716312056736,0.625,0.14184397163120568,0.53125,160.735,-17.108194656670094,0.03235206753015518,303
180224,0.18791946308724833,0.6167664670658682,0.1476510067114094,0.5089820359281437,169.665,-12.740273721516132,0.03029654733836651,302
188416,0.19205298013245034,0.6264367816091954,0.152317880794702,0.5,161.6,-13.363188087940216,0.02139180526137352,301
196608,0.18518518518518517,0.6054054054054054,0.14814814814814814,0.4756756756756757,158.6,-13.860318284481764,0.04001548886299133,301
204800,0.18902439024390244,0.5968586387434555,0.1524390243902439,0.4607329842931937,162.185,-17.32543344050646,0.02940116822719574,302
212992,0.18823529411764706,0.59,0.14705882352941177,0.43,165.025,-17.44971313327551,0.0421542190015316,302
221184,0.18285714285714286,0.575,0.14285714285714285,0.405,165.575,-14.720786847174168,0.041135624051094055,302
229376,0.1787709497206704,0.56,0.13966480446927373,0.38,168.31,-16.746072582900524,0.030574096366763115,302
237568,0.1746031746031746,0.55,0.13227513227513227,0.33,164.12,-16.199436232447624,0.0191611610352993,302
245760,0.17525773195876287,0.55,0.12886597938144329,0.325,163.475,-18.67667655646801,0.03632251173257828,302
