global_step,obey_top,obey_bottom,success_top,success_bottom,wrong_steps,segment_return,approx_kl,sps
8192,nan,nan,nan,nan,nan,-11.648370863869786,0.030040740966796875,1062
16384,nan,1.0,nan,1.0,0.0,-9.617109540849924,0.03213484585285187,1056
24576,nan,1.0,nan,1.0,0.0,-12.254783250391483,0.02127556875348091,1050
32768,nan,1.0,nan,1.0,0.0,-10.107520431280136,0.02744315192103386,1056
40960,0.0,0.9782608695652174,0.0,0.9347826086956522,122.48611111111111,-9.757073866669089,0.022684119641780853,1056
49152,0.0,0.9795918367346939,0.0,0.9387755102040817,117.58666666666667,-14.819618787616491,0.02547713741660118,1062
57344,0.0,0.9666666666666667,0.0,0.9333333333333333,133.27,-8.264325069263577,0.02995237149298191,1050
65536,0.0,0.9710144927536232,0.0,0.927536231884058,134.16521739130434,-9.898452959954739,0.013343239203095436,1051
73728,0.0,0.9629629629629629,0.0,0.9135802469135802,126.18461538461538,-6.813195621594787,0.03343271464109421,1053
81920,0.0,0.9555555555555556,0.0,0.9111111111111111,141.23076923076923,-7.0691770147532225,0.02487810142338276,1058
90112,0.0,0.9615384615384616,0.0,0.9230769230769231,130.06976744186048,-7.497276194393635,0.03595984727144241,1058
98304,0.0,0.9658119658119658,0.0,0.9145299145299145,136.72222222222223,-11.92201142758131,0.024869084358215332,1058
106496,0.0,0.9669421487603306,0.0,0.9173553719008265,140.315,-13.239109016954899,0.015754930675029755,1061
114688,0.0,0.9624060150375939,0.0,0.9172932330827067,147.165,-11.093500271439552,0.029953207820653915,1060
122880,0.0,0.9635036496350365,0.0,0.9051094890510949,171.415,-12.281405370682478,0.019296541810035706,1059
131072,0.0,0.9594594594594594,0.0,0.8851351351351351,157.91,-11.455191239714622,0.021420497447252274,1059
139264,0.0,0.9539473684210527,0.0,0.881578947368421,160.62,-8.957320110872388,0.02067236602306366,1059
147456,0.0,0.9512195121951219,0.0,0.8841463414634146,160.355,-6.171228958293796,0.02786359377205372,1058
155648,0.0,0.9542857142857143,0.0,0.8857142857142857,157.09,-11.303370960056782,0.019249599426984787,1056
163840,0.0,0.9550561797752809,0.0,0.8820224719101124,162.6,-13.812590569257736,0.02034551277756691,1056
172032,0.0,0.946236559139785,0.0,0.8709677419354839,159.085,-12.78321997448802,0.02765752375125885,1055
180224,0.0,0.9427083333333334,0.0,0.8697916666666666,155.04,-11.188766069710255,0.023000117391347885,1056
188416,0.0,0.935,0.0,0.86,174.24,-7.780243242159486,0.02175666019320488,1055
196608,0.0,0.935,0.0,0.85,179.91,-8.96792858466506,0.02242777682840824,1055
204800,0.0,0.935,0.0,0.85,179.13,-11.073157139122486,0.06093278527259827,1054
212992,0.005,0.925,0.005,0.835,184.265,-8.738707479089499,0.022571200504899025,1052
221184,0.005,0.925,0.005,0.82,176.825,-8.876174919307232,0.03182017430663109,1052
229376,0.005,0.915,0.005,0.8,171.155,-7.880132805556059,0.027022965252399445,1051
237568,0.005,0.9,0.005,0.785,170.755,-11.593044765293598,0.02384255826473236,1051
245760,0.01,0.895,0.01,0.78,166.455,-10.815139390528202,0.024847259745001793,1051
253952,0.01,0.9,0.01,0.775,168.45,-11.655879493802786,0.021697742864489555,1051
262144,0.015,0.89,0.01,0.77,172.215,-8.305591797456145,0.03425256162881851,1052
270336,0.02,0.87,0.01,0.735,169.365,-5.802092745900154,0.025309555232524872,1052
278528,0.02,0.855,0.01,0.72,168.73,-6.651103286072612,0.025753233581781387,1053
286720,0.025,0.845,0.01,0.7,168.555,-6.9380599139258265,0.036711763590574265,1052
294912,0.025,0.815,0.01,0.67,156.06,-4.77112571336329,0.02715831622481346,1053
303104,0.025,0.8,0.01,0.655,152.96,-3.8719676714390516,0.0330800786614418,1052
311296,0.035,0.785,0.01,0.63,138.005,-4.490259022451937,0.027385853230953217,1051
319488,0.04,0.775,0.01,0.615,134.305,-2.9247163893887773,0.03468313813209534,1051
327680,0.045,0.745,0.01,0.565,118.42,-3.2305686799809337,0.029538607224822044,1051
335872,0.045,0.74,0.01,0.56,120.49,-4.549414065666497,0.021306661888957024,1052
344064,0.045,0.7,0.01,0.505,107.61,-3.362137450836599,0.03038257174193859,1052
352256,0.045,0.685,0.01,0.475,103.06,-4.639219274744391,0.023659732192754745,1052
360448,0.05,0.66,0.01,0.435,93.25,-3.6771390489302576,0.06128992885351181,1053
368640,0.05,0.645,0.01,0.415,83.65,-3.7316236197948456,0.04801648482680321,1054
376832,0.05,0.64,0.01,0.4,82.43,-2.752315506339073,0.02918616309762001,1056
385024,0.055,0.605,0.01,0.37,66.065,-2.5104354564100504,0.017130497843027115,1057
393216,0.055,0.59,0.01,0.34,62.03,-1.8745187455788255,0.04576484113931656,1057
401408,0.055,0.545,0.01,0.29,52.435,-2.0289224376901984,0.029735974967479706,1057
409600,0.055,0.515,0.01,0.265,45.34,-2.5020054532215,0.024327147752046585,1056
417792,0.06,0.485,0.01,0.235,41.63,-2.547126920428127,0.02708692103624344,1057
