global_step,obey_top,obey_bottom,success_top,success_bottom,wrong_steps,segment_return,approx_kl,sps
8192,nan,nan,nan,nan,nan,-8.143770842230879,0.02787264809012413,551
16384,nan,1.0,nan,1.0,0.0,-9.960508938878775,0.04549387842416763,542
24576,nan,1.0,nan,1.0,0.0,-16.241276174783707,0.03115442581474781,545
32768,nan,1.0,nan,1.0,0.0,-15.269917078316212,0.03975113853812218,546
40960,0.0,0.9782608695652174,0.0,0.9130434782608695,143.43055555555554,-13.829658888280392,0.02187606319785118,549
49152,0.0,0.9787234042553191,0.0,0.9148936170212766,141.46575342465752,-14.726999536156654,0.037867363542318344,554
57344,0.0,0.98,0.0,0.92,177.72222222222223,-10.372085951268673,0.03257029503583908,554
65536,0.0,0.9830508474576272,0.0,0.9322033898305084,169.5047619047619,-10.89984155073762,0.033439572900533676,554
73728,0.0,0.9705882352941176,0.0,0.9117647058823529,167.89256198347107,-12.183729153126478,0.019743483513593674,554
81920,0.0,0.9473684210526315,0.0,0.881578947368421,182.95205479452054,-12.67800534144044,0.02245361916720867,554
90112,0.0,0.95,0.013888888888888888,0.8875,181.78947368421052,-13.201622128486633,0.021478042006492615,555
98304,0.0,0.9565217391304348,0.011904761904761904,0.8695652173913043,184.03977272727272,-10.466681230813265,0.04474680870771408,554
106496,0.0,0.9428571428571428,0.011494252873563218,0.8476190476190476,175.453125,-11.46335281431675,0.02077997848391533,552
114688,0.0,0.9464285714285714,0.010526315789473684,0.8571428571428571,185.665,-11.64459215849638,0.03562469035387039,552
122880,0.0,0.9504132231404959,0.009433962264150943,0.859504132231405,206.385,-12.281508851796389,0.017224041745066643,551
131072,0.0,0.953125,0.00909090909090909,0.859375,215.195,-13.352598518133163,0.03331904485821724,551
139264,0.0,0.9562043795620438,0.008264462809917356,0.8540145985401459,204.725,-12.802202802151442,0.013970421627163887,550
147456,0.0,0.9466666666666667,0.007751937984496124,0.8333333333333334,191.62,-13.415727388113737,0.037582699209451675,549
155648,0.0,0.9493670886075949,0.007194244604316547,0.8417721518987342,191.41,-15.562106691300869,0.019277814775705338,549
163840,0.0,0.9515151515151515,0.006896551724137931,0.8424242424242424,199.325,-15.179688271135092,0.016338342800736427,550
172032,0.0,0.9532163742690059,0.006578947368421052,0.847953216374269,206.405,-14.19956735521555,0.03863437473773956,549
180224,0.0,0.9560439560439561,0.006172839506172839,0.8461538461538461,199.23,-12.451214231550694,0.025638259947299957,548
188416,0.0,0.9574468085106383,0.005780346820809248,0.8351063829787234,209.085,-13.78073376789689,0.02085855044424534,547
196608,0.0,0.9595959595959596,0.005494505494505495,0.8333333333333334,212.78,-12.840770907700062,0.018907681107521057,545
204800,0.0,0.96,0.005405405405405406,0.835,217.365,-15.389217779040337,0.03622087836265564,545
212992,0.0,0.96,0.0051813471502590676,0.82,218.37,-16.878587521612644,0.02256062440574169,545
221184,0.0,0.96,0.005,0.805,218.66,-16.709746807813644,0.03220842033624649,544
229376,0.0,0.955,0.005,0.79,229.86,-15.296650517731905,0.023319721221923828,544
237568,0.0,0.955,0.005,0.77,236.26,-13.485902599990368,0.028277045115828514,544
245760,0.0,0.96,0.005,0.785,243.565,-12.08463517203927,0.016268279403448105,544
253952,0.0,0.96,0.005,0.77,236.39,-11.705258052796125,0.024653300642967224,544
262144,0.0,0.97,0.01,0.77,228.405,-12.66860145330429,0.009851312264800072,544
270336,0.0,0.97,0.01,0.775,222.735,-17.314707152545452,0.018590375781059265,544
278528,0.0,0.97,0.01,0.775,223.705,-21.045301396399736,0.01613052561879158,544
286720,0.0,0.975,0.01,0.78,222.22,-20.160300232470036,0.018817249685525894,543
294912,0.0,0.98,0.01,0.77,236.525,-19.546364210546017,0.02094007283449173,544
303104,0.0,0.98,0.005,0.775,248.66,-17.041568960994482,0.02220158465206623,552
311296,0.005,0.98,0.01,0.775,260.525,-16.560149677097797,0.027733685448765755,558
319488,0.005,0.98,0.01,0.76,256.485,-16.830677948892117,0.02163795195519924,565
327680,0.01,0.975,0.015,0.765,257.42,-15.642918840050697,0.01820230484008789,572
335872,0.015,0.97,0.015,0.745,265.08,-15.199877735227346,0.021432051435112953,573
344064,0.015,0.98,0.015,0.74,252.43,-15.001619391143322,0.017191492021083832,565
352256,0.015,0.98,0.015,0.735,259.055,-15.82951831817627,0.026890462264418602,558
360448,0.015,0.98,0.015,0.725,258.845,-14.799423079937696,0.04067842662334442,552
368640,0.025,0.98,0.015,0.73,261.41,-15.357858899980783,0.032355912029743195,548
376832,0.025,0.97,0.015,0.73,274.66,-15.871120542287827,0.04622466862201691,544
385024,0.025,0.96,0.015,0.73,278.99,-15.231338299810886,0.021328378468751907,540
393216,0.025,0.96,0.02,0.73,269.495,-15.417441789060831,0.018475260585546494,536
401408,0.025,0.96,0.02,0.725,270.805,-15.203636229038239,0.023537714034318924,533
409600,0.025,0.955,0.02,0.725,267.145,-13.915119357407093,0.031164750456809998,530
417792,0.035,0.955,0.025,0.73,258.695,-11.594277314841747,0.02308299019932747,526
425984,0.04,0.95,0.025,0.735,261.835,-10.298444099724293,0.01527161430567503,524
434176,0.045,0.95,0.025,0.735,258.115,-8.007322236895561,0.02089056186378002,521
442368,0.045,0.95,0.025,0.725,241.255,-5.405053731054068,0.018545668572187424,517
450560,0.05,0.945,0.025,0.71,239.815,-5.899721343070269,0.02292585000395775,514
458752,0.055,0.945,0.02,0.69,225.28,-6.095344677567482,0.03324190899729729,511
466944,0.06,0.94,0.02,0.67,214.515,-5.680118590593338,0.023732297122478485,508
475136,0.06,0.93,0.02,0.665,209.495,-5.4946755319833755,0.04499798268079758,505
483328,0.07,0.925,0.02,0.65,184.905,-5.577727518975735,0.027056343853473663,502
491520,0.07,0.92,0.02,0.635,178.94,-8.280682168900967,0.016902443021535873,499
499712,0.07,0.91,0.02,0.615,172.385,-8.272851936519146,0.02786947414278984,497
507904,0.075,0.91,0.02,0.6,162.35,-5.387439534068108,0.03665187954902649,495
516096,0.08,0.9,0.02,0.59,152.175,-6.846998859196901,0.03624472767114639,493
524288,0.08,0.88,0.015,0.56,130.91,-4.298961013555527,0.02322624996304512,491
532480,0.075,0.88,0.01,0.55,123.975,-3.7986206114292145,0.03248538076877594,489
540672,0.075,0.87,0.01,0.515,117.375,-2.682924154214561,0.029187723994255066,487
548864,0.08,0.855,0.01,0.495,98.895,-2.39723692368716,0.020934883505105972,485
557056,0.085,0.845,0.01,0.475,93.525,-2.285445371642709,0.04403151944279671,483
565248,0.09,0.83,0.01,0.465,87.865,-2.133813114836812,0.027123328298330307,482
573440,0.095,0.82,0.01,0.44,81.995,-2.2845479119569063,0.02702323906123638,481
581632,0.1,0.82,0.01,0.425,79.8,-2.9306864058598876,0.019750986248254776,479
589824,0.115,0.805,0.01,0.39,72.77,-3.181230057030916,0.02609136700630188,478
598016,0.11,0.8,0.01,0.35,74.75,-4.388645043596625,0.01747533679008484,476
606208,0.115,0.79,0.01,0.33,72.09,-4.247235022485256,0.03575427830219269,474
614400,0.12,0.795,0.01,0.325,67.135,-3.780708560720086,0.05946053937077522,473
622592,0.135,0.775,0.005,0.3,55.725,-3.784669166430831,0.04261607676744461,471
630784,0.135,0.775,0.005,0.29,58.89,-3.8057991936802864,0.027485087513923645,470
638976,0.14,0.755,0.005,0.245,48.355,-4.056356204673648,0.02556312084197998,469
647168,0.14,0.755,0.005,0.245,48.015,-3.066986232995987,0.02406110055744648,468
655360,0.14,0.735,0.0,0.225,41.46,-1.7929984875954688,0.035885781049728394,467
663552,0.15,0.73,0.0,0.225,43.84,-2.404778934083879,0.028845958411693573,466
671744,0.165,0.715,0.0,0.225,41.415,-1.8872890276834369,0.023342294618487358,465
679936,0.175,0.705,0.0,0.225,40.525,-2.412773258984089,0.036867331713438034,464
688128,0.18,0.705,0.0,0.215,42.925,-3.0868098083883524,0.017426244914531708,463
696320,0.195,0.695,0.0,0.195,41.68,-3.326524220407009,0.027687273919582367,461
704512,0.195,0.685,0.0,0.175,41.295,-3.8086037170141935,0.040782660245895386,460
712704,0.21,0.68,0.0,0.17,44.33,-4.110937369987369,0.04149387404322624,459
720896,0.215,0.675,0.0,0.175,44.075,-2.1048182221129537,0.03986388444900513,458
729088,0.215,0.68,0.0,0.17,40.005,-2.2576217614114285,0.031871914863586426,458
737280,0.21,0.67,0.0,0.165,41.285,-2.942684936337173,0.024095240980386734,457
745472,0.22,0.665,0.0,0.16,39.66,-3.148569706827402,0.03198810666799545,457
753664,0.235,0.65,0.0,0.14,38.08,-2.200184530345723,0.02699100226163864,456
761856,0.24,0.64,0.0,0.14,34.47,-1.3860803679563105,0.03938337042927742,455
770048,0.245,0.64,0.0,0.14,34.53,-1.7388097690418363,0.023469114676117897,455
778240,0.275,0.655,0.0,0.15,34.53,-2.0228163972496986,0.04576100409030914,454
786432,0.29,0.64,0.0,0.13,30.845,-2.1250548036769032,0.027271222323179245,454
794624,0.285,0.655,0.0,0.125,30.145,-2.326128185726702,0.022415541112422943,453
802816,0.28,0.655,0.0,0.13,33.965,-1.6748630956280977,0.03617917373776436,456
811008,0.29,0.65,0.0,0.14,30.255,-2.6871006838046014,0.038171760737895966,459
819200,0.285,0.655,0.0,0.135,30.25,-4.518538977950811,0.033893316984176636,461
827392,0.295,0.655,0.0,0.145,29.38,-3.7888701111078262,0.03114195168018341,464
835584,0.305,0.655,0.0,0.145,31.945,-4.760637644678354,0.028945032507181168,466
843776,0.31,0.655,0.0,0.145,33.515,-5.251547422260046,0.03763379156589508,467
851968,0.31,0.66,0.0,0.145,33.47,-4.620936665683985,0.04054727032780647,467
860160,0.3,0.67,0.0,0.145,34.3,-5.0324484668672085,0.045675128698349,468
868352,0.315,0.67,0.0,0.145,42.67,-3.2299890480935574,0.03469974547624588,468
876544,0.325,0.675,0.0,0.145,42.67,-2.3296382762491703,0.031055962666869164,469
884736,0.32,0.685,0.0,0.145,43.555,-2.4420397896319628,0.01721046306192875,469
892928,0.34,0.69,0.0,0.15,46.15,-3.289552003145218,0.032439958304166794,470
901120,0.355,0.69,0.0,0.155,45.68,-4.109657341614366,0.02696092799305916,470
