global_step,obey_top,obey_bottom,success_top,success_bottom,wrong_steps,segment_return,approx_kl,sps
8192,nan,nan,nan,nan,nan,-3.4909350166562945,0.024718385189771652,249
16384,nan,1.0,nan,1.0,0.0,-2.3871380034834146,0.03787703067064285,248
24576,nan,1.0,nan,1.0,0.0,-2.933802254498005,0.050416700541973114,233
32768,nan,1.0,nan,1.0,0.0,-4.231431933119893,0.027257055044174194,234
40960,0.0,0.9814814814814815,0.0,0.9074074074074074,120.0,-2.176297776401043,0.022247713059186935,234
49152,0.0,0.9830508474576272,0.037037037037037035,0.9152542372881356,116.09302325581395,-3.0991985499858856,0.016347412019968033,237
57344,0.0,0.987012987012987,0.027777777777777776,0.922077922077922,116.22123893805309,-2.4097564686089754,0.018809078261256218,236
65536,0.0,0.9879518072289156,0.025,0.927710843373494,117.4308943089431,-5.972678825259209,0.01618269644677639,233
73728,0.0,0.9787234042553191,0.022222222222222223,0.9148936170212766,118.71942446043165,-4.55923361517489,0.016446679830551147,232
81920,0.0,0.9803921568627451,0.016666666666666666,0.9019607843137255,137.43827160493828,-2.6599738020449877,0.04313485696911812,232
90112,0.0,0.9826086956521739,0.015873015873015872,0.9043478260869565,131.36516853932585,-1.9453468099236488,0.029514936730265617,234
98304,0.0,0.984251968503937,0.012195121951219513,0.9133858267716536,150.26,-3.5979410745203495,0.02961592748761177,232
106496,0.0,0.9851851851851852,0.012048192771084338,0.9185185185185185,151.93,-4.15698117762804,0.028449755162000656,231
114688,0.0,0.9867549668874173,0.011111111111111112,0.9271523178807947,163.305,-2.7987764589488506,0.02377929911017418,232
122880,0.0,0.9876543209876543,0.009900990099009901,0.9320987654320988,157.01,-4.195687331259251,0.021697556599974632,230
131072,0.0,0.9880952380952381,0.008695652173913044,0.9285714285714286,161.13,-5.060894716531038,0.02249078080058098,232
139264,0.0,0.9886363636363636,0.008403361344537815,0.9318181818181818,164.51,-3.1871656700968742,0.028721079230308533,230
147456,0.0,0.9893617021276596,0.007874015748031496,0.9361702127659575,163.78,-2.337335117161274,0.020455913618206978,230
155648,0.0,0.9898477157360406,0.007142857142857143,0.9390862944162437,173.76,-4.20275903493166,0.021283388137817383,231
163840,0.0,0.985,0.006711409395973154,0.935,162.275,-3.751443674787879,0.016707811504602432,231
172032,0.0,0.98,0.006369426751592357,0.93,170.715,-4.4357099160552025,0.023032888770103455,232
180224,0.0,0.975,0.00625,0.925,166.66,-2.676497494801879,0.030416954308748245,231
188416,0.0,0.975,0.005681818181818182,0.925,170.54,-2.9867972657084465,0.027717705816030502,230
196608,0.0,0.975,0.005555555555555556,0.935,174.98,-4.53974349424243,0.018571071326732635,230
204800,0.0,0.98,0.005235602094240838,0.945,173.915,-5.428921069949865,0.017519302666187286,230
212992,0.0,0.98,0.005076142131979695,0.95,174.26,-5.425658702850342,0.02084970846772194,231
221184,0.0,0.98,0.005,0.94,168.65,-4.417721848934889,0.023757899180054665,229
229376,0.0,0.98,0.005,0.935,187.755,-5.38182982057333,0.022184185683727264,231
237568,0.0,0.98,0.0,0.94,191.38,-4.70976098254323,0.018479671329259872,236
245760,0.0,0.985,0.0,0.955,191.49,-3.85280155017972,0.024658851325511932,238
253952,0.0,0.985,0.0,0.95,188.385,-3.40234730951488,0.03124532848596573,239
262144,0.0,0.985,0.0,0.945,190.11,-4.290365435183048,0.023782135918736458,238
270336,0.005,0.985,0.005,0.945,193.325,-4.985565796494484,0.01254618912935257,236
278528,0.005,0.985,0.005,0.945,193.83,-5.23094167560339,0.021825768053531647,236
286720,0.005,0.985,0.005,0.935,197.565,-2.760975830256939,0.031616855412721634,234
294912,0.005,0.985,0.005,0.925,197.62,-3.0726152937859297,0.02546033449470997,234
303104,0.005,0.985,0.005,0.92,202.585,-3.8072048760950565,0.018781807273626328,233
311296,0.005,0.985,0.005,0.92,195.825,-4.1755976267158985,0.01824095845222473,233
319488,0.005,0.985,0.005,0.91,191.72,-5.4931722693145275,0.019801653921604156,232
327680,0.005,0.985,0.005,0.875,187.265,-6.2895789965987206,0.029493238776922226,232
335872,0.01,0.985,0.01,0.86,190.9,-5.762244310230017,0.015107156708836555,231
344064,0.01,0.995,0.01,0.86,194.415,-4.5311074405908585,0.03778518736362457,231
352256,0.01,0.995,0.01,0.84,198.395,-5.102799233049154,0.016613364219665527,230
360448,0.01,0.995,0.01,0.83,195.905,-5.923678338527679,0.01812030002474785,230
368640,0.015,0.995,0.015,0.805,193.58,-4.544171471148729,0.02278679609298706,229
376832,0.015,0.995,0.015,0.81,194.07,-6.29463966190815,0.02214779332280159,229
385024,0.015,0.995,0.015,0.805,202.855,-5.425216298550367,0.0339665561914444,229
393216,0.015,0.995,0.015,0.785,205.565,-5.098163139075041,0.01816161349415779,229
401408,0.015,0.995,0.015,0.78,205.685,-5.8618607595562935,0.024012017995119095,229
409600,0.015,0.995,0.015,0.775,210.88,-6.866284225136042,0.015474757179617882,228
417792,0.015,0.995,0.015,0.75,217.655,-6.251217782497406,0.02984377183020115,228
425984,0.015,0.995,0.015,0.73,227.66,-6.245650220662355,0.03040168620646,228
434176,0.015,0.99,0.015,0.715,221.025,-4.739238776266575,0.023758910596370697,227
442368,0.015,0.985,0.015,0.695,227.19,-6.3368053287267685,0.010876903310418129,228
450560,0.02,0.98,0.02,0.67,219.57,-6.778351087123156,0.023012742400169373,227
458752,0.025,0.98,0.025,0.65,222.895,-7.9321181401610374,0.017714453861117363,227
466944,0.025,0.98,0.025,0.65,226.005,-7.198577426373959,0.021708937361836433,227
475136,0.035,0.97,0.035,0.63,240.98,-5.52820497751236,0.02143838256597519,226
483328,0.04,0.97,0.04,0.625,247.875,-4.836007885634899,0.010465981438755989,227
491520,0.05,0.97,0.05,0.625,247.185,-3.887697458267212,0.03148673102259636,226
499712,0.075,0.96,0.075,0.615,236.53,-4.750723645091057,0.013175947591662407,226
507904,0.075,0.96,0.075,0.605,234.67,-5.56331830099225,0.05050550028681755,226
516096,0.08,0.955,0.08,0.6,231.27,-5.26855256408453,0.020231053233146667,226
524288,0.08,0.955,0.08,0.6,235.45,-3.4560078140348196,0.030024277046322823,227
532480,0.1,0.945,0.095,0.605,218.18,-2.4128656294196844,0.040955089032649994,226
540672,0.11,0.93,0.105,0.595,217.205,-4.385258080437779,0.0200142040848732,225
548864,0.11,0.92,0.105,0.595,223.56,-5.025963135063648,0.023186422884464264,225
557056,0.105,0.925,0.1,0.61,214.76,-5.9939793683588505,0.015289567410945892,225
565248,0.115,0.92,0.105,0.605,203.135,-5.33659066259861,0.025032516568899155,226
573440,0.12,0.905,0.105,0.595,199.715,-5.7334017641842365,0.030063094571232796,227
581632,0.125,0.9,0.11,0.58,196.125,-5.298452857881784,0.020385483279824257,228
589824,0.125,0.895,0.11,0.58,191.905,-6.040189255028963,0.017006663605570793,229
598016,0.125,0.895,0.11,0.585,191.48,-4.7726733312010765,0.019162125885486603,229
606208,0.13,0.88,0.11,0.565,203.99,-5.1993917897343636,0.03381296992301941,229
614400,0.135,0.875,0.11,0.555,195.24,-4.174805443733931,0.024344712495803833,229
622592,0.135,0.875,0.11,0.56,192.47,-3.642182784155011,0.01501465030014515,229
630784,0.135,0.865,0.11,0.55,190.04,-4.782168352976441,0.02094164863228798,229
638976,0.13,0.85,0.105,0.55,197.045,-5.087985143065453,0.03154937922954559,229
647168,0.14,0.845,0.1,0.56,191.5,-5.604290373623371,0.021027445793151855,229
655360,0.15,0.835,0.11,0.55,189.41,-4.966860711574554,0.022335713729262352,229
663552,0.13,0.835,0.09,0.555,200.275,-4.83495881035924,0.01756373420357704,228
671744,0.14,0.83,0.1,0.565,189.885,-4.327455770224333,0.023061387240886688,228
679936,0.125,0.825,0.085,0.57,194.65,-4.6874945387244225,0.03357004001736641,229
688128,0.115,0.795,0.07,0.555,190.905,-4.199527068063617,0.027524325996637344,229
696320,0.125,0.79,0.08,0.565,191.39,-3.5456456430256367,0.028138207271695137,229
704512,0.125,0.785,0.08,0.555,188.785,-5.023677574470639,0.028078293427824974,228
712704,0.12,0.785,0.08,0.56,180.6,-4.526583302766085,0.029933001846075058,228
720896,0.11,0.755,0.07,0.535,181.785,-4.081595776602626,0.02528441697359085,228
729088,0.11,0.745,0.07,0.525,173.345,-4.714684903621674,0.02575630322098732,229
737280,0.11,0.745,0.07,0.525,182.095,-3.7534154932945967,0.013165938667953014,228
745472,0.115,0.735,0.075,0.51,185.825,-4.252257214859128,0.019342776387929916,228
753664,0.11,0.705,0.075,0.5,181.155,-4.31431145593524,0.015608839690685272,228
761856,0.135,0.71,0.09,0.51,175.19,-4.575346190482378,0.0341932438313961,228
770048,0.135,0.7,0.09,0.5,172.58,-5.692661851644516,0.03867272287607193,228
778240,0.14,0.69,0.09,0.5,176.765,-4.838970445096493,0.017493922263383865,228
786432,0.14,0.68,0.09,0.49,177.445,-4.107788924127817,0.0184171199798584,228
794624,0.145,0.665,0.09,0.47,183.085,-2.573859663680196,0.017665378749370575,228
802816,0.175,0.655,0.11,0.475,166.41,-2.5678748041391373,0.03404536843299866,228
811008,0.175,0.66,0.11,0.48,168.04,-3.748898256570101,0.033764228224754333,228
819200,0.185,0.65,0.115,0.475,157.11,-2.8797875065356493,0.032466888427734375,228
827392,0.185,0.63,0.115,0.465,157.42,-2.66940014064312,0.02591560408473015,228
835584,0.2,0.61,0.125,0.455,156.575,-1.8918981086462736,0.025435231626033783,228
843776,0.205,0.585,0.135,0.435,143.28,-1.4523649970069528,0.021822912618517876,228
851968,0.205,0.59,0.14,0.45,145.77,-2.534951413050294,0.02223481982946396,228
860160,0.22,0.575,0.15,0.445,135.635,-2.210173849016428,0.014628497883677483,227
868352,0.24,0.57,0.16,0.45,137.265,-3.442405203357339,0.0284810159355402,228
876544,0.25,0.55,0.16,0.43,142.95,-3.2463076189160347,0.041458308696746826,229
884736,0.275,0.53,0.18,0.415,126.115,-3.260173749178648,0.03582292050123215,230
892928,0.275,0.535,0.175,0.41,117.13,-4.450636381283402,0.02734367363154888,232
901120,0.28,0.54,0.175,0.405,116.47,-3.433077994734049,0.019763126969337463,233
909312,0.3,0.545,0.185,0.41,120.255,-3.006803784519434,0.02249792590737343,234
917504,0.295,0.52,0.175,0.39,127.77,-3.5566367711871862,0.03329009562730789,232
925696,0.295,0.51,0.175,0.385,129.595,-3.1606939639896154,0.027620527893304825,230
933888,0.31,0.5,0.185,0.375,128.655,-2.2561427988111973,0.036227792501449585,228
942080,0.315,0.515,0.18,0.4,126.465,-0.7849768092855811,0.020883239805698395,226
950272,0.325,0.5,0.185,0.39,123.17,-2.393199454061687,0.03355350345373154,224
958464,0.335,0.49,0.19,0.39,119.36,-2.1123815923929214,0.024080825969576836,222
966656,0.335,0.485,0.185,0.39,120.28,-2.6132837459445,0.027893152087926865,220
974848,0.325,0.48,0.185,0.38,119.805,-2.749072529375553,0.021353930234909058,218
983040,0.315,0.465,0.175,0.365,110.83,-2.825274992734194,0.020906465128064156,216
991232,0.315,0.47,0.175,0.36,111.395,-3.178238575346768,0.03230825811624527,215
999424,0.31,0.46,0.175,0.35,113.475,-4.015128968283534,0.016344476491212845,213
1007616,0.315,0.455,0.175,0.345,107.67,-3.7739989161491394,0.02971147745847702,211
1015808,0.335,0.45,0.175,0.33,106.3,-3.599816830828786,0.031320806592702866,210
1024000,0.33,0.44,0.165,0.32,106.685,-2.78078836761415,0.024186989292502403,208
1032192,0.33,0.43,0.17,0.305,103.255,-3.2652548598125577,0.023913387209177017,207
1040384,0.345,0.42,0.17,0.29,100.32,-2.8926726365461946,0.03230307251214981,205
1048576,0.35,0.43,0.17,0.285,95.555,-2.5674901138991117,0.024927280843257904,204
1056768,0.355,0.435,0.16,0.285,90.99,-2.5876845121383667,0.03945755958557129,203
1064960,0.35,0.455,0.145,0.3,90.695,-1.7202398730441928,0.018250927329063416,201
1073152,0.34,0.445,0.14,0.29,94.945,-2.080842260271311,0.028848184272646904,200
1081344,0.34,0.44,0.135,0.27,95.545,-1.5692516006529331,0.02582952380180359,199
1089536,0.335,0.44,0.13,0.275,91.63,-1.7410743022337556,0.03750069811940193,198
1097728,0.33,0.45,0.135,0.28,91.34,-1.576761913485825,0.028521662577986717,196
1105920,0.33,0.455,0.135,0.275,90.46,-1.4824901479296386,0.033498216420412064,195
1114112,0.31,0.46,0.125,0.275,87.075,-2.249278962612152,0.025139033794403076,194
1122304,0.315,0.46,0.125,0.275,86.43,-2.2977905962616205,0.03089202009141445,193
1130496,0.31,0.465,0.12,0.275,81.775,-2.794450430199504,0.025938384234905243,192
1138688,0.29,0.47,0.105,0.27,70.405,-2.358544701244682,0.02981547638773918,191
1146880,0.295,0.465,0.105,0.26,68.32,-1.2829442627262324,0.026515556499361992,190
1155072,0.305,0.47,0.115,0.26,72.51,-1.2553076995536685,0.016333235427737236,189
1163264,0.3,0.45,0.115,0.24,67.145,-0.8704980050679296,0.03478565067052841,188
1171456,0.29,0.475,0.105,0.26,64.755,-0.7929046663921326,0.02035689726471901,187
1179648,0.29,0.485,0.1,0.26,65.195,-2.068633835762739,0.026932477951049805,186
1187840,0.29,0.5,0.095,0.265,55.44,-1.8551547033712268,0.06712041050195694,185
1196032,0.29,0.495,0.09,0.265,57.575,-2.5532063208520412,0.036189768463373184,184
