global_step,obey_top,obey_bottom,success_top,success_bottom,wrong_steps,segment_return,approx_kl,sps
8192,nan,nan,nan,nan,nan,-5.263429448241368,0.025518406182527542,522
16384,nan,1.0,nan,1.0,0.0,-9.891147278249264,0.044248443096876144,537
24576,nan,1.0,nan,1.0,0.0,-14.163376800715923,0.031074002385139465,543
32768,nan,1.0,nan,1.0,0.0,-15.663935109972954,0.026303984224796295,537
40960,0.0,0.9791666666666666,0.0,0.8958333333333334,140.51351351351352,-11.483149066567421,0.030357301235198975,540
49152,0.0,0.9795918367346939,0.0,0.8979591836734694,138.64,-13.480718679726124,0.02197292074561119,543
57344,0.0,0.9836065573770492,0.0,0.9180327868852459,151.75247524752476,-9.927959725260735,0.01987290382385254,536
65536,0.0,0.9696969696969697,0.0,0.9090909090909091,154.64285714285714,-12.970470543950796,0.027570240199565887,537
73728,0.0,0.972972972972973,0.0,0.918918918918919,147.80645161290323,-12.083450336009264,0.02533772401511669,537
81920,0.0,0.9634146341463414,0.0,0.8902439024390244,169.88741721854305,-10.88225432485342,0.016245011240243912,538
90112,0.0,0.9642857142857143,0.013888888888888888,0.8928571428571429,171.00641025641025,-12.474542662501335,0.036790113896131516,541
98304,0.011363636363636364,0.9583333333333334,0.022727272727272728,0.875,170.41847826086956,-11.60514223203063,0.03902013599872589,538
106496,0.010752688172043012,0.9611650485436893,0.021505376344086023,0.883495145631068,167.5765306122449,-11.656413968652487,0.027870630845427513,539
114688,0.010101010101010102,0.9642857142857143,0.020202020202020204,0.8839285714285714,175.875,-13.38849526271224,0.028583897277712822,539
122880,0.008928571428571428,0.9666666666666667,0.017857142857142856,0.8916666666666667,200.8,-13.534262377768755,0.023921802639961243,538
131072,0.008403361344537815,0.9606299212598425,0.01680672268907563,0.8818897637795275,204.635,-16.29228140413761,0.0531851202249527,539
139264,0.007692307692307693,0.9545454545454546,0.015384615384615385,0.8712121212121212,203.52,-13.954894077032804,0.03330031782388687,540
147456,0.0072992700729927005,0.9558823529411765,0.014598540145985401,0.875,204.945,-14.18435836583376,0.025378957390785217,539
155648,0.006666666666666667,0.9523809523809523,0.013333333333333334,0.8639455782312925,210.815,-12.430286437273026,0.041898950934410095,540
163840,0.006369426751592357,0.9473684210526315,0.012738853503184714,0.8618421052631579,213.21,-12.6263845898211,0.020549356937408447,540
172032,0.011834319526627219,0.9503105590062112,0.01775147928994083,0.8633540372670807,225.71,-11.188663706183434,0.03070174530148506,539
180224,0.011627906976744186,0.9518072289156626,0.01744186046511628,0.8614457831325302,216.945,-10.298941984772682,0.023861806839704514,540
188416,0.010869565217391304,0.9542857142857143,0.016304347826086956,0.8514285714285714,219.535,-8.468877658247948,0.02198871597647667,539
196608,0.010526315789473684,0.9516129032258065,0.015789473684210527,0.8387096774193549,219.57,-7.646030966192484,0.030122045427560806,539
204800,0.010256410256410256,0.9489795918367347,0.015384615384615385,0.8367346938775511,217.48,-8.612113106995821,0.032260335981845856,539
212992,0.01,0.945,0.015,0.82,222.12,-9.684621162712574,0.021659143269062042,538
221184,0.01,0.94,0.015,0.8,212.775,-10.574639037251472,0.03424510732293129,538
229376,0.015,0.935,0.015,0.78,212.84,-10.079642705619335,0.027053557336330414,538
237568,0.015,0.925,0.015,0.745,207.135,-10.751986935734749,0.045553237199783325,536
245760,0.02,0.915,0.015,0.715,196.87,-9.998653769493103,0.025512883439660072,536
253952,0.02,0.915,0.02,0.715,192.325,-9.61473198235035,0.020210109651088715,537
262144,0.02,0.905,0.02,0.7,197.785,-7.299742016941309,0.056719377636909485,536
270336,0.02,0.895,0.02,0.68,189.24,-5.77981298789382,0.030216900631785393,541
278528,0.02,0.885,0.02,0.655,180.325,-5.559573013335466,0.05923176929354668,546
286720,0.025,0.865,0.02,0.62,165.85,-7.23981299623847,0.04356848821043968,553
294912,0.025,0.86,0.02,0.615,160.655,-8.849441476166248,0.027633339166641235,559
303104,0.03,0.845,0.015,0.595,155.49,-8.271833207458258,0.02453327737748623,565
311296,0.025,0.83,0.01,0.565,155.5,-6.872016441076994,0.03265060484409332,570
319488,0.025,0.825,0.015,0.55,160.41,-5.532303810119629,0.03531051427125931,574
327680,0.03,0.8,0.015,0.5,149.115,-5.806924622505903,0.049341585487127304,572
335872,0.035,0.79,0.015,0.495,148.935,-7.336080331355333,0.04825787991285324,570
344064,0.04,0.775,0.015,0.47,145.78,-5.254388615489006,0.026175621896982193,567
352256,0.045,0.725,0.02,0.425,131.02,-4.575989667326212,0.0493449792265892,565
360448,0.045,0.695,0.02,0.39,125.235,-3.3186609968543053,0.03369802236557007,563
368640,0.045,0.695,0.02,0.385,124.04,-1.9546952601522207,0.03028283640742302,561
376832,0.045,0.66,0.02,0.345,108.575,-2.2319766310974956,0.02719508670270443,560
385024,0.05,0.625,0.02,0.295,99.72,-1.6388104651123285,0.02979869768023491,558
393216,0.05,0.585,0.02,0.265,85.025,-2.1880738493055105,0.025919673964381218,557
