global_step,obey_top,obey_bottom,success_top,success_bottom,obey_top_can,obey_bottom_can,success_top_can,success_bottom_can,wrong_steps,segment_return,approx_kl,sps
8192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9517722453456372,0.051612719893455505,152
16384,0.0,0.9523809523809523,0.0,0.9523809523809523,0.0,0.9523809523809523,0.0,0.9523809523809523,0.0,5.264376730425283,0.022275365889072418,146
24576,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,5.000018660910428,0.03741386532783508,143
32768,0.0,0.984375,0.0,0.984375,0.0,0.984375,0.0,0.984375,0.0,5.31164257414639,0.030878931283950806,144
40960,0.0,0.9587628865979382,0.0,0.9381443298969072,0.0,0.9587628865979382,0.0,0.9381443298969072,0.0,6.0575091377831995,0.046575963497161865,144
49152,0.0,0.967741935483871,0.0,0.9354838709677419,0.0,0.967741935483871,0.0,0.9354838709677419,0.0,6.449173343367875,0.02284657396376133,144
57344,0.0,0.9733333333333334,0.0,0.9466666666666667,0.0,0.9733333333333334,0.0,0.9466666666666667,0.0,6.075932906009257,0.024917133152484894,144
65536,0.0,0.9777777777777777,0.0,0.95,0.0,0.9777777777777777,0.0,0.95,0.0,6.976557085290551,0.02533354051411152,144
73728,0.0,0.985,0.0,0.96,0.0,0.985,0.0,0.96,0.0,6.723260855302215,0.028206486254930496,143
81920,0.0,0.985,0.0,0.955,0.0,0.985,0.0,0.955,0.0,5.9910451620817184,0.02144414559006691,147
90112,0.0,0.985,0.0,0.955,0.0,0.985,0.0,0.955,0.0,6.684255048632622,0.03456784412264824,160
98304,0.0,0.985,0.0,0.955,0.0,0.985,0.0,0.955,0.0,5.034298236481845,0.026975559070706367,172
106496,0.0,1.0,0.0,0.985,0.0,1.0,0.0,0.985,0.0,6.003219821490347,0.03693796694278717,183
114688,0.0,1.0,0.0,0.97,0.0,1.0,0.0,0.97,0.0,6.044462960213423,0.02485218271613121,195
122880,0.0,1.0,0.0,0.97,0.0,1.0,0.0,0.97,0.0,6.57582054939121,0.02124650776386261,205
131072,0.0,1.0,0.0,0.97,0.0,1.0,0.0,0.97,0.0,5.877866338007152,0.03348879516124725,216
139264,0.0,1.0,0.0,0.97,0.0,1.0,0.0,0.97,0.0,6.010551231447607,0.030787143856287003,226
147456,0.0,1.0,0.0,0.965,0.0,1.0,0.0,0.965,0.0,6.54607792571187,0.019746489822864532,237
155648,0.0,1.0,0.0,0.955,0.0,1.0,0.0,0.955,0.0,5.661685672588646,0.022365514189004898,246
163840,0.0,1.0,0.0,0.95,0.0,1.0,0.0,0.95,0.0,6.889640077017248,0.027082528918981552,256
172032,0.0,1.0,0.0,0.95,0.0,1.0,0.0,0.95,0.0,5.970438836142421,0.020804185420274734,265
180224,0.0,1.0,0.0,0.965,0.0,1.0,0.0,0.965,0.0,7.163164404220879,0.019206460565328598,264
188416,0.0,1.0,0.0,0.965,0.0,1.0,0.0,0.965,0.0,6.741712702438235,0.029218381270766258,256
196608,0.0,1.0,0.0,0.965,0.0,1.0,0.0,0.965,0.0,6.708187762647867,0.01291595958173275,248
204800,0.0,1.0,0.0,0.965,0.0,1.0,0.0,0.965,0.0,6.479902323335409,0.017786704003810883,241
212992,0.0,1.0,0.0,0.97,0.0,1.0,0.0,0.97,0.0,5.735014715231955,0.012634528800845146,236
221184,0.0,1.0,0.0,0.975,0.0,1.0,0.0,0.975,0.0,6.908556801266968,0.026979034766554832,231
229376,0.0,1.0,0.0,0.98,0.0,1.0,0.0,0.98,0.0,5.795826249290258,0.025030694901943207,225
237568,0.0,1.0,0.0,0.965,0.0,1.0,0.0,0.965,0.0,6.24032076774165,0.02096933126449585,220
245760,0.0,0.995,0.0,0.945,0.0,0.995,0.0,0.945,0.0,6.257828372064978,0.02435620129108429,215
253952,0.0,0.995,0.0,0.95,0.0,0.995,0.0,0.95,0.0,6.127814464271069,0.021372953429818153,212
262144,0.0,0.995,0.0,0.95,0.0,0.995,0.0,0.95,0.0,7.738540074788034,0.01472235843539238,209
270336,0.0,0.995,0.0,0.945,0.0,0.995,0.0,0.945,0.0,6.046199810691178,0.023298116400837898,206
278528,0.0,0.995,0.0,0.95,0.0,0.995,0.0,0.95,0.0,7.8854656387120485,0.022976864129304886,202
286720,0.0,0.995,0.0,0.945,0.0,0.995,0.0,0.945,0.0,6.053030148148537,0.024766461923718452,200
294912,0.0,1.0,0.0,0.97,0.0,1.0,0.0,0.97,0.0,8.137087610550225,0.02429579570889473,197
303104,0.0,1.0,0.0,0.975,0.0,1.0,0.0,0.975,0.0,7.165147641673684,0.03938218206167221,195
311296,0.0,1.0,0.0,0.97,0.0,1.0,0.0,0.97,0.0,7.54371381085366,0.032881803810596466,192
319488,0.0,1.0,0.0,0.975,0.0,1.0,0.0,0.975,0.0,7.893681276589632,0.01879926770925522,188
327680,0.0,1.0,0.0,0.98,0.0,1.0,0.0,0.98,0.0,7.966719106771052,0.022315561771392822,186
