global_step,obey_top,obey_bottom,success_top,success_bottom,obey_top_can,obey_bottom_can,success_top_can,success_bottom_can,wrong_steps,segment_return,approx_kl,sps
8192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1089021440711804,0.027935691177845,154
16384,0.08695652173913043,0.8181818181818182,0.08695652173913043,0.8181818181818182,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,5.592416290193796,0.02873295359313488,156
24576,0.2619047619047619,0.868421052631579,0.2619047619047619,0.868421052631579,0.06060606060606061,0.7058823529411765,0.06060606060606061,0.7058823529411765,0.0,5.252093398710713,0.03752315044403076,155
32768,0.3684210526315789,0.9,0.3684210526315789,0.9,0.1,0.7619047619047619,0.1,0.7619047619047619,0.0,4.816175132757053,0.018440937623381615,156
40960,0.42857142857142855,0.9242424242424242,0.42857142857142855,0.8484848484848485,0.08333333333333333,0.8387096774193549,0.08333333333333333,0.7419354838709677,0.0,5.225484123453498,0.024756476283073425,157
49152,0.4574468085106383,0.9036144578313253,0.40425531914893614,0.8313253012048193,0.10526315789473684,0.8095238095238095,0.08771929824561403,0.7380952380952381,0.0,4.776246373075992,0.03095216676592827,157
57344,0.47706422018348627,0.91,0.43119266055045874,0.83,0.09523809523809523,0.8333333333333334,0.07936507936507936,0.7592592592592593,0.0,5.955816289409995,0.0263977088034153,155
65536,0.4806201550387597,0.9032258064516129,0.43410852713178294,0.8387096774193549,0.0945945945945946,0.8208955223880597,0.08108108108108109,0.7611940298507462,0.0,7.210250718519092,0.025774948298931122,152
73728,0.4966442953020134,0.8992805755395683,0.44966442953020136,0.841726618705036,0.10714285714285714,0.8205128205128205,0.08333333333333333,0.7692307692307693,0.0,6.371241437271237,0.026443088427186012,151
81920,0.519774011299435,0.8867924528301887,0.480225988700565,0.8301886792452831,0.10526315789473684,0.8021978021978022,0.08421052631578947,0.7582417582417582,0.0,7.840775368735194,0.021147798746824265,150
90112,0.5238095238095238,0.8971428571428571,0.48677248677248675,0.8457142857142858,0.10891089108910891,0.8144329896907216,0.0891089108910891,0.7731958762886598,0.0,6.617458375170827,0.015117700211703777,149
98304,0.565,0.8963730569948186,0.53,0.8497409326424871,0.102803738317757,0.8113207547169812,0.08411214953271028,0.7735849056603774,0.0,7.372635003179312,0.03455747663974762,152
106496,0.605,0.915,0.57,0.865,0.09821428571428571,0.8205128205128205,0.08035714285714286,0.7777777777777778,0.0,7.396871513687074,0.02464969828724861,163
114688,0.62,0.9,0.585,0.85,0.11570247933884298,0.8181818181818182,0.09917355371900827,0.7803030303030303,0.0,7.138748191297054,0.02122809737920761,173
122880,0.64,0.905,0.605,0.855,0.12698412698412698,0.8195488721804511,0.1111111111111111,0.7819548872180451,0.0,6.633014588616788,0.02398538403213024,183
131072,0.64,0.89,0.605,0.84,0.12686567164179105,0.8111888111888111,0.1044776119402985,0.7762237762237763,0.0,5.563787669874728,0.019633032381534576,193
139264,0.635,0.89,0.615,0.86,0.11888111888111888,0.803921568627451,0.0979020979020979,0.7712418300653595,0.0,6.65066666668281,0.028308909386396408,203
147456,0.64,0.885,0.625,0.865,0.12080536912751678,0.80625,0.10067114093959731,0.775,0.0,6.355565604753792,0.025591297075152397,212
155648,0.65,0.895,0.635,0.855,0.12101910828025478,0.8106508875739645,0.10191082802547771,0.7810650887573964,0.0,5.7995928707532585,0.024795424193143845,221
163840,0.655,0.89,0.645,0.84,0.12727272727272726,0.8057142857142857,0.10909090909090909,0.7771428571428571,0.0,5.260906887240708,0.03927958011627197,230
172032,0.645,0.905,0.635,0.845,0.12921348314606743,0.8131868131868132,0.11235955056179775,0.7857142857142857,0.0,5.801346769556403,0.020377177745103836,239
180224,0.635,0.92,0.625,0.855,0.12365591397849462,0.8210526315789474,0.10752688172043011,0.7947368421052632,0.0,6.172396811656654,0.014724571257829666,248
188416,0.62,0.91,0.6,0.84,0.12244897959183673,0.82,0.10204081632653061,0.79,0.0,6.19207036215812,0.01817544549703598,256
196608,0.6,0.915,0.58,0.84,0.125,0.835,0.105,0.805,0.0,5.852974904701114,0.029415184631943703,264
204800,0.575,0.92,0.555,0.845,0.13,0.835,0.11,0.805,0.0,7.108301166445017,0.02716737613081932,261
212992,0.55,0.925,0.53,0.83,0.12,0.835,0.1,0.805,0.0,5.891623913310468,0.026497147977352142,253
221184,0.525,0.95,0.505,0.86,0.115,0.85,0.09,0.83,0.0,7.2528334660455585,0.02388201653957367,246
229376,0.55,0.955,0.525,0.865,0.125,0.85,0.1,0.83,0.0,7.135943395085633,0.02519211545586586,241
237568,0.555,0.955,0.525,0.86,0.12,0.845,0.1,0.825,0.0,6.6199493845924735,0.04640796408057213,237
245760,0.55,0.96,0.52,0.88,0.12,0.855,0.1,0.835,0.0,9.742256896570325,0.019414126873016357,232
253952,0.545,0.965,0.515,0.9,0.115,0.86,0.095,0.84,0.0,6.283520003780723,0.023581862449645996,228
262144,0.545,0.965,0.515,0.91,0.11,0.87,0.095,0.85,0.0,6.212084592320025,0.029011955484747887,223
270336,0.545,0.965,0.52,0.91,0.105,0.88,0.09,0.86,0.0,5.804260112345219,0.01627034693956375,220
278528,0.555,0.975,0.53,0.905,0.105,0.885,0.085,0.855,0.0,7.29954441729933,0.022893967106938362,217
286720,0.565,0.97,0.535,0.895,0.105,0.87,0.085,0.84,0.0,5.756176782771945,0.029164617881178856,215
294912,0.565,0.97,0.535,0.89,0.09,0.885,0.07,0.85,0.0,6.460125921294093,0.021432239562273026,212
303104,0.565,0.97,0.54,0.905,0.085,0.895,0.07,0.865,0.0,7.491013205610216,0.021543841809034348,210
311296,0.52,0.965,0.505,0.895,0.08,0.895,0.065,0.865,0.0,4.679918090929277,0.019488826394081116,208
319488,0.49,0.965,0.48,0.885,0.075,0.905,0.06,0.87,0.0,4.121228086296469,0.022538483142852783,206
327680,0.48,0.96,0.47,0.88,0.07,0.92,0.055,0.885,0.0,1.9352638183627278,0.02806805819272995,204
335872,0.475,0.965,0.465,0.875,0.07,0.935,0.055,0.895,0.0,2.018202364211902,0.037910059094429016,203
344064,0.48,0.94,0.46,0.84,0.07,0.94,0.055,0.895,0.0,0.5723359865951352,0.025978047400712967,201
352256,0.495,0.905,0.45,0.805,0.07,0.94,0.055,0.895,0.0,1.2955288976663724,0.02153204381465912,200
360448,0.51,0.86,0.45,0.765,0.065,0.935,0.05,0.89,0.0,2.1137424546759576,0.018413063138723373,199
368640,0.495,0.83,0.43,0.735,0.075,0.945,0.06,0.9,0.0,1.7790509769693017,0.023245178163051605,197
376832,0.495,0.805,0.415,0.72,0.075,0.945,0.06,0.905,0.0,0.8577769224066287,0.018940120935440063,196
385024,0.5,0.79,0.4,0.71,0.075,0.945,0.06,0.905,0.0,0.4907985816244036,0.03163377195596695,195
393216,0.51,0.795,0.38,0.72,0.07,0.955,0.06,0.915,0.0,1.01382910751272,0.03101322613656521,194
401408,0.5,0.76,0.37,0.69,0.07,0.955,0.06,0.915,0.0,0.9756089237635024,0.03841610252857208,193
409600,0.505,0.735,0.335,0.675,0.07,0.955,0.06,0.915,0.0,0.1440817674738355,0.031614597886800766,192
417792,0.515,0.715,0.32,0.65,0.065,0.955,0.055,0.915,0.0,0.8754523870302364,0.018524302169680595,191
425984,0.515,0.685,0.31,0.62,0.065,0.955,0.055,0.915,0.0,0.6516223422368057,0.03150729089975357,190
434176,0.53,0.66,0.305,0.595,0.07,0.955,0.06,0.915,0.0,0.4872469113324769,0.02145223319530487,190
442368,0.52,0.635,0.275,0.56,0.07,0.955,0.06,0.92,0.0,-0.05571359465830028,0.01873360387980938,189
450560,0.53,0.61,0.275,0.535,0.07,0.95,0.06,0.905,0.0,0.7329824174521491,0.021267913281917572,189
458752,0.52,0.6,0.245,0.53,0.07,0.95,0.06,0.905,0.0,0.9477443877840415,0.02798285149037838,188
466944,0.535,0.58,0.235,0.51,0.06,0.955,0.055,0.91,0.0,1.1831763213849626,0.04951470345258713,188
475136,0.52,0.55,0.205,0.48,0.06,0.955,0.055,0.91,0.0,0.15814769454300404,0.019434195011854172,187
483328,0.545,0.525,0.2,0.455,0.06,0.95,0.055,0.89,0.0,1.2329313238733448,0.03415516018867493,186
491520,0.535,0.525,0.19,0.465,0.055,0.95,0.05,0.89,0.0,1.1610977276577614,0.022702820599079132,186
499712,0.525,0.545,0.195,0.48,0.055,0.95,0.05,0.885,0.0,1.8871995487133972,0.023217275738716125,185
507904,0.52,0.55,0.18,0.485,0.055,0.95,0.05,0.885,0.0,0.8811135973664932,0.04019875451922417,185
516096,0.515,0.555,0.165,0.49,0.05,0.95,0.045,0.885,0.0,1.3725203649955802,0.02780861034989357,184
524288,0.52,0.555,0.16,0.485,0.05,0.95,0.045,0.885,0.0,1.295131909660995,0.022649729624390602,184
532480,0.525,0.56,0.165,0.485,0.05,0.955,0.045,0.89,0.0,2.211185582447797,0.037044353783130646,183
540672,0.525,0.555,0.165,0.48,0.045,0.965,0.045,0.905,0.0,1.9751425459398888,0.03219059854745865,183
548864,0.495,0.59,0.165,0.515,0.05,0.965,0.05,0.91,0.0,2.815147882909514,0.03414161503314972,184
557056,0.495,0.6,0.17,0.52,0.05,0.96,0.05,0.9,0.0,1.9295768340234645,0.0128329461440444,186
565248,0.495,0.63,0.165,0.53,0.055,0.96,0.055,0.895,0.0,2.6751430088770576,0.036336470395326614,188
573440,0.505,0.65,0.175,0.55,0.05,0.96,0.05,0.895,0.0,2.1041960529400967,0.03038756549358368,190
581632,0.49,0.66,0.195,0.565,0.045,0.96,0.045,0.89,0.0,2.6667721195844933,0.04068663343787193,193
589824,0.51,0.66,0.2,0.57,0.045,0.96,0.045,0.89,0.0,1.2938879535649903,0.0283946730196476,195
598016,0.505,0.685,0.215,0.6,0.045,0.965,0.045,0.9,0.0,2.3478644721908495,0.029804471880197525,197
606208,0.49,0.67,0.21,0.58,0.04,0.97,0.04,0.9,0.0,1.0917480965144932,0.030380303040146828,199
614400,0.5,0.685,0.2,0.6,0.04,0.97,0.04,0.9,0.0,1.8915818150853738,0.027501285076141357,201
622592,0.525,0.685,0.215,0.605,0.035,0.97,0.035,0.895,0.0,2.4108370563481003,0.015948601067066193,203
630784,0.52,0.7,0.23,0.61,0.03,0.97,0.03,0.89,0.0,2.924093878827989,0.03672768175601959,206
638976,0.505,0.735,0.225,0.64,0.03,0.97,0.03,0.89,0.0,3.3871839162893593,0.037956491112709045,208
647168,0.495,0.755,0.22,0.655,0.035,0.97,0.03,0.885,0.0,2.688740883138962,0.02107059396803379,210
655360,0.505,0.76,0.22,0.66,0.03,0.97,0.025,0.89,0.0,2.756327577866614,0.022663669660687447,209
663552,0.495,0.795,0.22,0.7,0.03,0.975,0.025,0.89,0.0,3.4710728351492435,0.021599028259515762,207
671744,0.475,0.82,0.21,0.72,0.025,0.975,0.02,0.885,0.0,3.343868379481137,0.02110663801431656,206
679936,0.475,0.825,0.205,0.73,0.025,0.975,0.02,0.88,0.0,4.257740050670691,0.021503161638975143,204
688128,0.49,0.835,0.21,0.75,0.025,0.975,0.02,0.88,0.0,3.6372103788889945,0.02569900080561638,203
696320,0.51,0.815,0.205,0.74,0.03,0.975,0.025,0.875,0.0,3.4801005232147872,0.026030488312244415,202
704512,0.5,0.835,0.21,0.755,0.025,0.975,0.02,0.87,0.0,3.2810198850929737,0.017383167520165443,201
712704,0.495,0.84,0.195,0.76,0.025,0.98,0.02,0.88,0.0,3.1644523863215,0.012051270343363285,200
720896,0.5,0.85,0.185,0.775,0.025,0.98,0.02,0.88,0.0,1.7027209821389988,0.02376680076122284,199
729088,0.5,0.88,0.18,0.81,0.025,0.98,0.02,0.885,0.0,3.201487995625939,0.02274838276207447,198
737280,0.485,0.89,0.185,0.805,0.025,0.985,0.02,0.895,0.0,2.0253408096614294,0.025116581469774246,196
745472,0.49,0.885,0.185,0.795,0.025,0.99,0.02,0.89,0.0,1.388972881482914,0.033316876739263535,196
753664,0.485,0.885,0.185,0.78,0.025,0.99,0.02,0.875,0.0,1.9759547074208967,0.019319016486406326,195
761856,0.485,0.855,0.18,0.745,0.025,0.99,0.02,0.875,0.0,2.4905256831552833,0.021487275138497353,194
770048,0.49,0.855,0.195,0.75,0.025,0.99,0.02,0.875,0.0,3.9440652043558657,0.024110175669193268,193
778240,0.48,0.86,0.21,0.745,0.02,0.99,0.015,0.87,0.0,3.2597305880626664,0.02826511487364769,192
786432,0.48,0.86,0.21,0.745,0.02,0.99,0.015,0.87,0.0,2.534366579086054,0.013810159638524055,191
794624,0.5,0.85,0.225,0.74,0.015,0.99,0.01,0.87,0.0,3.491483674501069,0.01762988790869713,190
802816,0.505,0.845,0.23,0.735,0.015,0.99,0.01,0.87,0.0,1.9314582848455757,0.03689666837453842,189
811008,0.495,0.85,0.24,0.71,0.02,0.995,0.015,0.86,0.0,3.7062329361215234,0.015690339729189873,189
819200,0.49,0.855,0.235,0.715,0.02,1.0,0.015,0.87,0.0,3.3164223731146194,0.021439801901578903,188
827392,0.495,0.855,0.245,0.71,0.02,1.0,0.015,0.865,0.0,4.060445687035099,0.02696177363395691,187
835584,0.5,0.855,0.265,0.705,0.02,1.0,0.015,0.86,0.0,4.0273903496563435,0.02340770699083805,186
843776,0.5,0.88,0.275,0.715,0.02,1.0,0.015,0.855,0.0,3.128969520679675,0.014744955115020275,186
851968,0.52,0.88,0.3,0.715,0.02,1.0,0.015,0.85,0.0,4.085572055657394,0.018408142030239105,185
860160,0.49,0.885,0.285,0.735,0.015,1.0,0.01,0.855,0.0,3.1115818565012887,0.04151134938001633,184
868352,0.485,0.885,0.27,0.73,0.015,0.995,0.01,0.855,0.0,3.2697147902217694,0.026313163340091705,183
876544,0.475,0.89,0.26,0.745,0.01,0.995,0.01,0.855,0.0,2.5936380230705254,0.02200230583548546,183
884736,0.475,0.915,0.265,0.77,0.01,0.995,0.01,0.86,0.0,3.1901849933201447,0.023256979882717133,182
892928,0.475,0.92,0.26,0.76,0.01,0.995,0.01,0.855,0.0,2.10962122833007,0.026813920587301254,182
901120,0.48,0.905,0.25,0.75,0.01,0.995,0.01,0.86,0.0,2.1560979941568803,0.024608531966805458,181
909312,0.48,0.915,0.235,0.755,0.01,0.995,0.01,0.855,0.0,1.6450892296270467,0.016917787492275238,180
917504,0.47,0.93,0.22,0.76,0.005,0.995,0.005,0.855,0.0,2.601848545833491,0.019341371953487396,180
925696,0.46,0.94,0.21,0.76,0.005,0.995,0.005,0.855,0.0,2.95618930447381,0.016531269997358322,179
933888,0.465,0.935,0.22,0.755,0.005,0.995,0.005,0.855,0.0,2.5807565951836295,0.02011987194418907,179
942080,0.465,0.93,0.22,0.755,0.005,0.995,0.005,0.85,0.0,1.958560794882942,0.024515068158507347,178
950272,0.47,0.935,0.23,0.74,0.005,0.995,0.005,0.84,0.0,2.4722330687800422,0.027658801525831223,178
958464,0.46,0.935,0.235,0.72,0.005,0.995,0.005,0.84,0.0,3.5828958596102893,0.024057606235146523,177
966656,0.46,0.94,0.235,0.72,0.005,0.995,0.005,0.84,0.0,2.3230876007582992,0.022614028304815292,177
974848,0.485,0.935,0.235,0.705,0.005,0.995,0.005,0.84,0.0,2.300112764001824,0.025989750400185585,176
983040,0.505,0.935,0.235,0.705,0.005,0.995,0.005,0.845,0.0,2.4948354866355658,0.026419484987854958,176
991232,0.505,0.93,0.235,0.695,0.005,0.995,0.005,0.845,0.0,2.5318684121302795,0.017169160768389702,176
999424,0.5,0.935,0.24,0.685,0.005,0.995,0.005,0.835,0.0,2.1689819925813936,0.023407872766256332,175
1007616,0.505,0.94,0.23,0.69,0.005,0.995,0.005,0.84,0.0,2.763529685907997,0.015590986236929893,175
1015808,0.51,0.94,0.225,0.68,0.005,0.995,0.005,0.84,0.0,1.4693839614628814,0.027924567461013794,174
1024000,0.53,0.94,0.25,0.67,0.005,0.995,0.005,0.845,0.0,1.2443006860557944,0.0199890099465847,174
1032192,0.53,0.95,0.25,0.66,0.005,0.995,0.005,0.855,0.0,1.9744567839661613,0.01778654009103775,174
1040384,0.53,0.95,0.25,0.66,0.005,0.99,0.005,0.855,0.0,2.4927011250983924,0.030973797664046288,173
1048576,0.535,0.95,0.23,0.65,0.0,0.99,0.0,0.86,0.0,2.8921758107608184,0.021454311907291412,173
1056768,0.52,0.96,0.21,0.675,0.0,0.99,0.0,0.865,0.0,2.4873543068533763,0.02343696728348732,172
1064960,0.505,0.96,0.195,0.68,0.0,0.985,0.0,0.87,0.0,2.6766064753755927,0.015799058601260185,172
1073152,0.51,0.965,0.2,0.68,0.0,0.985,0.0,0.86,0.0,1.4049895222997293,0.029688507318496704,172
1081344,0.495,0.965,0.175,0.675,0.0,0.985,0.0,0.845,0.0,1.7281294343993068,0.02800653502345085,171
1089536,0.505,0.965,0.18,0.665,0.0,0.985,0.0,0.84,0.0,0.8216544686583802,0.014513803645968437,171
1097728,0.495,0.965,0.18,0.66,0.0,0.985,0.0,0.845,0.0,1.6853516336996108,0.019418498501181602,171
1105920,0.495,0.97,0.18,0.675,0.0,0.985,0.0,0.85,0.0,2.315050771809183,0.0286494642496109,170
1114112,0.495,0.97,0.175,0.66,0.0,0.985,0.0,0.85,0.0,1.5678426417289302,0.024271942675113678,170
1122304,0.485,0.985,0.165,0.65,0.0,0.985,0.0,0.85,0.0,1.8701201876974665,0.02425364777445793,170
1130496,0.465,0.985,0.16,0.655,0.0,0.99,0.0,0.85,0.0,1.347708733577747,0.022409027442336082,170
1138688,0.455,0.985,0.15,0.64,0.0,0.99,0.0,0.855,0.0,2.154223641497083,0.02398143894970417,171
1146880,0.445,0.985,0.15,0.635,0.0,0.99,0.0,0.855,0.0,1.4771422379417345,0.01635616458952427,172
1155072,0.42,0.99,0.145,0.665,0.0,0.99,0.0,0.86,0.0,2.2463968365918845,0.013485394418239594,173
1163264,0.415,0.995,0.145,0.655,0.0,0.99,0.0,0.855,0.0,2.1493965705740266,0.032927077263593674,174
1171456,0.405,0.995,0.145,0.67,0.0,0.99,0.0,0.86,0.0,3.3895590861793607,0.01821243204176426,175
