global_step,obey_top,obey_bottom,success_top,success_bottom,obey_top_can,obey_bottom_can,success_top_can,success_bottom_can,wrong_steps,segment_return,approx_kl,sps
8192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.195354293566197,0.07789327949285507,993
16384,0.7619047619047619,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.0,0.7777777777777778,0.0,0.7777777777777778,0.0,9.545644313097,0.051886968314647675,971
24576,0.7714285714285715,0.8947368421052632,0.7714285714285715,0.8947368421052632,0.5,0.8181818181818182,0.5,0.8181818181818182,0.0,5.749038050882518,0.04003813862800598,999
32768,0.7719298245614035,0.9019607843137255,0.7719298245614035,0.9019607843137255,0.5185185185185185,0.8214285714285714,0.5185185185185185,0.8214285714285714,0.0,6.40070819016546,0.03244100511074066,1007
40960,0.7763157894736842,0.8970588235294118,0.7368421052631579,0.8088235294117647,0.5,0.8108108108108109,0.4411764705882353,0.7297297297297297,0.0,4.993125416804105,0.03325357288122177,1013
49152,0.7333333333333333,0.9047619047619048,0.6888888888888889,0.8214285714285714,0.4666666666666667,0.8260869565217391,0.4,0.7391304347826086,0.0,5.484073668718338,0.034133657813072205,1009
57344,0.7719298245614035,0.9038461538461539,0.7105263157894737,0.7884615384615384,0.543859649122807,0.8275862068965517,0.43859649122807015,0.7241379310344828,0.0,7.965893438085914,0.03008582815527916,990
65536,0.7559055118110236,0.9140625,0.6929133858267716,0.796875,0.515625,0.8405797101449275,0.421875,0.7246376811594203,0.0,7.46471725217998,0.03596056252717972,981
73728,0.7762237762237763,0.9166666666666666,0.7132867132867133,0.7986111111111112,0.5555555555555556,0.8481012658227848,0.4583333333333333,0.7341772151898734,0.0,7.585503855720162,0.026414234191179276,978
81920,0.779874213836478,0.9240506329113924,0.7232704402515723,0.8164556962025317,0.5625,0.8604651162790697,0.475,0.7558139534883721,0.0,6.973491825163364,0.04281710088253021,982
90112,0.7790055248618785,0.9340659340659341,0.7182320441988951,0.8296703296703297,0.5652173913043478,0.8762886597938144,0.4673913043478261,0.7835051546391752,0.0,8.745346926152706,0.037334542721509933,978
98304,0.765,0.9346733668341709,0.705,0.8291457286432161,0.5392156862745098,0.875,0.45098039215686275,0.7692307692307693,0.0,7.125345059670508,0.016450978815555573,981
106496,0.77,0.945,0.7,0.835,0.5412844036697247,0.8771929824561403,0.44036697247706424,0.7807017543859649,0.0,8.11114445142448,0.04013092815876007,983
114688,0.77,0.95,0.69,0.835,0.5304347826086957,0.890625,0.43478260869565216,0.796875,0.0,8.904203068464994,0.03389208763837814,984
122880,0.78,0.96,0.7,0.84,0.5378151260504201,0.8897058823529411,0.44537815126050423,0.8014705882352942,0.0,7.440287347882986,0.021730389446020126,987
131072,0.795,0.96,0.725,0.865,0.5275590551181102,0.8951048951048951,0.4251968503937008,0.8111888111888111,0.0,10.246494634076953,0.042774174362421036,986
139264,0.79,0.965,0.72,0.885,0.5111111111111111,0.9006622516556292,0.4074074074074074,0.8145695364238411,0.0,7.1097291093319654,0.03645217418670654,985
147456,0.805,0.965,0.735,0.905,0.5302013422818792,0.8963414634146342,0.4228187919463087,0.8170731707317073,0.0,9.322688052430749,0.03453508019447327,984
155648,0.795,0.965,0.73,0.905,0.525974025974026,0.8941176470588236,0.42207792207792205,0.8117647058823529,0.0,7.682950159534812,0.032687958329916,986
163840,0.8,0.965,0.73,0.905,0.5421686746987951,0.8971428571428571,0.4397590361445783,0.8171428571428572,0.0,7.968296168372035,0.01724148355424404,988
172032,0.81,0.965,0.745,0.905,0.5491329479768786,0.8983957219251337,0.4508670520231214,0.8235294117647058,0.0,8.282087018713355,0.027489015832543373,990
180224,0.835,0.965,0.765,0.91,0.5519125683060109,0.9025641025641026,0.453551912568306,0.8256410256410256,0.0,8.643885650672019,0.029475465416908264,988
188416,0.835,0.945,0.775,0.895,0.5585106382978723,0.895,0.4627659574468085,0.82,0.0,6.174560215324163,0.030595902353525162,989
196608,0.83,0.945,0.775,0.89,0.5532994923857868,0.895,0.4619289340101523,0.82,0.0,7.180573124438524,0.03784230351448059,991
204800,0.82,0.945,0.76,0.88,0.565,0.895,0.47,0.815,0.0,6.750863957218826,0.027890479192137718,992
212992,0.815,0.935,0.76,0.87,0.565,0.895,0.465,0.815,0.0,6.1083436496555805,0.048437029123306274,994
221184,0.835,0.935,0.745,0.875,0.595,0.895,0.46,0.825,0.0,7.311665906570852,0.055493175983428955,994
229376,0.83,0.92,0.74,0.86,0.585,0.885,0.45,0.83,0.0,7.154797813855112,0.02393924444913864,992
237568,0.84,0.925,0.745,0.845,0.595,0.89,0.46,0.825,0.0,5.436471995897591,0.02883436158299446,992
245760,0.85,0.92,0.75,0.835,0.6,0.885,0.465,0.825,0.0,7.017651041038334,0.031131241470575333,992
253952,0.86,0.915,0.75,0.825,0.61,0.88,0.47,0.825,0.0,6.157453873194754,0.04200384020805359,994
262144,0.86,0.92,0.75,0.82,0.62,0.885,0.49,0.82,0.0,6.9673340655863285,0.032313041388988495,994
270336,0.87,0.92,0.75,0.815,0.63,0.875,0.495,0.81,0.0,7.941160311922431,0.0384356826543808,993
278528,0.88,0.93,0.745,0.835,0.65,0.875,0.505,0.82,0.0,7.246731581166387,0.047246456146240234,993
286720,0.895,0.93,0.755,0.84,0.65,0.875,0.5,0.82,0.0,7.7056753151118755,0.04592704027891159,994
294912,0.9,0.93,0.75,0.84,0.66,0.875,0.505,0.82,0.0,7.656543683260679,0.04106656461954117,994
303104,0.905,0.935,0.75,0.855,0.665,0.87,0.52,0.815,0.0,7.00583519693464,0.03143738955259323,995
311296,0.915,0.935,0.765,0.845,0.68,0.87,0.535,0.815,0.0,6.9392306404188275,0.039495885372161865,995
319488,0.925,0.94,0.775,0.84,0.695,0.86,0.545,0.805,0.0,5.936340583022684,0.022112272679805756,994
327680,0.92,0.94,0.785,0.855,0.7,0.86,0.55,0.795,0.0,7.167264769785106,0.04766424745321274,995
335872,0.93,0.93,0.79,0.84,0.725,0.855,0.565,0.79,0.0,6.834812793880701,0.02844039909541607,996
344064,0.94,0.935,0.795,0.855,0.72,0.855,0.555,0.79,0.0,6.503336699679494,0.034539759159088135,996
352256,0.94,0.935,0.805,0.855,0.74,0.86,0.57,0.795,0.0,6.369524052366614,0.03534390404820442,997
360448,0.94,0.93,0.805,0.855,0.755,0.87,0.58,0.805,0.0,6.2585329711437225,0.03959307447075844,997
368640,0.945,0.945,0.795,0.865,0.775,0.875,0.585,0.805,0.0,6.651626191101968,0.025063272565603256,997
376832,0.945,0.94,0.77,0.85,0.79,0.875,0.58,0.795,0.0,5.625964482314885,0.03462290018796921,998
385024,0.945,0.945,0.78,0.845,0.8,0.885,0.585,0.805,0.0,7.570145800709724,0.053617075085639954,999
393216,0.945,0.945,0.79,0.845,0.8,0.89,0.58,0.81,0.0,7.564500026404858,0.023635361343622208,999
401408,0.95,0.945,0.79,0.855,0.815,0.885,0.595,0.805,0.0,7.532833535224199,0.044064030051231384,999
409600,0.94,0.955,0.765,0.86,0.815,0.9,0.575,0.82,0.0,6.95467574428767,0.023953747004270554,999
417792,0.95,0.96,0.765,0.875,0.82,0.905,0.575,0.835,0.0,8.24459265731275,0.019863158464431763,1000
425984,0.945,0.97,0.77,0.9,0.82,0.9,0.575,0.83,0.0,7.293697949498892,0.023278921842575073,1000
434176,0.945,0.97,0.76,0.905,0.825,0.905,0.575,0.84,0.0,5.676021557301283,0.03135790675878525,1001
442368,0.945,0.965,0.755,0.905,0.84,0.9,0.58,0.835,0.0,5.999477555975318,0.04824703931808472,1002
450560,0.945,0.955,0.75,0.9,0.84,0.89,0.585,0.83,0.0,5.0797469560056925,0.04309660196304321,1001
458752,0.94,0.95,0.735,0.89,0.845,0.895,0.575,0.83,0.0,6.288174321874976,0.0438239611685276,1001
466944,0.925,0.94,0.7,0.875,0.835,0.885,0.575,0.81,0.0,5.764915225096047,0.02633216790854931,1002
475136,0.92,0.935,0.72,0.875,0.84,0.88,0.58,0.8,0.0,6.176305890083313,0.05173986405134201,1002
483328,0.91,0.93,0.71,0.875,0.845,0.875,0.58,0.79,0.0,4.4615720440633595,0.029716258868575096,1003
491520,0.915,0.925,0.695,0.865,0.85,0.875,0.57,0.785,0.0,5.978012352250516,0.03207649290561676,1002
499712,0.915,0.93,0.69,0.865,0.855,0.88,0.565,0.79,0.0,5.806038081180304,0.03324016183614731,1003
507904,0.905,0.93,0.665,0.86,0.85,0.88,0.545,0.785,0.0,4.119717348832637,0.041601866483688354,1003
516096,0.91,0.925,0.66,0.855,0.845,0.88,0.545,0.785,0.0,5.727632359601557,0.03654896467924118,1004
524288,0.92,0.92,0.67,0.85,0.85,0.88,0.54,0.79,0.0,5.5338047640398145,0.021043453365564346,1004
532480,0.92,0.925,0.655,0.845,0.85,0.885,0.52,0.805,0.0,6.037777855992317,0.04282647743821144,1004
540672,0.91,0.93,0.645,0.84,0.85,0.895,0.52,0.81,0.0,6.580324649810791,0.026224184781312943,1004
548864,0.91,0.935,0.65,0.825,0.85,0.895,0.515,0.8,0.0,6.488980528898537,0.04426925256848335,1003
557056,0.885,0.94,0.62,0.835,0.82,0.89,0.495,0.8,0.0,7.240438165143132,0.032860755920410156,1003
565248,0.885,0.955,0.635,0.86,0.82,0.895,0.49,0.8,0.0,8.006097804754972,0.04538831114768982,1003
573440,0.89,0.965,0.625,0.875,0.815,0.895,0.475,0.805,0.0,7.329760884866118,0.033435605466365814,1004
581632,0.88,0.975,0.635,0.895,0.805,0.895,0.47,0.81,0.0,7.382436436600983,0.039217472076416016,1003
589824,0.885,0.975,0.65,0.9,0.805,0.9,0.485,0.82,0.0,7.066368841566145,0.020303800702095032,1003
598016,0.89,0.975,0.655,0.9,0.8,0.9,0.495,0.825,0.0,7.173179514706135,0.028381871059536934,1003
606208,0.88,0.975,0.67,0.905,0.795,0.895,0.505,0.82,0.0,7.4384006801992655,0.047743771225214005,1002
614400,0.885,0.96,0.68,0.89,0.79,0.88,0.49,0.805,0.0,6.234419354237616,0.029728809371590614,1002
622592,0.88,0.955,0.67,0.895,0.8,0.875,0.5,0.8,0.0,7.314792935736477,0.04030023515224457,1002
630784,0.87,0.94,0.68,0.89,0.8,0.865,0.5,0.79,0.0,7.181022339500487,0.03313815966248512,1002
638976,0.875,0.94,0.71,0.885,0.795,0.865,0.505,0.78,0.0,7.061194954439998,0.03094852715730667,1002
647168,0.89,0.945,0.71,0.9,0.805,0.865,0.505,0.785,0.0,6.870521020144224,0.039636239409446716,1002
655360,0.895,0.945,0.725,0.9,0.805,0.875,0.51,0.795,0.0,7.644231477752328,0.02705233544111252,1002
663552,0.905,0.945,0.74,0.9,0.805,0.88,0.52,0.8,0.0,7.193987384438515,0.027721654623746872,1002
671744,0.915,0.935,0.75,0.89,0.815,0.875,0.545,0.795,0.0,7.606090923771262,0.049797963351011276,1001
679936,0.915,0.935,0.73,0.885,0.81,0.88,0.54,0.795,0.0,6.931127246469259,0.03394892439246178,1001
688128,0.91,0.93,0.74,0.88,0.805,0.885,0.55,0.81,0.0,7.771925441920757,0.036503568291664124,1002
696320,0.92,0.925,0.735,0.885,0.81,0.89,0.54,0.82,0.0,7.328055293299258,0.023683547973632812,1002
704512,0.925,0.92,0.74,0.885,0.815,0.885,0.555,0.82,0.0,7.170760978013277,0.03042542189359665,1002
712704,0.93,0.93,0.76,0.89,0.815,0.89,0.565,0.825,0.0,7.698761275038123,0.032149139791727066,1002
720896,0.935,0.94,0.765,0.9,0.82,0.885,0.58,0.825,0.0,7.183392032980919,0.04473131150007248,1001
729088,0.935,0.955,0.75,0.915,0.825,0.89,0.58,0.83,0.0,8.042866008356214,0.023259297013282776,1001
737280,0.935,0.95,0.74,0.925,0.85,0.885,0.605,0.825,0.0,8.327063981443644,0.033148881047964096,1001
745472,0.93,0.955,0.755,0.93,0.845,0.89,0.6,0.835,0.0,8.27235504053533,0.03269602358341217,1001
753664,0.945,0.95,0.765,0.925,0.855,0.885,0.61,0.835,0.0,7.144793866202235,0.028225108981132507,1001
761856,0.945,0.945,0.765,0.92,0.86,0.875,0.63,0.835,0.0,6.937602800317109,0.031394489109516144,1001
770048,0.945,0.94,0.77,0.91,0.865,0.875,0.63,0.835,0.0,6.261007464490831,0.037299998104572296,1001
778240,0.94,0.935,0.765,0.905,0.865,0.87,0.625,0.83,0.0,6.910230052657425,0.051038678735494614,1001
786432,0.94,0.94,0.76,0.905,0.865,0.865,0.605,0.83,0.0,6.36404771078378,0.022339433431625366,1001
794624,0.945,0.945,0.76,0.89,0.865,0.86,0.6,0.82,0.0,6.984659246169031,0.03036169707775116,1001
802816,0.935,0.94,0.755,0.885,0.865,0.855,0.605,0.815,0.0,6.25956454500556,0.040006380528211594,1001
811008,0.93,0.945,0.745,0.895,0.87,0.855,0.61,0.815,0.0,6.543106144759804,0.03428623825311661,1001
819200,0.93,0.945,0.74,0.89,0.88,0.86,0.61,0.825,0.0,5.030305339489132,0.03629198670387268,1002
827392,0.935,0.955,0.74,0.885,0.885,0.865,0.61,0.825,0.0,5.190387034788728,0.031951501965522766,1002
835584,0.94,0.945,0.74,0.87,0.89,0.86,0.615,0.82,0.0,6.521619874984026,0.04708351939916611,1002
843776,0.955,0.935,0.74,0.855,0.905,0.86,0.625,0.815,0.0,6.2996372152119875,0.022277649492025375,1002
851968,0.96,0.93,0.75,0.84,0.915,0.87,0.635,0.82,0.0,7.556344535201788,0.038340240716934204,1002
860160,0.97,0.935,0.76,0.84,0.915,0.87,0.635,0.83,0.0,10.156649449840188,0.03389589488506317,1002
868352,0.965,0.935,0.765,0.835,0.91,0.865,0.63,0.82,0.0,6.757171355187893,0.029574234038591385,1003
876544,0.97,0.94,0.775,0.85,0.91,0.865,0.645,0.82,0.0,9.370384931564331,0.028363093733787537,1002
884736,0.975,0.94,0.8,0.845,0.91,0.865,0.65,0.825,0.0,7.685533130541444,0.045019038021564484,1003
892928,0.975,0.945,0.805,0.85,0.92,0.875,0.675,0.835,0.0,8.622268907725811,0.014842723496258259,1002
901120,0.99,0.94,0.835,0.865,0.92,0.87,0.66,0.83,0.0,8.492492018267512,0.027941536158323288,1002
909312,0.985,0.935,0.845,0.86,0.915,0.875,0.665,0.83,0.0,8.35271904245019,0.029144760221242905,1002
917504,0.985,0.925,0.855,0.85,0.915,0.87,0.665,0.835,0.0,7.271148523315787,0.03810310363769531,1003
925696,0.98,0.92,0.86,0.84,0.915,0.87,0.675,0.835,0.0,7.908638762310147,0.03419559448957443,1003
933888,0.975,0.93,0.87,0.875,0.915,0.875,0.68,0.84,0.0,8.517138505354524,0.021878285333514214,1003
942080,0.97,0.94,0.875,0.885,0.915,0.87,0.675,0.83,0.0,6.965236470103264,0.030426999554038048,1003
950272,0.96,0.945,0.87,0.89,0.92,0.89,0.685,0.84,0.0,8.925257109105587,0.023982372134923935,1003
958464,0.96,0.95,0.855,0.905,0.92,0.885,0.685,0.835,0.0,8.701682047918439,0.021191701292991638,1003
966656,0.96,0.955,0.855,0.905,0.925,0.895,0.695,0.845,0.0,9.501789592206478,0.021213345229625702,1003
974848,0.965,0.95,0.86,0.905,0.925,0.89,0.69,0.84,0.0,8.911916200071573,0.03191565349698067,1002
983040,0.96,0.96,0.86,0.92,0.92,0.905,0.69,0.86,0.0,9.377174807712436,0.030571183189749718,1002
991232,0.96,0.955,0.84,0.91,0.93,0.89,0.7,0.84,0.0,7.253723340108991,0.027684014290571213,1002
999424,0.955,0.96,0.84,0.92,0.93,0.885,0.72,0.835,0.0,8.505289990454912,0.01843530684709549,1002
1007616,0.955,0.965,0.835,0.93,0.93,0.895,0.725,0.845,0.0,6.628288200125098,0.03452185541391373,1003
1015808,0.955,0.965,0.835,0.925,0.94,0.895,0.735,0.845,0.0,6.9779633320868015,0.047584086656570435,1003
1024000,0.955,0.945,0.825,0.905,0.935,0.89,0.74,0.85,0.0,7.163780962117016,0.024104690179228783,1003
1032192,0.96,0.945,0.81,0.9,0.935,0.89,0.725,0.84,0.0,5.532119165174663,0.03489081561565399,1003
1040384,0.96,0.935,0.815,0.88,0.93,0.89,0.735,0.835,0.0,8.075972540304065,0.022134240716695786,1003
1048576,0.97,0.93,0.82,0.885,0.93,0.885,0.73,0.835,0.0,7.5331097692251205,0.04423986375331879,1003
1056768,0.975,0.93,0.835,0.88,0.93,0.885,0.745,0.835,0.0,9.178958075121045,0.01664051041007042,1003
1064960,0.975,0.92,0.845,0.865,0.93,0.875,0.75,0.825,0.0,7.487852316349745,0.031559430062770844,1003
1073152,0.98,0.925,0.845,0.87,0.93,0.885,0.75,0.835,0.0,7.9571223724633455,0.03881461173295975,1003
1081344,0.98,0.92,0.83,0.85,0.935,0.89,0.745,0.83,0.0,6.718413819093257,0.03537644445896149,1003
