global_step,obey_top,obey_bottom,success_top,success_bottom,obey_top_can,obey_bottom_can,success_top_can,success_bottom_can,wrong_steps,segment_return,approx_kl,sps
8192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.781775426119566,0.03649737685918808,1014
16384,0.6774193548387096,0.6578947368421053,0.6774193548387096,0.6578947368421053,0.16666666666666666,0.43478260869565216,0.16666666666666666,0.43478260869565216,0.0,10.602838474325836,0.041857264935970306,967
24576,0.6666666666666666,0.7407407407407407,0.6666666666666666,0.7407407407407407,0.2,0.5333333333333333,0.2,0.5333333333333333,0.0,5.065031784586608,0.037895575165748596,967
32768,0.68,0.7631578947368421,0.68,0.7631578947368421,0.23809523809523808,0.5909090909090909,0.23809523809523808,0.5909090909090909,0.0,6.160234434530139,0.07333188503980637,929
40960,0.6507936507936508,0.7941176470588235,0.6349206349206349,0.7450980392156863,0.21428571428571427,0.625,0.17857142857142858,0.5714285714285714,0.0,6.1552246324718,0.025950821116566658,933
49152,0.6190476190476191,0.7851239669421488,0.5952380952380952,0.7355371900826446,0.2727272727272727,0.6060606060606061,0.22727272727272727,0.5454545454545454,0.0,5.9940797802992165,0.03582886606454849,904
57344,0.6530612244897959,0.8041958041958042,0.6122448979591837,0.7482517482517482,0.30612244897959184,0.6,0.22448979591836735,0.5428571428571428,0.0,7.221410086378455,0.03852974623441696,916
65536,0.675,0.8048780487804879,0.6166666666666667,0.7560975609756098,0.35,0.5949367088607594,0.23333333333333334,0.5443037974683544,0.0,7.276882738806307,0.057677578181028366,927
73728,0.6870229007633588,0.8032786885245902,0.6259541984732825,0.7595628415300546,0.359375,0.5909090909090909,0.25,0.5454545454545454,0.0,5.8939653392881155,0.02369435876607895,936
81920,0.7133333333333334,0.805,0.6466666666666666,0.76,0.410958904109589,0.5833333333333334,0.2876712328767123,0.5416666666666666,0.0,6.344494772609323,0.04303845018148422,940
90112,0.691358024691358,0.83,0.6234567901234568,0.785,0.375,0.5686274509803921,0.2625,0.5294117647058824,0.0,4.7530814576894045,0.03219916671514511,931
98304,0.6944444444444444,0.82,0.6166666666666667,0.77,0.40860215053763443,0.5700934579439252,0.27956989247311825,0.5327102803738317,0.0,4.525246331002563,0.027237582951784134,939
106496,0.6868686868686869,0.82,0.601010101010101,0.765,0.4095238095238095,0.5726495726495726,0.26666666666666666,0.5384615384615384,0.0,5.872312813997269,0.029017120599746704,944
114688,0.72,0.815,0.61,0.75,0.41284403669724773,0.5677966101694916,0.26605504587155965,0.5338983050847458,0.0,6.00903366971761,0.02696331962943077,950
122880,0.72,0.815,0.59,0.75,0.43333333333333335,0.56,0.26666666666666666,0.528,0.0,4.434509530197829,0.02973860502243042,955
131072,0.73,0.81,0.58,0.765,0.44,0.5538461538461539,0.264,0.5230769230769231,0.0,5.080177516210824,0.02839753031730652,946
139264,0.745,0.805,0.59,0.765,0.4351145038167939,0.5514705882352942,0.2595419847328244,0.5220588235294118,0.0,4.307070993119851,0.03880976140499115,947
147456,0.78,0.795,0.61,0.73,0.44525547445255476,0.5466666666666666,0.26277372262773724,0.4866666666666667,0.0,4.59624208509922,0.03826205059885979,950
155648,0.78,0.77,0.605,0.71,0.46206896551724136,0.5432098765432098,0.2689655172413793,0.4876543209876543,0.0,5.391489832662046,0.05183760076761246,951
163840,0.795,0.755,0.605,0.695,0.477124183006536,0.5287356321839081,0.28104575163398693,0.47701149425287354,0.0,6.232218041550368,0.07892674952745438,953
172032,0.78,0.745,0.585,0.685,0.48502994011976047,0.5224719101123596,0.2934131736526946,0.47191011235955055,0.0,4.6760434210300446,0.051806144416332245,949
180224,0.785,0.74,0.59,0.675,0.49122807017543857,0.5187165775401069,0.30409356725146197,0.46524064171123,0.0,4.658844882273115,0.03394429013133049,947
188416,0.805,0.745,0.605,0.685,0.5028248587570622,0.5185185185185185,0.3163841807909605,0.4656084656084656,0.0,3.9844669308513403,0.040269020944833755,952
196608,0.81,0.755,0.615,0.685,0.5,0.5233160621761658,0.31666666666666665,0.47150259067357514,0.0,3.8607205962762237,0.02789277955889702,955
204800,0.825,0.755,0.625,0.67,0.4973544973544973,0.5226130653266332,0.30687830687830686,0.4623115577889447,0.0,4.441557093523443,0.04169279336929321,958
212992,0.83,0.755,0.625,0.66,0.4948453608247423,0.56,0.30412371134020616,0.49,0.0,5.329879938624799,0.022997070103883743,958
221184,0.815,0.73,0.63,0.64,0.4824120603015075,0.535,0.2964824120603015,0.46,0.0,4.929912105901167,0.044786855578422546,953
229376,0.805,0.725,0.63,0.62,0.495,0.51,0.31,0.435,0.0,4.415593235986307,0.05058939754962921,956
237568,0.785,0.72,0.625,0.615,0.5,0.505,0.31,0.43,0.0,3.5254967156797647,0.039515815675258636,959
245760,0.78,0.72,0.62,0.605,0.515,0.5,0.32,0.42,0.0,3.4658134161727503,0.03349738568067551,961
253952,0.78,0.715,0.615,0.615,0.535,0.49,0.32,0.41,0.0,3.4599765699822456,0.0304544810205698,962
262144,0.775,0.72,0.595,0.63,0.545,0.475,0.32,0.41,0.0,3.5792345551308244,0.03516901656985283,957
270336,0.745,0.715,0.56,0.62,0.53,0.47,0.31,0.405,0.0,3.919536628993228,0.027717093005776405,959
278528,0.765,0.735,0.59,0.64,0.54,0.475,0.325,0.41,0.0,5.498516567051411,0.036351971328258514,961
286720,0.75,0.74,0.56,0.64,0.53,0.47,0.32,0.405,0.0,4.096841802587733,0.04222823679447174,963
294912,0.75,0.725,0.56,0.625,0.535,0.465,0.315,0.4,0.0,4.699484424781986,0.03915844112634659,965
303104,0.73,0.72,0.555,0.615,0.535,0.46,0.325,0.39,0.0,4.83346043038182,0.03740617260336876,960
311296,0.72,0.715,0.555,0.62,0.53,0.47,0.315,0.4,0.0,4.341480896808207,0.02636689692735672,961
319488,0.72,0.71,0.55,0.62,0.53,0.47,0.335,0.395,0.0,4.931427262723446,0.04591939598321915,962
327680,0.72,0.71,0.535,0.62,0.515,0.455,0.32,0.38,0.0,3.7204758774023503,0.02984272688627243,964
335872,0.72,0.725,0.54,0.635,0.51,0.46,0.335,0.385,0.0,5.064779272302985,0.03765803202986717,965
344064,0.71,0.745,0.52,0.655,0.505,0.475,0.335,0.395,0.0,5.037978890817612,0.03368408977985382,963
352256,0.69,0.765,0.52,0.68,0.485,0.48,0.33,0.41,0.0,4.649294162169099,0.03833232820034027,961
360448,0.685,0.77,0.535,0.68,0.47,0.48,0.32,0.42,0.0,4.744904009159654,0.03114468976855278,962
368640,0.7,0.775,0.55,0.69,0.46,0.495,0.31,0.44,0.0,3.959185635787435,0.02415074035525322,963
376832,0.7,0.78,0.55,0.705,0.465,0.5,0.31,0.445,0.0,3.7990031386725605,0.023249424993991852,965
385024,0.68,0.785,0.525,0.705,0.445,0.505,0.285,0.445,0.0,4.034909692592919,0.04186461493372917,964
393216,0.67,0.775,0.525,0.7,0.43,0.515,0.27,0.455,0.0,4.93559262342751,0.04814700409770012,962
401408,0.675,0.79,0.525,0.7,0.425,0.52,0.275,0.455,0.0,4.978932285681367,0.0373992957174778,963
409600,0.67,0.79,0.53,0.695,0.425,0.53,0.28,0.465,0.0,4.714231126010418,0.03055914118885994,964
417792,0.675,0.805,0.545,0.725,0.44,0.53,0.295,0.48,0.0,4.727622757200152,0.0489451140165329,966
425984,0.69,0.81,0.55,0.725,0.44,0.535,0.285,0.485,0.0,4.054087611613795,0.050994470715522766,967
434176,0.695,0.82,0.545,0.74,0.43,0.535,0.275,0.49,0.0,5.165752672590315,0.031051648780703545,963
442368,0.685,0.82,0.535,0.735,0.42,0.555,0.27,0.505,0.0,5.250629580579698,0.030939873307943344,964
450560,0.705,0.815,0.55,0.745,0.425,0.57,0.27,0.52,0.0,6.699042916297913,0.034003254026174545,965
458752,0.72,0.81,0.58,0.735,0.41,0.575,0.27,0.52,0.0,5.679882650729269,0.025791626423597336,966
466944,0.715,0.795,0.58,0.7,0.4,0.58,0.27,0.515,0.0,5.302061661146581,0.027945134788751602,966
475136,0.705,0.8,0.58,0.705,0.41,0.59,0.285,0.53,0.0,6.618462619371712,0.02960563637316227,962
483328,0.695,0.815,0.585,0.72,0.4,0.6,0.28,0.54,0.0,5.881937346421182,0.03721985965967178,962
491520,0.725,0.835,0.6,0.735,0.395,0.61,0.27,0.545,0.0,6.60289401281625,0.036103710532188416,963
499712,0.74,0.85,0.62,0.76,0.415,0.63,0.29,0.56,0.0,6.905063226819038,0.024724479764699936,964
507904,0.745,0.845,0.62,0.765,0.41,0.635,0.29,0.565,0.0,6.659811435267329,0.027154751121997833,964
516096,0.75,0.845,0.62,0.77,0.425,0.645,0.305,0.58,0.0,6.050628460943699,0.01834443211555481,962
524288,0.73,0.845,0.605,0.77,0.42,0.655,0.3,0.585,0.0,4.779730076901615,0.02734033204615116,963
532480,0.73,0.85,0.615,0.77,0.41,0.675,0.29,0.595,0.0,5.101231603417546,0.045272186398506165,963
540672,0.74,0.84,0.615,0.765,0.425,0.665,0.285,0.59,0.0,4.65107786655426,0.02474864199757576,964
548864,0.73,0.85,0.61,0.755,0.42,0.675,0.28,0.595,0.0,4.475799813400954,0.023166896775364876,965
557056,0.735,0.855,0.6,0.765,0.42,0.69,0.28,0.61,0.0,4.8766015181317925,0.0338326133787632,963
565248,0.755,0.84,0.605,0.765,0.435,0.67,0.295,0.59,0.0,5.671189398504794,0.06317943334579468,963
573440,0.75,0.845,0.595,0.77,0.44,0.67,0.31,0.595,0.0,5.755590759217739,0.03708129748702049,963
581632,0.74,0.835,0.595,0.755,0.445,0.68,0.315,0.605,0.0,7.240313387475908,0.03690829128026962,964
