global_step,obey_top,obey_bottom,success_top,success_bottom,obey_top_can,obey_bottom_can,success_top_can,success_bottom_can,wrong_steps,segment_return,approx_kl,sps
8192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.220009997487068,0.067721888422966,1080
16384,0.7,0.8235294117647058,0.7,0.8235294117647058,0.25,0.7391304347826086,0.25,0.7391304347826086,0.0,11.055780055001378,0.030306823551654816,1033
24576,0.7619047619047619,0.86,0.7380952380952381,0.86,0.47368421052631576,0.75,0.47368421052631576,0.75,0.0,6.914895563386381,0.032749243080616,1030
32768,0.7741935483870968,0.864406779661017,0.7419354838709677,0.864406779661017,0.5882352941176471,0.75,0.5588235294117647,0.75,0.0,6.167614336125553,0.03344440460205078,1032
40960,0.8024691358024691,0.8850574712643678,0.7530864197530864,0.8045977011494253,0.6363636363636364,0.7777777777777778,0.5909090909090909,0.6888888888888889,0.0,8.233807120472193,0.04134253412485123,1027
49152,0.7956989247311828,0.9019607843137255,0.7419354838709677,0.8235294117647058,0.6274509803921569,0.7916666666666666,0.5882352941176471,0.7083333333333334,0.0,6.347520721144974,0.03569098562002182,1028
57344,0.7913043478260869,0.904,0.7391304347826086,0.808,0.6129032258064516,0.7931034482758621,0.5806451612903226,0.7241379310344828,0.0,8.524392517283559,0.026466012001037598,1021
65536,0.7956204379562044,0.8993288590604027,0.7445255474452555,0.8053691275167785,0.6056338028169014,0.782608695652174,0.5774647887323944,0.6956521739130435,0.0,8.831207629293203,0.033519722521305084,1008
73728,0.7987421383647799,0.8848484848484849,0.7484276729559748,0.8,0.6049382716049383,0.7654320987654321,0.5802469135802469,0.691358024691358,0.0,7.817502535879612,0.05961859971284866,995
81920,0.8089887640449438,0.8870967741935484,0.7584269662921348,0.7849462365591398,0.6,0.7692307692307693,0.5764705882352941,0.6813186813186813,0.0,7.57784372381866,0.03124469891190529,989
90112,0.8061224489795918,0.9,0.7602040816326531,0.795,0.6041666666666666,0.78,0.5833333333333334,0.7,0.0,7.394024761393666,0.04386228322982788,986
